Generation number	Allele number	Frequency	Activity
1040	-3	0.903046	0.140599
1040	0	1	0.647087
1050	-3	0.902706	0.140677
1050	0	1	0.639539
1060	-3	0.901595	0.142821
1060	0	1	0.63325
1070	-3	0.902966	0.140216
1070	0	1	0.626673
1080	-3	0.902116	0.140843
1080	0	1	0.622309
1090	-3	0.899924	0.143382
1090	0	1	0.615641
1100	-3	0.898564	0.143042
1100	0	1	0.608559
1110	-3	0.898425	0.14291
1110	0	1	0.602201
1120	-3	0.897189	0.14208
1120	0	1	0.59562
1130	-3	0.894783	0.144558
1130	0	1	0.588291
1140	-3	0.893323	0.145398
1140	0	1	0.583698
1150	-3	0.892889	0.147237
1150	0	1	0.577424
1160	-3	0.890973	0.148458
1160	0	1	0.570703
1170	-3	0.88874	0.149426
1170	0	1	0.565031
1180	-3	0.887735	0.149982
1180	0	1	0.558123
1190	-3	0.887361	0.149048
1190	0	1	0.549255
1200	-3	0.885196	0.151776
1200	0	1	0.542775
1210	-3	0.883865	0.152797
1210	0	1	0.535395
1220	-3	0.882343	0.154441
1220	0	1	0.528326
1230	-3	0.882784	0.153412
1230	0	1	0.51907
1240	-3	0.882403	0.153612
1240	0	1	0.511014
1250	-3	0.883513	0.151705
1250	0	1	0.504047
1260	-3	0.883386	0.151423
1260	0	1	0.496959
1270	-3	0.882245	0.153381
1270	0	1	0.4897
1280	-3	0.881229	0.155836
1280	0	1	0.482667
1290	-3	0.880976	0.155517
1290	0	1	0.473016
1300	-3	0.879759	0.158565
1300	0	1	0.465114
1310	-3	0.878334	0.159375
1310	0	1	0.458504
1320	-3	0.87785	0.159831
1320	0	1	0.450911
1330	-3	0.877998	0.159022
1330	0	1	0.443848
1340	-3	0.877099	0.158707
1340	0	1	0.436398
1350	-3	0.874846	0.159897
1350	0	1	0.429834
1360	-3	0.873394	0.160751
1360	0	1	0.422053
1370	-3	0.872607	0.161389
1370	0	1	0.411838
1380	-3	0.873588	0.160807
1380	0	1	0.404616
1390	-3	0.872863	0.162636
1390	0	1	0.397724
1400	-3	0.8731	0.162074
1400	0	1	0.388259
1410	-3	0.871894	0.161819
1410	0	1	0.381511
1420	-3	0.872295	0.161466
1420	0	1	0.374675
1430	-3	0.872774	0.159258
1430	0	1	0.367474
1440	-3	0.87274	0.159691
1440	0	1	0.359868
1450	-3	0.871267	0.161135
1450	0	1	0.351966
1460	-3	0.871246	0.16105
1460	0	1	0.345164
1470	-3	0.870258	0.16025
1470	0	1	0.337415
1480	-3	0.869316	0.16073
1480	0	1	0.330482
1490	-3	0.869531	0.161083
1490	0	1	0.321067
1500	-3	0.86735	0.16336
1500	0	1	0.314271
1510	-3	0.866634	0.163801
1510	0	1	0.306071
1520	-3	0.866411	0.165491
1520	0	1	0.298366
1530	-3	0.865101	0.166592
1530	0	1	0.289994
1540	-3	0.863706	0.167763
1540	0	1	0.282399
1550	-3	0.864055	0.166466
1550	0	1	0.273528
1560	-3	0.863177	0.167379
1560	0	1	0.265084
1570	-3	0.863504	0.168262
1570	0	1	0.259142
1580	-3	0.86163	0.171528
1580	0	1	0.253199
1590	-3	0.861508	0.171763
1590	0	1	0.245256
1600	-3	0.86018	0.173693
1600	0	1	0.23857
1610	-3	0.85929	0.175094
1610	0	1	0.231609
1620	-3	0.860641	0.172627
1620	0	1	0.224638
1630	-3	0.858592	0.173053
1630	0	1	0.217606
1640	-3	0.857834	0.1728
1640	0	1	0.211094
1650	-3	0.856299	0.174995
1650	0	1	0.205306
1660	-3	0.855914	0.175579
1660	0	1	0.199158
1670	-3	0.855031	0.177256
1670	0	1	0.193073
1680	-3	0.853156	0.178446
1680	0	1	0.185694
1690	-3	0.852802	0.178972
1690	0	1	0.180436
1700	-3	0.852383	0.178189
1700	0	1	0.173158
1710	-3	0.850856	0.179158
1710	0	1	0.164584
1720	-3	0.850503	0.179077
1720	0	1	0.158255
1730	-3	0.848337	0.180424
1730	0	1	0.150778
1740	-3	0.85007	0.178383
1740	0	1	0.142844
1750	-3	0.848461	0.179278
1750	0	1	0.136116
1760	-3	0.848976	0.178244
1760	0	1	0.128947
1770	-3	0.847752	0.177788
1770	0	1	0.122271
1780	-3	0.847903	0.176218
1780	0	1	0.11582
1790	-3	0.847006	0.177303
1790	0	1	0.109619
1800	-3	0.844829	0.181452
1800	0	1	0.102954
1810	-3	0.842864	0.182359
1810	0	1	0.0952175
1820	-3	0.839849	0.184991
1820	0	1	0.0883775
1830	-3	0.840239	0.184206
1830	0	1	0.0825513
1840	-3	0.839507	0.182129
1840	0	1	0.0754375
1850	-3	0.838191	0.181077
1850	0	1	0.0704225
1860	-3	0.83779	0.181359
1860	0	1	0.0668387
1870	-3	0.836578	0.18244
1870	0	1	0.0627225
1880	-3	0.835299	0.182137
1880	0	1	0.0579937
1890	-3	0.834784	0.182712
1890	0	1	0.0537288
1900	-3	0.833314	0.184907
1900	0	1	0.04954
1910	-3	0.834514	0.182592
1910	0	1	0.0459787
1920	-3	0.834604	0.179979
1920	0	1	0.04338
1930	-3	0.835012	0.180717
1930	0	1	0.0411838
1940	-3	0.83483	0.180538
1940	0	1	0.0380237
1950	-3	0.834653	0.179033
1950	0	1	0.0345725
1960	-3	0.833843	0.179913
1960	0	1	0.0314675
1970	-3	0.832889	0.18009
1970	0	1	0.0289375
1980	-3	0.832931	0.177748
1980	0	1	0.0267475
1990	-3	0.833406	0.177546
1990	0	1	0.0256275
2000	-3	0.832322	0.174827
2000	0	0.982491	0.0243337
2000	4	0.0175088	0.99928
2010	-3	0.831904	0.175731
2010	0	0.925963	0.02326
2010	4	0.074037	0.998293
2020	-3	0.831444	0.175826
2020	0	0.673337	0.0225513
2020	4	0.326663	0.997149
2030	-3	0.829701	0.176034
2030	0	0.404202	0.0223412
2030	4	0.595798	0.995721
2040	-3	0.828683	0.174254
2040	0	0.274137	0.02232
2040	4	0.725863	0.994876
2050	-3	0.826474	0.175289
2050	0	0.190595	0.0221675
2050	4	0.809405	0.993738
2060	-3	0.825749	0.175101
2060	0	0.143072	0.0222963
2060	4	0.856928	0.992168
2070	-3	0.824095	0.175494
2070	0	0.115558	0.0226537
2070	4	0.884442	0.991303
2080	-3	0.823493	0.173521
2080	0	0.096048	0.0224187
2080	4	0.903952	0.990625
2090	-3	0.822686	0.17477
2090	0	0.10005	0.0221663
2090	4	0.89995	0.989187
2100	-3	0.82185	0.17529
2100	0	0.111056	0.022185
2100	4	0.888944	0.988326
2110	-3	0.81949	0.176662
2110	0	0.0955478	0.0228037
2110	4	0.904452	0.987035
2120	-3	0.821143	0.175289
2120	0	0.084042	0.0226913
2120	4	0.915958	0.986039
2130	-3	0.820565	0.175722
2130	0	0.086043	0.0225487
2130	4	0.913957	0.984699
2140	-3	0.819248	0.176933
2140	0	0.10005	0.0224388
2140	4	0.89995	0.982979
2150	-3	0.818601	0.176018
2150	0	0.096048	0.0224488
2150	4	0.903952	0.981499
2160	-3	0.818022	0.177646
2160	0	0.0450225	0.022675
2160	4	0.954977	0.980464
2170	-3	0.817441	0.177592
2170	0	0.034017	0.0225475
2170	4	0.965983	0.978295
2180	-3	0.817815	0.17492
2180	0	0.028014	0.0223188
2180	4	0.971986	0.976814
2190	-3	0.815973	0.178305
2190	0	0.0395198	0.0223887
2190	4	0.96048	0.975826
2200	-3	0.815591	0.177881
2200	0	0.018009	0.0225537
2200	4	0.981991	0.974915
2210	-3	0.814536	0.178518
2210	0	0.0205103	0.0224237
2210	4	0.97949	0.972941
2220	-3	0.814285	0.177416
2220	0	0.014007	0.02284
2220	4	0.985993	0.972196
2230	-3	0.812734	0.178149
2230	0	0.0145073	0.0225675
2230	4	0.985493	0.970021
2240	-3	0.809538	0.182039
2240	0	0.0115058	0.0226775
2240	4	0.988494	0.967534
2250	-3	0.80891	0.182695
2250	0	0.0030015	0.0227825
2250	4	0.996998	0.965638
2260	-3	0.807894	0.182506
2260	0	0.00150075	0.0228563
2260	4	0.998499	0.964422
2270	-3	0.806681	0.182639
2270	4	1.0005	0.962079
2280	-3	0.80647	0.181538
2280	4	1.0005	0.960426
2290	-3	0.804678	0.183019
2290	4	1.0005	0.959181
2300	-3	0.803544	0.183939
2300	4	1.0005	0.957071
2310	-3	0.804166	0.180816
2310	4	1.0005	0.955303
2320	-3	0.804417	0.18141
2320	4	1.0005	0.953055
2330	-3	0.805069	0.180711
2330	4	1.0005	0.950571
2340	-3	0.80262	0.180535
2340	4	1.0005	0.948134
2350	-3	0.802403	0.181514
2350	4	1.0005	0.945333
2360	-3	0.803234	0.181418
2360	4	1.0005	0.943525
2370	-3	0.802798	0.180274
2370	4	1.0005	0.941294
2380	-3	0.802194	0.182962
2380	4	1.0005	0.939043
2390	-3	0.801736	0.184548
2390	4	1.0005	0.935915
2400	-3	0.803319	0.18162
2400	4	1.0005	0.933296
2410	-3	0.804735	0.180428
2410	4	1.0005	0.930749
2420	-3	0.803979	0.18147
2420	4	1.0005	0.928811
2430	-3	0.802799	0.183915
2430	4	1.0005	0.925139
2440	-3	0.802903	0.185644
2440	4	1.0005	0.922715
2450	-3	0.801884	0.186624
2450	4	1.0005	0.920119
2460	-3	0.802036	0.186313
2460	4	1.0005	0.916256
2470	-3	0.800921	0.188757
2470	4	1.0005	0.912901
2480	-3	0.801898	0.186189
2480	4	1.0005	0.909785
2490	-3	0.803278	0.18635
2490	4	1.0005	0.907
2500	-3	0.802103	0.187092
2500	4	1.0005	0.905436
2510	-3	0.802139	0.18709
2510	4	1.0005	0.901419
2520	-3	0.801093	0.187156
2520	4	1.0005	0.89824
2530	-3	0.80021	0.19018
2530	4	1.0005	0.895313
2540	-3	0.798336	0.190294
2540	4	1.0005	0.891771
2550	-3	0.79932	0.18841
2550	4	1.0005	0.888301
2560	-3	0.799052	0.187669
2560	4	1.0005	0.883634
2570	-3	0.797334	0.190751
2570	4	1.0005	0.87851
2580	-3	0.796589	0.194373
2580	4	1.0005	0.875144
2590	-3	0.796179	0.194682
2590	4	1.0005	0.870384
2600	-3	0.795271	0.196328
2600	4	1.0005	0.86429
2610	-3	0.794499	0.196089
2610	4	1.0005	0.862897
2620	-3	0.793889	0.197368
2620	4	1.0005	0.858841
2630	-3	0.792919	0.197524
2630	4	1.0005	0.855731
2640	-3	0.789719	0.199122
2640	4	1.0005	0.850197
2650	-3	0.789079	0.200759
2650	4	1.0005	0.846133
2660	-3	0.786409	0.200726
2660	4	1.0005	0.841078
2670	-3	0.785983	0.200943
2670	4	1.0005	0.838477
2680	-3	0.784585	0.201117
2680	4	1.0005	0.834781
2690	-3	0.784715	0.200654
2690	4	1.0005	0.831662
2700	-3	0.785099	0.20011
2700	4	1.0005	0.826201
2710	-3	0.782096	0.204614
2710	4	1.0005	0.821609
2720	-3	0.782928	0.204529
2720	4	1.0005	0.815964
2730	-3	0.78114	0.205063
2730	4	1.0005	0.811779
2740	-3	0.782019	0.206874
2740	4	1.0005	0.807581
2750	-3	0.782981	0.205272
2750	4	1.0005	0.804188
2760	-3	0.781981	0.206161
2760	4	1.0005	0.798273
2770	-3	0.782929	0.204239
2770	4	1.0005	0.792721
2780	-3	0.782164	0.203675
2780	4	1.0005	0.78893
2790	-3	0.784946	0.201541
2790	4	1.0005	0.783837
2800	-3	0.784739	0.202781
2800	4	1.0005	0.778125
2810	-3	0.783662	0.204053
2810	4	1.0005	0.773343
2820	-3	0.780662	0.206549
2820	4	1.0005	0.765826
2830	-3	0.781615	0.208954
2830	4	1.0005	0.760779
2840	-3	0.780829	0.209111
2840	4	1.0005	0.756153
2850	-3	0.780206	0.209295
2850	4	1.0005	0.752606
2860	-3	0.781105	0.209712
2860	4	1.0005	0.74617
2870	-3	0.778894	0.212121
2870	4	1.0005	0.741005
2880	-3	0.778706	0.211886
2880	4	1.0005	0.73788
2890	-3	0.78013	0.212256
2890	4	1.0005	0.73221
2900	-3	0.778098	0.211674
2900	4	1.0005	0.729081
2910	-3	0.777554	0.210347
2910	4	1.0005	0.723416
2920	-3	0.777285	0.209987
2920	4	1.0005	0.717739
2930	-3	0.777845	0.20886
2930	4	1.0005	0.711512
2940	-3	0.77756	0.208325
2940	4	1.0005	0.705694
2950	-3	0.777005	0.209078
2950	4	1.0005	0.699731
2960	-3	0.776508	0.20991
2960	4	1.0005	0.694526
2970	-3	0.776604	0.21065
2970	4	1.0005	0.689349
2980	-3	0.776947	0.208773
2980	4	1.0005	0.683065
2990	-3	0.775324	0.210389
2990	4	1.0005	0.677119
3000	-3	0.773039	0.209922
3000	4	1.0005	0.670835
3010	-3	0.772331	0.207649
3010	4	1.0005	0.664733
3020	-3	0.77195	0.207202
3020	4	1.0005	0.657761
3030	-3	0.772273	0.207465
3030	4	1.0005	0.650909
3040	-3	0.770744	0.206259
3040	4	1.0005	0.644785
3050	-3	0.769663	0.206607
3050	4	1.0005	0.636771
3060	-3	0.769398	0.208219
3060	4	1.0005	0.628401
3070	-3	0.768715	0.207292
3070	4	1.0005	0.62091
3080	-3	0.768019	0.207932
3080	4	1.0005	0.613771
3090	-3	0.768518	0.207067
3090	4	1.0005	0.609621
3100	-3	0.765961	0.210309
3100	4	1.0005	0.600965
3110	-3	0.764525	0.212258
3110	4	1.0005	0.593409
3120	-3	0.763463	0.213607
3120	4	1.0005	0.586835
3130	-3	0.765215	0.211752
3130	4	1.0005	0.58068
