Generation number	Total number of allele	Diversity	Activity	Time	Fertility rate	2 DSB on one site rate	No DSB rate	No symmetrical sites (binding + DSB) rate	q
0	17	1.0286	0.999898	1.59327	0.95057	0.0418251	0.003327	0.00427757	0.00938585
10	61	1.24793	0.998916	2.03372	0.943396	0.0410377	0.00283019	0.0127358	0.00875004
20	108	1.70153	0.998026	2.27933	0.955566	0.0315337	0.00143335	0.0114668	0.00754223
30	110	2.51164	0.997438	2.46138	0.954654	0.027685	0.00572792	0.0119332	0.0068652
40	127	3.64751	0.997005	2.55131	0.960615	0.024976	0.00144092	0.0129683	0.00645727
50	134	4.48926	0.996547	2.52607	0.962464	0.0230991	0.0014437	0.0129933	0.00617558
60	123	5.76766	0.995822	2.53356	0.949217	0.0289511	0.00189843	0.0199336	0.0060522
70	134	6.4175	0.995154	2.63096	0.960615	0.0211335	0.00288184	0.0153698	0.00598552
80	140	6.77774	0.994529	2.56631	0.949668	0.0270655	0.00332384	0.019943	0.00575654
90	144	6.5504	0.993689	2.76817	0.958313	0.0249161	0.00143747	0.015333	0.00571155
100	131	7.23343	0.992892	2.83787	0.956023	0.0243786	0.00191205	0.0176864	0.00588493
110	137	7.51884	0.992341	2.68802	0.947867	0.0298578	0.00189573	0.0203791	0.00585959
120	139	8.32498	0.992244	2.69254	0.958773	0.0215724	0.000958773	0.0186961	0.00579448
130	142	9.9135	0.991935	2.63269	0.957396	0.0263284	0.00143609	0.0148396	0.0058238
140	140	15.7909	0.992252	2.53549	0.956023	0.0219885	0.00191205	0.0200765	0.00549379
150	127	19.9763	0.99221	2.74278	0.961538	0.0206731	0.00288462	0.0149038	0.00546281
160	145	27.9376	0.992078	2.68061	0.958773	0.0191755	0.00479386	0.0172579	0.00543046
170	151	23.3151	0.991566	2.74912	0.95511	0.0238777	0.00191022	0.0191022	0.00545445
180	143	24.641	0.991478	2.75401	0.958313	0.018208	0.00574988	0.0177288	0.00548574
190	134	29.8791	0.991396	2.76897	0.956938	0.022488	0.00191388	0.0186603	0.00535661
200	127	32.2219	0.99151	2.83775	0.957396	0.0220201	0.00287219	0.0177118	0.00541188
210	137	33.913	0.9914	2.77273	0.95648	0.0224773	0.0023912	0.0186514	0.00535414
220	145	36.3098	0.991424	2.80324	0.952381	0.0266667	0.00190476	0.0190476	0.0053514
230	144	40.1911	0.991804	3.01609	0.956023	0.0253346	0.00143403	0.0172084	0.00523386
240	147	39.7671	0.99169	2.68233	0.957854	0.0244253	0.00287356	0.0148467	0.00538929
250	166	58.2414	0.992692	2.76757	0.962001	0.017797	0.004329	0.015873	0.00530872
260	170	66.7904	0.993128	2.8754	0.949668	0.0270655	0.00237417	0.0208927	0.00531986
270	154	65.5738	0.993203	2.77508	0.963391	0.0231214	0.000963391	0.0125241	0.00533369
280	159	62.0372	0.992841	2.711	0.952835	0.0257265	0.00190567	0.0195331	0.00534968
290	168	55.7641	0.992391	2.85224	0.957396	0.0181905	0.00335089	0.0210627	0.0052876
300	161	50.2345	0.992299	2.70096	0.953289	0.0209724	0.00142993	0.0243089	0.00531559
310	153	57.5088	0.992007	2.89328	0.946522	0.0269759	0.00189304	0.0246096	0.00530271
320	145	57.2124	0.992075	2.7328	0.956938	0.023445	0.00191388	0.0177033	0.00540361
330	143	43.664	0.991483	2.88578	0.954654	0.023389	0.00286396	0.0190931	0.00540293
340	146	51.9994	0.992236	2.77352	0.956023	0.0267686	0.000478011	0.0167304	0.00529687
350	132	40.2823	0.991778	2.77167	0.951475	0.0275928	0.00333016	0.0176023	0.00527615
360	133	34.9124	0.991879	2.86067	0.951475	0.0256898	0.00285442	0.019981	0.0052201
370	135	30.0781	0.991577	2.80495	0.959233	0.0182254	0.00191847	0.0206235	0.00536397
380	141	27.6632	0.991547	2.8652	0.947867	0.02891	0.00189573	0.021327	0.00525426
390	137	29.4803	0.991691	2.64936	0.962927	0.0168512	0.00288878	0.0173327	0.0054541
400	135	31.3441	0.991124	2.80208	0.955566	0.0253225	0.00191113	0.0172002	0.00530976
410	126	29.4856	0.99085	2.79343	0.956023	0.0229446	0.00286807	0.0181644	0.00528785
420	125	29.9062	0.990366	2.80265	0.951928	0.025702	0.00190386	0.0204664	0.00528437
430	140	33.2275	0.990681	2.77485	0.958773	0.0215724	0.00239693	0.0172579	0.00532818
440	136	33.8943	0.989922	2.8151	0.953289	0.0243089	0.00238322	0.0200191	0.00534103
450	134	39.5026	0.990533	2.89053	0.956938	0.0200957	0.00430622	0.0186603	0.00524251
460	149	36.7354	0.990142	2.81922	0.965251	0.0168919	0.00337838	0.0144788	0.00527826
470	146	43.3481	0.990748	2.83089	0.957396	0.020584	0.00287219	0.0191479	0.00523112
480	169	51.2006	0.991318	2.77621	0.958313	0.0229995	0.00287494	0.0158122	0.00522628
490	161	43.6226	0.990698	2.83834	0.947418	0.0298437	0.00236855	0.0203695	0.00536717
500	161	49.756	0.992259	2.84516	0.960154	0.0211234	0.00192031	0.0168027	0.00532135
510	150	51.7992	0.992691	2.77898	0.951022	0.0266286	0.00142653	0.0209225	0.00534265
520	153	60.6098	0.992845	2.8833	0.948767	0.028463	0.0028463	0.0199241	0.00530346
530	159	57.1838	0.993484	2.79374	0.953743	0.0233667	0.00429185	0.018598	0.00536388
540	178	59.2597	0.994116	2.68251	0.958773	0.0230105	0.000958773	0.0172579	0.00529825
550	167	55.9899	0.993901	2.67197	0.951475	0.0252141	0.0038059	0.0195052	0.00524159
560	174	60.0162	0.994045	2.80981	0.947867	0.0274882	0.00379147	0.0208531	0.00524823
570	164	46.7949	0.993184	3.3931	0.951928	0.0242742	0.00142789	0.0223703	0.00526026
580	145	45.219	0.992686	2.74505	0.953289	0.0224023	0.00381316	0.0204957	0.00542602
590	171	54.4192	0.992707	2.78843	0.948767	0.0270398	0.0056926	0.0185009	0.00534947
600	162	54.0132	0.992094	2.81438	0.951928	0.0285578	0.00237982	0.0171347	0.00537178
610	163	59.6988	0.992161	2.81913	0.944287	0.0254958	0.00424929	0.0259679	0.00529083
620	145	54.7292	0.991657	2.65822	0.967118	0.0183752	0.00193424	0.0125725	0.00539084
630	159	59.5582	0.992137	2.77406	0.951022	0.0233	0.00142653	0.0242511	0.00522127
640	155	55.0702	0.991846	2.82774	0.958773	0.0220518	0.00287632	0.0162991	0.00536608
650	148	49.6348	0.991398	2.78614	0.94697	0.0326705	0.00236742	0.0179924	0.00537012
660	153	54.6081	0.990899	2.80185	0.963855	0.0192771	0.00337349	0.013494	0.00522548
670	152	43.9652	0.99076	2.79415	0.95648	0.0224773	0.00382592	0.0172166	0.00526676
680	143	33.6817	0.990336	2.83686	0.946522	0.0241363	0.00283956	0.0265026	0.00532894
690	137	33.3222	0.990203	2.67804	0.956938	0.0215311	0.00334928	0.0181818	0.0053663
700	151	29.8249	0.990284	2.64928	0.951022	0.0304327	0.00237756	0.0161674	0.00532758
710	162	36.0884	0.990448	2.81995	0.944287	0.0288008	0.00472144	0.0221907	0.00550409
720	164	44.741	0.991324	2.71233	0.951928	0.0247501	0.00237982	0.0209424	0.00530361
730	161	45.1944	0.990896	2.76566	0.947867	0.0293839	0.00379147	0.0189573	0.00526928
740	137	40.6883	0.99061	2.92715	0.962927	0.0202215	0.00144439	0.0154068	0.00527934
750	147	41.4317	0.990621	2.71895	0.958773	0.0201342	0.00239693	0.0186961	0.00536712
760	143	45.0518	0.990798	2.88224	0.957854	0.0225096	0.00191571	0.0177203	0.00535798
770	134	46.0751	0.990975	2.66197	0.959693	0.0196737	0.00191939	0.018714	0.0052029
780	127	45.8762	0.991565	2.65701	0.951475	0.0261656	0.00237869	0.019981	0.00530962
790	147	49.2094	0.991719	2.71613	0.954654	0.0205251	0.00381862	0.0210024	0.00522843
800	153	55.5031	0.992047	2.95074	0.954654	0.0210024	0.00334129	0.0210024	0.0053307
810	153	55.2911	0.99111	2.75684	0.959233	0.0196643	0.00383693	0.0172662	0.00528366
820	144	51.1547	0.991197	2.65365	0.957854	0.0205939	0.00431034	0.0172414	0.0053154
