Generation number	Total number of allele	Diversity	Activity	Time	Fertility rate	2 DSB on one site rate	No DSB rate	No symmetrical sites (binding + DSB) rate
0	1	1	0.999853	1.41875	0.942507	0.0475966	0.00377003	0.0061263
10	1	1	0.998915	1.39929	0.954198	0.033874	0.00333969	0.00858779
20	1	1	0.997885	1.40478	0.945626	0.0444444	0.000945626	0.00898345
30	1	1	0.99695	1.45569	0.944287	0.0457979	0.00236072	0.0075543
40	1	1	0.995771	1.46908	0.944287	0.0448536	0.00283286	0.00802644
50	1	1	0.994808	1.52264	0.947418	0.0369493	0.00568451	0.00994789
60	1	1	0.993678	1.41843	0.948317	0.0445709	0.00237079	0.00474158
70	1	1	0.992949	1.40714	0.957854	0.0359195	0.00239464	0.00383142
80	1	1	0.99165	1.41753	0.946074	0.0421003	0.00141911	0.0104068
90	1	1	0.990598	1.42521	0.942507	0.0433553	0.00235627	0.0117813
100	1	1	0.989913	1.42434	0.941176	0.0465882	0.00188235	0.0103529
110	1	1	0.988798	1.40783	0.956023	0.0368069	0.00191205	0.00525813
120	1	1	0.987464	1.41186	0.952381	0.0380952	0.00142857	0.00809524
130	1	1	0.986914	1.41796	0.946074	0.0425733	0.00283822	0.00851466
140	1	1	0.985858	1.42533	0.938967	0.0497653	0.00187793	0.00938967
150	1	1	0.984425	1.41665	0.948317	0.0403035	0.00189663	0.00948317
160	1	1	0.98266	1.40997	0.951475	0.0371075	0.00142721	0.00999049
170	1	1	0.981341	1.43224	0.942951	0.0433758	0.00424328	0.00942951
180	1	1	0.980614	1.40531	0.951928	0.0376011	0.00190386	0.00856735
190	1	1	0.979576	1.41651	0.94697	0.0435606	0.00331439	0.0061553
200	1	1	0.977841	1.41023	0.952381	0.0385714	0.00238095	0.00666667
210	1	1	0.976524	1.39924	0.959233	0.0306954	0.0028777	0.00719424
220	1	1	0.974341	1.4078	0.943841	0.0429448	0.00330345	0.00991034
230	1	1	0.972408	1.40531	0.944287	0.0472144	0.000472144	0.00802644
240	1	1	0.969931	1.40816	0.943396	0.0396226	0.00283019	0.0141509
250	1	1	0.968343	1.39506	0.953289	0.0338418	0.00190658	0.0109628
260	1	1	0.965999	1.39949	0.948767	0.040797	0.00189753	0.0085389
270	1	1	0.963628	1.49913	0.947867	0.0440758	0.0028436	0.00521327
280	1	1	0.961099	1.39222	0.948767	0.0403226	0.00189753	0.00901328
290	1	1	0.959953	1.39282	0.94518	0.0425331	0.00425331	0.00803403
300	1	1	0.957754	1.38693	0.949217	0.0384433	0.00284765	0.00949217
310	1	1	0.954716	1.38413	0.949217	0.0370195	0.00189843	0.0118652
320	1	1	0.953412	1.39285	0.939408	0.0432128	0.00516674	0.0122123
330	1	1	0.950126	1.39144	0.939408	0.046031	0.00187882	0.012682
340	1	1	0.948979	1.38336	0.944733	0.0453472	0.000944733	0.00897496
350	1	1	0.947458	1.37058	0.94697	0.0421402	0.00284091	0.00804924
360	1	1	0.944386	1.37795	0.93985	0.0465226	0.00328947	0.0103383
370	1	1	0.942023	1.37155	0.94162	0.0437853	0.00235405	0.0122411
380	1	1	0.938763	1.36735	0.944733	0.0382617	0.0042513	0.0127539
390	1	1	0.936345	1.36037	0.94697	0.0411932	0.00236742	0.0094697
400	1	1	0.932054	1.3643	0.941176	0.0447059	0.00141176	0.0127059
410	1	1	0.929099	1.35916	0.94518	0.0335539	0.00283554	0.018431
420	1	1	0.923731	1.36051	0.937647	0.0445382	0.00328176	0.0145335
430	1	1	0.921816	1.36792	0.927644	0.0561224	0.00324675	0.012987
440	1	1	0.917674	1.35649	0.938086	0.0478424	0.00187617	0.0121951
450	1	1	0.915301	1.35481	0.935891	0.0500702	0.000935891	0.0131025
460	1	1	0.912796	1.34451	0.937647	0.0482888	0.00187529	0.0121894
470	1	1	0.911274	1.35362	0.932401	0.0494172	0.0027972	0.0153846
480	1	1	0.907268	1.33556	0.944287	0.0415486	0.00141643	0.0127479
490	1	1	0.905085	1.33364	0.947867	0.0369668	0.00331754	0.0118483
500	1	1	0.90259	1.33399	0.943396	0.0400943	0.00188679	0.0146226
510	1	1	0.898826	1.32617	0.947867	0.0383886	0.000947867	0.0127962
520	1	1	0.89336	1.32857	0.939408	0.0488492	0.00140911	0.0103335
530	1	1	0.890091	1.32293	0.941176	0.0465882	0.00235294	0.00988235
540	1	1	0.887344	1.32102	0.942507	0.0377003	0.00282752	0.0169651
550	1	1	0.88346	1.32629	0.935016	0.0490884	0.00233754	0.0135577
560	1	1	0.880459	1.32246	0.937647	0.0445382	0.00187529	0.01594
570	1	1	0.878138	1.32916	0.924642	0.0559408	0.00277393	0.0166436
580	1	1	0.874793	1.32462	0.925926	0.0555556	0.00231481	0.0162037
590	1	1	0.869505	1.29712	0.947867	0.0341232	0.00189573	0.0161137
600	1	1	0.864514	1.31043	0.929368	0.0534387	0.000929368	0.0162639
610	1	1	0.861295	1.30194	0.933707	0.0490196	0.00186741	0.0154062
620	1	1	0.856414	1.29456	0.935891	0.0449228	0.00233973	0.016846
630	1	1	0.85143	1.29729	0.928936	0.0469113	0.00232234	0.02183
640	1	1	0.847068	1.29154	0.931532	0.0442478	0.0027946	0.0214252
650	1	1	0.841724	1.28083	0.937207	0.0417057	0.00234302	0.0187441
660	1	1	0.837229	1.27463	0.932836	0.045709	0.00233209	0.0191231
670	1	1	0.832757	1.26753	0.937647	0.045007	0.000937647	0.0164088
680	1	1	0.827629	1.26539	0.937647	0.0403188	0.00375059	0.0182841
690	1	1	0.822853	1.26728	0.9298	0.0478847	0.0013947	0.0209205
700	1	1	0.817083	1.2613	0.928074	0.0482599	0.00324826	0.0204176
710	1	1	0.811287	1.24881	0.932836	0.0466418	0.00326493	0.0172575
720	1	1	0.80484	1.24438	0.932401	0.048951	0.0018648	0.0167832
730	1	1	0.799385	1.25002	0.91617	0.0563445	0.00503894	0.0224462
740	1	1	0.796601	1.22798	0.933271	0.0466636	0.00139991	0.0186654
750	1	1	0.791541	1.21035	0.942507	0.035344	0.00235627	0.0197926
760	1	1	0.786431	1.20803	0.935891	0.0458587	0.00187178	0.0163781
770	1	1	0.781449	1.20807	0.927644	0.0477737	0.00185529	0.0227273
780	1	1	0.776049	1.20751	0.922935	0.0461467	0.00184587	0.0290725
790	1	1	0.770552	1.18908	0.926355	0.0477073	0.00185271	0.0240852
800	1	1	0.766213	1.17911	0.930233	0.0460465	0.00186047	0.0218605
810	1	1	0.759349	1.17134	0.923361	0.0517082	0.0023084	0.0226223
820	1	1	0.754475	1.16108	0.924642	0.0522423	0.00138696	0.0217291
830	1	1	0.748256	1.15366	0.925069	0.0434783	0.00185014	0.0296022
840	1	1	0.741944	1.14102	0.925069	0.0462535	0.00185014	0.026827
850	1	1	0.737272	1.14643	0.912409	0.0561131	0.000912409	0.0305657
860	1	1	0.731016	1.12672	0.923361	0.0503232	0.00369344	0.0226223
870	1	1	0.722404	1.12165	0.920387	0.0455591	0.00276116	0.0312931
880	1	1	0.716459	1.11679	0.91617	0.0462666	0.00274851	0.0348145
890	1	1	0.71149	1.11924	0.911162	0.0546697	0.00273349	0.0314351
900	1	1	0.704274	1.11441	0.906618	0.0539438	0.00271985	0.036718
910	1	1	0.696933	1.11752	0.894454	0.0657424	0.00357782	0.0362254
920	1	1	0.691823	1.09811	0.907853	0.0535633	0.00499319	0.0335906
930	1	1	0.685936	1.08884	0.902935	0.0591422	0.00406321	0.03386
940	1	1	0.678706	1.07344	0.915751	0.0544872	0.000457875	0.029304
950	1	1	0.671264	1.06617	0.914495	0.0475537	0.00228624	0.0356653
960	1	1	0.664439	1.06328	0.907441	0.0517241	0.0022686	0.0385662
970	1	1	0.657769	1.04271	0.919963	0.0519779	0.00183993	0.026219
980	1	1	0.652469	1.05802	0.898473	0.05885	0.00269542	0.039982
990	1	1	0.646761	1.04025	0.904977	0.0565611	0.0040724	0.0343891
1000	1	1	0.641155	1.03651	0.904568	0.0560832	0.00316599	0.0361827
1010	1	1	0.635015	1.02373	0.909504	0.0541155	0.00181901	0.0345612
1020	1	1	0.628191	1.0275	0.892459	0.0647033	0.00178492	0.0410531
1030	1	1	0.621913	1.02145	0.902527	0.0604693	0.00225632	0.0347473
1040	1	1	0.613739	1.02696	0.888494	0.0653043	0.00310973	0.043092
1050	1	1	0.606281	1.00678	0.896459	0.060511	0.00134469	0.0416853
1060	1	1	0.600281	0.99744	0.897263	0.0623598	0.00314042	0.0372364
1070	1	1	0.59297	0.992399	0.894055	0.0603487	0.00312919	0.0424676
1080	1	1	0.585907	0.981974	0.891266	0.0708556	0.00222816	0.0356506
1090	1	1	0.579449	0.975245	0.88968	0.0662811	0.00266904	0.0413701
1100	1	1	0.573481	0.964488	0.893655	0.0603217	0.000893655	0.0451296
1110	1	1	0.565918	0.951709	0.894855	0.0608501	0.000447427	0.0438479
1120	1	1	0.558661	0.948921	0.886132	0.0691183	0.00221533	0.0425343
1130	1	1	0.547939	0.928512	0.894055	0.065713	0.000894055	0.0393384
1140	1	1	0.539011	0.92954	0.880282	0.0660211	0.00176056	0.0519366
1150	1	1	0.530941	0.92284	0.872981	0.0707115	0.00130947	0.0549978
1160	1	1	0.521959	0.914636	0.873362	0.071179	0.00131004	0.0541485
1170	1	1	0.515674	0.895615	0.881834	0.063933	0.0026455	0.0515873
1180	1	1	0.506525	0.891336	0.86881	0.0682016	0.00260643	0.0603823
1190	1	1	0.499949	0.875137	0.879507	0.0686016	0.00263852	0.0492524
1200	1	1	0.491939	0.869379	0.872981	0.0759494	0.00174596	0.0493234
1210	1	1	0.484935	0.873033	0.855798	0.0791613	0.00427899	0.0607617
1220	1	1	0.476245	0.856199	0.864304	0.073898	0.00216076	0.059637
1230	1	1	0.468237	0.841061	0.87146	0.0718954	0.00130719	0.0553377
1240	1	1	0.460369	0.845078	0.849979	0.079048	0.000849979	0.0701232
1250	1	1	0.452127	0.829652	0.853606	0.0815194	0.00170721	0.0631669
1260	1	1	0.4438	0.807854	0.864304	0.0769231	0.00129646	0.0574762
1270	1	1	0.435565	0.793801	0.853606	0.0836534	0.00170721	0.0610329
1280	1	1	0.427268	0.784962	0.847458	0.0864407	0.000847458	0.0652542
1290	1	1	0.419818	0.774316	0.841397	0.0904501	0.00378629	0.0643668
1300	1	1	0.413336	0.765319	0.838223	0.0959765	0.00335289	0.0624476
1310	1	1	0.40471	0.749636	0.84317	0.0935919	0.00210793	0.0611298
1320	1	1	0.397543	0.751336	0.827472	0.0918494	0.00330989	0.0773686
1330	1	1	0.39098	0.744217	0.824402	0.10305	0.00288541	0.069662
1340	1	1	0.385607	0.724022	0.845309	0.0879121	0.00169062	0.0650888
1350	1	1	0.378787	0.722754	0.83612	0.0932274	0.00125418	0.069398
1360	1	1	0.370265	0.71862	0.824742	0.0964948	0.00247423	0.0762887
1370	1	1	0.361534	0.701814	0.833333	0.0916667	0.00208333	0.0729167
1380	1	1	0.353336	0.693465	0.832639	0.0920067	0.00374688	0.071607
1390	1	1	0.347046	0.69723	0.812018	0.105968	0.00324807	0.0787657
1400	1	1	0.341001	0.690877	0.810045	0.110571	0.000810045	0.0785743
1410	1	1	0.332152	0.681607	0.809389	0.110077	0.00242817	0.078106
1420	1	1	0.324582	0.671673	0.807754	0.109047	0	0.0831987
1430	1	1	0.315829	0.671271	0.79713	0.112395	0.00358709	0.0868872
1440	1	1	0.305812	0.660172	0.792707	0.114546	0.00277447	0.0899723
1450	1	1	0.297905	0.65666	0.781861	0.125098	0.00156372	0.0914777
1460	1	1	0.290419	0.65281	0.773096	0.132199	0.000386548	0.0943177
1470	1	1	0.283509	0.648837	0.771307	0.131894	0.00115696	0.0956421
1480	1	1	0.275324	0.630934	0.771903	0.137013	0.00308761	0.0879969
