Generation number	Total number of allele	Diversity	Activity	Time	Fertility rate	2 DSB on one site rate	No DSB rate	No symmetrical sites (binding + DSB) rate
0	1	1	0.999893	1.66732	0.946074	0.0411542	0.00236518	0.0104068
10	1	1	0.998758	1.58968	0.94518	0.0415879	0.00378072	0.0094518
20	1	1	0.997413	1.59974	0.944733	0.0472367	0.0014171	0.00661313
30	1	1	0.996415	1.59441	0.947418	0.0431075	0.00378967	0.00568451
40	1	1	0.99509	1.61215	0.947418	0.0445287	0.00189484	0.00615822
50	1	1	0.99417	1.616	0.951022	0.0399429	0.00190204	0.00713267
60	3	1.00301	0.993108	1.59573	0.946074	0.0458846	0.00331126	0.00473037
70	1	1	0.991449	1.58839	0.951928	0.0342694	0.000951928	0.012851
80	1	1	0.990316	1.60942	0.940291	0.048425	0.00188058	0.00940291
90	1	1	0.988616	1.56114	0.946074	0.0444655	0.000946074	0.00851466
100	1	1	0.986503	1.57917	0.940734	0.0456256	0.00188147	0.0117592
110	1	1	0.984685	1.59548	0.935016	0.0514259	0.00280505	0.0107527
120	1	1	0.983508	1.60428	0.942063	0.0466321	0.00188413	0.00942063
130	1	1	0.982113	1.5588	0.953743	0.0367191	0.000953743	0.00858369
140	1	1	0.980101	1.57744	0.946522	0.0402272	0.00189304	0.0113583
150	2	1.00301	0.979314	1.60665	0.936768	0.0449649	0.00421546	0.0140515
160	2	1.00401	0.978047	1.60247	0.952835	0.0400191	0.00142925	0.00571701
170	1	1	0.977045	1.55884	0.943841	0.0448325	0.00188768	0.00943841
180	1	1	0.974366	1.55186	0.954198	0.0367366	0.0019084	0.00715649
190	1	1	0.973333	1.55646	0.954198	0.0372137	0.0014313	0.00715649
200	1	1	0.970846	1.62107	0.954198	0.0391221	0.0019084	0.00477099
210	1	1	0.968703	1.56928	0.943841	0.0457763	0.00330345	0.00707881
220	1	1	0.967139	1.56002	0.947418	0.0393179	0.00284225	0.0104216
230	1	1	0.964559	1.54324	0.951475	0.0375833	0.000951475	0.00999049
240	1	1	0.962434	1.55736	0.948767	0.0422201	0.00189753	0.00711575
250	1	1	0.960803	1.53119	0.944287	0.0443815	0.00188857	0.00944287
260	1	1	0.958278	1.53906	0.954654	0.0357995	0.00190931	0.00763723
270	1	1	0.956246	1.55926	0.940291	0.0423131	0.00188058	0.0155148
280	1	1	0.95428	1.52513	0.940291	0.0465444	0.00282087	0.0103432
290	1	1	0.952086	1.56327	0.93985	0.0446429	0.00469925	0.0108083
300	1	1	0.949615	1.52795	0.94518	0.0430057	0.00189036	0.00992439
310	1	1	0.947641	1.52934	0.943841	0.0434167	0.00283152	0.00991034
320	1	1	0.944038	1.55715	0.933707	0.0480859	0.00233427	0.015873
330	1	1	0.941706	1.51712	0.938086	0.0469043	0.00234522	0.0126642
340	1	1	0.940211	2.03604	0.95057	0.0370722	0.00237643	0.00998099
350	1	1	0.937788	1.47356	0.938527	0.0455185	0.00281558	0.0131394
360	1	1	0.935308	1.46493	0.946522	0.0350213	0.00141978	0.0170374
370	1	1	0.932455	1.4731	0.940734	0.0475071	0.0028222	0.00893697
380	1	1	0.928314	1.46002	0.942063	0.0433349	0.00141309	0.0131889
390	1	1	0.924986	1.46175	0.94162	0.0437853	0.00235405	0.0122411
400	1	1	0.922846	1.45198	0.940734	0.0456256	0.0042333	0.00940734
410	1	1	0.91996	1.4673	0.93985	0.0394737	0.00140977	0.0192669
420	1	1	0.91782	1.44945	0.941176	0.0461176	0.00141176	0.0112941
430	1	1	0.915758	1.45588	0.937647	0.0515706	0.00187529	0.00890764
440	1	1	0.911565	1.44823	0.942063	0.0423928	0.00188413	0.0136599
450	1	1	0.908105	1.44624	0.942063	0.0414508	0.00282619	0.0136599
460	2	1.001	0.904781	1.44445	0.943396	0.0433962	0.00141509	0.0117925
470	1	1	0.90203	1.4425	0.938967	0.0450704	0.00187793	0.0140845
480	1	1	0.898145	1.44115	0.937647	0.0464135	0.00234412	0.0135959
490	1	1	0.896024	1.43612	0.93985	0.0446429	0.00328947	0.012218
500	1	1	0.89308	1.4257	0.942507	0.039114	0.00235627	0.0160226
510	1	1	0.888991	1.42735	0.94162	0.0414313	0.00282486	0.0141243
520	1	1	0.88487	1.41332	0.946522	0.0359678	0.00331283	0.0141978
530	1	1	0.88065	1.40844	0.949217	0.0370195	0.000949217	0.0128144
540	1	1	0.877161	1.4225	0.930665	0.0474639	0.00186133	0.0200093
550	1	1	0.872322	1.53657	0.936768	0.0454333	0.0028103	0.0149883
560	1	1	0.867153	1.3972	0.934143	0.0485754	0.000467071	0.0168146
570	1	1	0.862104	1.38768	0.94697	0.0345644	0.00094697	0.0175189
580	2	1.002	0.859838	1.38832	0.942063	0.0400377	0.00188413	0.0160151
590	2	1.00301	0.856993	1.38066	0.942951	0.038661	0.00377181	0.0146157
600	1	1	0.852874	1.38473	0.933707	0.0471522	0.00140056	0.0177404
610	1	1	0.849249	1.37754	0.938967	0.0403756	0.00328638	0.0173709
620	1	1	0.842996	1.37945	0.931966	0.0461323	0.00232992	0.0195713
630	1	1	0.838544	1.37532	0.931099	0.0437616	0.0027933	0.0223464
640	1	1	0.835353	1.36301	0.938527	0.0412952	0.00140779	0.0187705
650	1	1	0.831016	1.36886	0.928505	0.0473538	0.00324977	0.0208914
660	1	1	0.826234	1.36688	0.927644	0.0459184	0.00185529	0.0245826
670	1	1	0.822973	1.36968	0.924642	0.0485437	0.000924642	0.02589
680	1	1	0.819449	1.35137	0.931966	0.0498602	0.00186393	0.0163094
690	1	1	0.813276	1.3473	0.927644	0.0505566	0.00278293	0.0190167
700	1	1	0.807541	1.34047	0.928074	0.0477958	0.00232019	0.0218097
710	1	1	0.802121	1.32611	0.933707	0.0438842	0.00140056	0.0210084
720	1	1	0.797453	1.32385	0.935454	0.0378859	0.00140318	0.0252572
730	1	1	0.794844	1.32914	0.923788	0.0540416	0.00323326	0.0189376
740	1	1	0.790814	1.32105	0.923361	0.0466297	0.00277008	0.0272392
750	1	1	0.785449	1.30634	0.932401	0.0447552	0.0018648	0.020979
760	1	1	0.781121	1.29415	0.935016	0.0383357	0.00374007	0.0229079
770	1	1	0.775931	1.2933	0.926355	0.0514127	0.00231589	0.0199166
780	1	1	0.771364	1.28169	0.926784	0.0463392	0.00324374	0.023633
790	1	1	0.765083	1.26915	0.928074	0.0510441	0.00139211	0.0194896
800	1	1	0.759078	1.27055	0.91659	0.0549954	0.00137489	0.0270394
810	1	1	0.752714	1.25094	0.925069	0.0411656	0.00416281	0.0296022
820	1	1	0.747838	1.24233	0.922509	0.0493542	0.00276753	0.025369
830	1	1	0.740604	1.23538	0.922509	0.0442804	0.00138376	0.0318266
840	1	1	0.735694	1.22325	0.928936	0.0455179	0.00325128	0.0222945
850	1	1	0.730798	1.23296	0.910747	0.0514572	0.00409836	0.0336976
860	1	1	0.724165	1.21448	0.918274	0.053719	0.00183655	0.0261708
870	1	1	0.718766	1.2188	0.911993	0.0533516	0.00182399	0.0328317
880	1	1	0.712395	1.20055	0.917852	0.0486462	0.00275356	0.030748
890	1	1	0.706789	1.19908	0.913242	0.0506849	0.00365297	0.0324201
900	1	1	0.700828	1.18439	0.919118	0.0533088	0.00137868	0.0261949
910	1	1	0.695259	1.1914	0.906208	0.056638	0.00317173	0.0339828
920	1	1	0.689625	1.1709	0.917852	0.0532354	0.00321248	0.0256999
930	1	1	0.684499	1.17167	0.907029	0.0598639	0.00136054	0.031746
940	1	1	0.677445	1.16641	0.907029	0.0571429	0.0031746	0.0326531
950	1	1	0.672249	1.16005	0.903342	0.0596206	0.00225836	0.0347787
960	1	1	0.667132	1.15642	0.902527	0.0568592	0.00361011	0.0370036
970	1	1	0.659468	1.13277	0.919118	0.051011	0.00229779	0.0275735
980	1	1	0.649179	1.14388	0.902527	0.0577617	0.00135379	0.0383574
990	1	1	0.640409	1.12125	0.906208	0.056638	0.00271862	0.0344359
1000	1	1	0.632314	1.12361	0.895255	0.0622202	0.00179051	0.0407341
1010	1	1	0.625143	1.09946	0.907029	0.0585034	0.00181406	0.0326531
1020	1	1	0.618681	1.08988	0.906618	0.0562103	0.00181324	0.0353581
1030	1	1	0.610444	1.07617	0.907853	0.0571947	0.00136178	0.0335906
1040	1	1	0.604309	1.0794	0.897666	0.0547576	0.002693	0.0448833
1050	1	1	0.598862	1.08099	0.887311	0.0674357	0.00177462	0.0434783
1060	1	1	0.591475	1.0531	0.905387	0.0547759	0.00271616	0.0371209
1070	1	1	0.588456	1.05682	0.896459	0.0632004	0.00179292	0.0385477
1080	1	1	0.583273	1.04755	0.901713	0.0599639	0.000901713	0.0374211
1090	1	1	0.57805	1.0477	0.891663	0.0673206	0.00222916	0.0387873
1100	1	1	0.570951	1.02963	0.90009	0.0553555	0.00315032	0.0414041
1110	1	1	0.565624	1.03951	0.878735	0.0795255	0.00175747	0.0399824
1120	1	1	0.558801	1.02359	0.888494	0.0657486	0.00222124	0.0435362
1130	2	1.001	0.550982	1.0102	0.890472	0.0694568	0.000890472	0.0391808
1140	1	1	0.543807	0.992213	0.896861	0.0623318	0.00269058	0.0381166
1150	1	1	0.535247	0.992248	0.884956	0.070354	0.00176991	0.0429204
1160	2	1.001	0.52889	0.991449	0.881057	0.0665198	0.00176211	0.0506608
1170	1	1	0.520944	0.978286	0.883392	0.0658127	0.00176678	0.0490283
1180	1	1	0.514309	0.969619	0.877963	0.071554	0.00307287	0.04741
1190	1	1	0.505688	0.954676	0.884173	0.0623342	0.00530504	0.0481874
1200	1	1	0.500758	0.960139	0.868056	0.078125	0.00260417	0.0512153
1210	2	1.002	0.495671	0.944458	0.875657	0.0722417	0.00175131	0.0503503
1220	2	1.00804	0.48754	0.939976	0.878349	0.0768555	0.00263505	0.0421607
1230	2	1.002	0.480005	0.927535	0.873744	0.0742682	0.0030581	0.0489297
1240	1	1	0.474429	0.940856	0.859107	0.0756014	0.00343643	0.0618557
1250	1	1	0.465143	0.901211	0.8726	0.074171	0.0026178	0.0506108
1260	1	1	0.458865	0.913429	0.844951	0.0971694	0.00295733	0.0549218
1270	1	1	0.452978	0.89032	0.866551	0.0823224	0.00129983	0.0498267
1280	1	1	0.447347	0.883152	0.859107	0.0902062	0.00214777	0.0485395
1290	1	1	0.437695	0.864211	0.864304	0.0773552	0.00172861	0.0566119
1300	1	1	0.43022	0.854924	0.856898	0.087832	0.00128535	0.0539846
1310	2	1.00401	0.425487	0.851754	0.847099	0.0872512	0.0025413	0.0631089
1320	2	1.002	0.414563	0.830979	0.852878	0.084435	0.00170576	0.0609808
1330	1	1	0.408655	0.825412	0.838223	0.0972339	0.00167645	0.0628667
1340	1	1	0.402136	0.809269	0.845309	0.0925613	0.00169062	0.0604396
