Generation number	Allele number	Frequency	Activity
0	-3	0	0.999903
0	0	1	0.999891
10	-3	0	0.998948
10	0	0.998499	0.998711
10	3	0.00150075	0.999891
20	-3	0	0.998009
20	0	0.998999	0.997531
20	4	0.0010005	1
30	-3	0	0.996714
30	0	1	0.996329
40	-3	0	0.995643
40	0	1	0.994816
50	-3	0	0.995385
50	0	0.998999	0.993704
50	13	0.0010005	0.99961
60	-3	0	0.994421
60	0	0.998999	0.99288
60	13	0.0010005	0.998656
70	-3	0	0.99358
70	0	0.9995	0.991465
70	13	0.00050025	0.997624
80	-3	0	0.992466
80	0	1	0.990089
90	-3	0	0.991405
90	0	1	0.98889
100	-3	0	0.99081
100	0	0.9995	0.987958
100	20	0.00050025	0.999619
110	-3	0	0.990203
110	0	0.997999	0.986711
110	22	0.002001	0.999675
120	-3	0	0.989483
120	0	1	0.985215
130	-3	0	0.988666
130	0	0.995998	0.98429
130	23	0.00050025	0.999759
130	25	0.002001	0.999888
130	26	0.0010005	0.999911
130	27	0.00050025	1
140	-3	0	0.987876
140	0	0.995498	0.982154
140	26	0.00450225	0.998949
150	-3	0	0.986306
150	0	0.997499	0.981149
150	26	0.00250125	0.99777
160	-3	0	0.985689
160	0	0.997999	0.979046
160	26	0.00050025	0.996885
160	31	0.00150075	0.999446
170	-3	0	0.984323
170	0	1	0.976704
180	-3	0	0.983329
180	0	0.998499	0.975007
180	33	0.00150075	0.999568
190	-3	0	0.98268
190	0	0.995998	0.974414
190	39	0.004002	0.999798
200	-3	0	0.981583
200	0	0.993497	0.972154
200	39	0.00650325	0.998913
210	-3	0	0.980605
210	0	0.993497	0.970531
210	39	0.00550275	0.99788
210	46	0.0010005	0.999651
220	-3	0	0.979566
220	0	0.997999	0.968651
220	39	0.00150075	0.996565
220	46	0.00050025	0.998784
230	-3	0	0.978099
230	0	0.9995	0.9674
230	51	0.00050025	1
240	-3	0	0.97823
240	0	1	0.964454
250	-3	0	0.977194
250	0	1	0.962433
260	-3	0	0.97567
260	0	0.9995	0.960551
260	57	0.00050025	0.999793
270	-3	0	0.974794
