Generation number,Total number of allele,Diversity,Activity,Time,Fertility rate,2 DSB on one site rate,No DSB rate,No symmetrical sites (binding + DSB) rate,,"0,806233774999999"
4860,1,"0,999","0,922382","1,46916","0,938527","0,0464571","0,00281558","0,0122008",,
4870,1,"0,999","0,918457","1,46887","0,942951","0,0419613","0,00377181","0,0113154",,
4880,1,"0,999","0,91578","1,46359","0,949217","0,0398671","0,00189843","0,00901756",,
4890,1,"0,999","0,913027","1,52683","0,940291","0,0437236","0,00235073","0,0136342",,
4900,1,"0,999","0,90839","1,47462","0,941176","0,0423529","0,00329412","0,0131765",,
4910,1,"0,999","0,906026","1,48329","0,935016","0,0486209","0,00233754","0,0140252",,
4920,1,"0,999","0,904481","1,44994","0,94697","0,0369318","0,00331439","0,0127841",,
4930,1,"0,999","0,900375","1,45031","0,93633","0,0468165","0,00234082","0,0145131",,
4940,1,"0,999","0,897075","1,44113","0,944733","0,0377893","0,00330657","0,014171",,
4950,1,"0,999","0,894318","1,44307","0,940734","0,046096","0,0014111","0,0117592",,
4960,1,"0,999","0,890672","1,45308","0,93985","0,0446429","0,0018797","0,0136278",,
4970,1,"0,999","0,886868","1,46124","0,939408","0,0469704","0,00328793","0,0103335",,
4980,1,"0,999","0,883616","1,45965","0,930233","0,0534884","0,0027907","0,0134884",,
4990,1,"0,999","0,879974","1,46975","0,944733","0,0410959","0,0028342","0,0113368",,
5000,1,"0,999","0,876632","1,44514","0,926355","0,0477073","0,00277906","0,0231589",,
5010,1,"0,999","0,870056","1,43098","0,940291","0,041843","0,00235073","0,0155148",,
5020,1,"0,999","0,865883","1,45242","0,931532","0,0493712","0,00372613","0,0153703",,
5030,1,"0,999","0,862006","1,45456","0,924214","0,0531423","0,00369686","0,0189464",,
5040,1,"0,999","0,857748","1,42967","0,940291","0,0437236","0,00235073","0,0136342",,
5050,1,"0,999","0,853566","1,43269","0,942951","0,0424328",0,"0,0146157",,
5060,1,"0,999","0,848098","1,4314","0,933707","0,0457516","0,00233427","0,0182073",,
5070,1,"0,999","0,845141","1,43167","0,928505","0,0482823","0,000928505","0,0222841",,
5080,1,"0,999","0,840518","1,41213","0,91954","0,0542529","0,00137931","0,0248276",,
5090,1,"0,999","0,836198","1,42591","0,925497","0,0550671","0,00185099","0,0175845",,
5100,1,"0,999","0,831266","1,39516","0,925926","0,0513889","0,00324074","0,0194444",,
5110,1,"0,999","0,827087","1,41179","0,932401","0,0414918","0,0018648","0,0242424",,
5120,1,"0,999","0,821607","1,38927","0,933707","0,0457516","0,00326797","0,0172736",,
5130,1,"0,999","0,8155","1,38961","0,927214","0,0463607","0,00185443","0,0245712",,
5140,1,"0,999","0,808693","1,38412","0,927644","0,0482375","0,0041744","0,0199443",,
5150,1,"0,999","0,803847","1,35867","0,93633","0,0421348","0,00187266","0,0196629",,
5160,1,"0,999","0,799411","1,39162","0,924214","0,0536044","0,00231054","0,0198706",,
5170,1,"0,999","0,795589","1,37176","0,937647","0,0407876","0,000937647","0,0206282",,
5180,1,"0,999","0,791182","1,32966","0,930233","0,0474419","0,00372093","0,0186047",,
5190,1,"0,999","0,784834","1,32519","0,931532","0,0451793","0,00186306","0,0214252",,
5200,1,"0,999","0,780224","1,32287","0,923788","0,0484988","0,000461894","0,0272517",,
5210,1,"0,999","0,776318","1,32667","0,92081","0,0497238","0,00598527","0,0234807",,
5220,1,"0,999","0,771833","1,32384","0,912409","0,0574818","0,00228102","0,0278285",,
5230,1,"0,999","0,76595","1,28986","0,930233","0,0446512","0,0027907","0,0223256",,
5240,1,"0,999","0,760513","1,30456","0,918695","0,0450161","0,00229674","0,0339917",,
5250,1,"0,999","0,755538","1,26861","0,9298","0,0409112","0,0013947","0,027894",,
5260,1,"0,999","0,748344","1,24154","0,923788","0,0411085","0,00277136","0,0323326",,
5270,1,"0,999","0,742257","1,25512","0,928074","0,0468677","0,00185615","0,0232019",,
5280,1,"0,999","0,73553","1,24516","0,925069","0,0425532","0,00231267","0,0300648",,
5290,1,"0,999","0,730239","1,23577","0,921234","0,0451405","0,00368494","0,0299401",,
5300,1,"0,999","0,726319","1,27616","0,918274","0,046832","0,00321396","0,0316804",,
5310,1,"0,999","0,720884","1,24018","0,910747","0,0523679","0,00182149","0,0350638",,
5320,1,"0,999","0,712643","1,22036","0,914913","0,0535224","0,00228728","0,0292772",,
5330,1,"0,999","0,705695","1,21212","0,914913","0,0548948","0,00228728","0,0279048",,
5340,1,"0,999","0,699391","1,19516","0,914077","0,0571298","0,00319927","0,0255941",,
5350,1,"0,999","0,692375","1,22301","0,909091","0,0554545","0,000909091","0,0345455",,
5360,1,"0,999","0,686348","1,18594","0,912409","0,0561131","0,00273723","0,0287409",,
5370,1,"0,999","0,680732","1,18604","0,91954","0,0537931","0,00091954","0,0257471",,
5380,1,"0,999","0,675718","1,16587","0,924642","0,0485437","0,0023116","0,024503",,
5390,1,"0,999","0,669137","1,15912","0,91617","0,0517636","0,00274851","0,0293175",,
5400,1,"0,999","0,660982","1,18507","0,899685","0,0638776","0,00134953","0,0350877",,
5410,1,"0,999","0,653602","1,14389","0,923788","0,0457275","0,00277136","0,0277136",,
5420,1,"0,999","0,644926","1,15912","0,896057","0,0676523","0,000896057","0,0353943",,
5430,1,"0,999","0,639235","1,15123","0,901713","0,0649234","0,00270514","0,0306583",,
5440,1,"0,999","0,631737","1,13147","0,901713","0,0541028","0,003156","0,041028",,
5450,1,"0,999","0,626967","1,14333","0,904977","0,0497738","0,00497738","0,0402715",,
5460,1,"0,999","0,620822","1,14094","0,890472","0,0605521","0,00400712","0,0449688",,
5470,1,"0,999","0,611287","1,14747","0,893256","0,0558285","0,00223314","0,0486824",,
5480,1,"0,999","0,603059","1,10811","0,88968","0,0618327","0,0022242","0,0462633",,
5490,1,"0,999","0,595028","1,09066","0,897263","0,0668461","0,00224316","0,0336474",,
5500,1,"0,999","0,587156","1,07276","0,896057","0,0672043","0,00448029","0,0322581",,
5510,1,"0,999","0,580834","1,06999","0,894055","0,0630308","0,00312919","0,0397854",,
5520,1,"0,999","0,571421","1,15856","0,891266","0,0659537","0,00311943","0,0396613",,
5530,1,"0,999","0,563673","1,05438","0,897263","0,0619112","0,00269179","0,0381337",,
5540,1,"0,999","0,558854","1,04103","0,890076","0,0609702","0,000890076","0,0480641",,
5550,1,"0,999","0,551127","1,02955","0,884173","0,0654288","0,00221043","0,0481874",,
5560,1,"0,999","0,543911","1,01184","0,888889","0,0688889","0,00266667","0,0395556",,
5570,1,"0,999","0,536318","1,02829","0,881446","0,0656677","0,00220361","0,0506831",,
5580,1,"0,999","0,529557","0,992342","0,873744","0,0747051","0,00262123","0,0489297",,
5590,1,"0,999","0,523606","0,99405","0,886132","0,0708906","0,0013292","0,0416482",,
5600,1,"0,999","0,515915","0,981428","0,886525","0,0625","0,00310284","0,0478723",,
5610,1,"0,999","0,508465","0,967802","0,874508","0,0717097","0,00174902","0,0520332",,
5620,1,"0,999","0,500406","0,991851","0,86881","0,0755864","0,00217202","0,0534318",,
5630,1,"0,999","0,49497","0,956523","0,87146","0,071024","0,00217865","0,0553377",,
5640,1,"0,999","0,486676","0,948981","0,867679","0,0776573","0,00130152","0,0533623",,
