Generation number	Total number of allele	Diversity	Activity	Time	Fertility rate	2 DSB on one site rate	No DSB rate	No symmetrical sites (binding + DSB) rate	q
0	1	1	0.999924	1.40884	0.990099	0	0.0029703	0.00693069	1.1147
10	1	1	0.998905	1.43792	0.987654	0	0.00493827	0.00740741	1.11567
20	1	1	0.998003	1.37418	0.985707	0	0.00344998	0.0108428	1.12142
30	1	1	0.996894	1.40528	0.994036	0	0.000994036	0.00497018	1.1222
40	1	1	0.995799	1.36003	0.992063	0	0.0014881	0.00644841	1.11208
50	1	1	0.994718	1.2932	0.988631	0	0.00247158	0.00889768	1.10954
60	1	1	0.993528	1.43925	0.99108	0	0.00198216	0.00693756	1.10263
70	1	1	0.992699	1.38179	0.988142	0	0.00444664	0.00741107	1.12194
80	1	1	0.99195	1.37977	0.988631	0	0.00197726	0.00939199	1.10396
90	1	1	0.991361	1.37786	0.989609	0	0.00197922	0.00841168	1.11484
100	1	1	0.990391	1.38066	0.98668	0	0.00345338	0.0098668	1.11349
110	1	1	0.989391	1.37462	0.990589	0	0.00297177	0.00643883	1.10388
120	1	1	0.988459	1.37332	0.990589	0	0.00396236	0.00544824	1.10885
130	1	1	0.986868	1.3758	0.988631	0	0.00346021	0.00790905	1.10457
140	1	1	0.98511	1.37599	0.988142	0	0.00148221	0.0103755	1.09524
150	1	1	0.983105	1.3699	0.990589	0	0.00297177	0.00643883	1.09909
160	1	1	0.982481	1.37234	0.988631	0	0.00296589	0.00840336	1.10191
170	1	1	0.98076	1.36937	0.989609	0	0.00247402	0.00791687	1.09891
180	1	1	0.979258	1.37199	0.988631	0	0.00346021	0.00790905	1.08533
190	1	1	0.977369	1.36608	0.989609	0	0.00197922	0.00841168	1.09583
200	1	1	0.975673	1.36475	0.98912	0	0.00197824	0.00890208	1.09736
210	1	1	0.974449	1.36454	0.98912	0	0.0024728	0.00840752	1.08934
220	1	1	0.973611	1.36197	0.989609	0	0.000989609	0.00940129	1.09986
230	1	1	0.971741	1.37083	0.987654	0	0.00395062	0.00839506	1.08817
240	1	1	0.970411	1.3611	0.987654	0	0.00246914	0.00987654	1.09099
250	1	1	0.968466	1.35567	0.988142	0	0.00247036	0.00938735	1.07046
260	1	1	0.966314	1.35896	0.988142	0	0.00247036	0.00938735	1.07128
270	1	1	0.964614	1.35719	0.98912	0	0.0024728	0.00840752	1.07895
280	1	1	0.962753	1.35126	0.99108	0	0	0.00891972	1.07453
290	1	1	0.96022	1.34699	0.992063	0	0.00347222	0.00446429	1.09057
300	1	1	0.958639	1.3502	0.988142	0	0.00247036	0.00938735	1.06529
310	1	1	0.957368	1.35986	0.98668	0	0.00345338	0.0098668	1.08063
320	1	1	0.954768	1.34633	0.990589	0	0.000990589	0.00842001	1.0763
330	1	1	0.95232	1.34405	0.990099	0	0.0019802	0.00792079	1.05966
340	1	1	0.950631	1.34462	0.98912	0	0.00148368	0.00939664	1.06729
350	1	1	0.948344	1.34307	0.988631	0	0.00247158	0.00889768	1.05965
360	1	1	0.946314	1.34551	0.983284	0	0.00688299	0.00983284	1.0437
370	1	1	0.943588	1.34606	0.980392	0	0.00294118	0.0166667	1.04243
380	1	1	0.9422	1.33397	0.98912	0	0.00197824	0.00890208	1.04897
390	1	1	0.938578	1.33562	0.986193	0	0.00246548	0.0113412	1.05472
400	1	1	0.937148	1.33064	0.988631	0	0.000988631	0.0103806	1.05195
410	1	1	0.933651	1.32655	0.990099	0	0.000990099	0.00891089	1.05494
420	1	1	0.930915	1.3317	0.985707	0	0.00295712	0.0113356	1.03251
430	1	1	0.928075	1.32706	0.983768	0	0.00147565	0.0147565	1.03987
440	1	1	0.923926	1.32592	0.982801	0	0.0004914	0.0167076	1.03627
450	1	1	0.920381	1.32132	0.984737	0	0.00196947	0.0132939	1.0258
460	1	1	0.917598	1.31825	0.984737	0	0.000492368	0.014771	1.02534
470	1	1	0.915139	1.31655	0.983768	0	0.000983768	0.0152484	1.03555
480	1	1	0.911563	1.31354	0.984737	0	0.00443131	0.0108321	1.01043
490	1	1	0.90819	1.3052	0.987654	0	0.00197531	0.0103704	1.00341
500	1	1	0.905988	1.31252	0.981354	0	0.00343474	0.015211	1.00894
510	1	1	0.904536	1.32149	0.983284	0	0.00147493	0.0152409	1.00795
520	1	1	0.90007	1.32001	0.984737	0	0.00196947	0.0132939	0.994818
530	1	1	0.89708	1.30159	0.98668	0	0.00148002	0.0118402	0.98931
540	1	1	0.893254	1.3161	0.980392	0	0.00196078	0.0176471	0.993192
550	1	1	0.890764	1.31359	0.981354	0	0.00245339	0.0161923	0.988571
560	1	1	0.887663	1.30256	0.979912	0	0.0044096	0.0156786	0.986997
570	1	1	0.885055	1.34784	0.983768	0	0.00147565	0.0147565	0.979632
580	1	1	0.880369	1.29112	0.981354	0	0.00147203	0.0171737	0.982427
590	1	1	0.875004	1.28571	0.978953	0	0.00195791	0.0190896	0.965447
600	1	1	0.872503	1.26841	0.981354	0	0.000490677	0.0181551	0.979673
610	1	1	0.868829	1.31205	0.981354	0	0.00294406	0.0157017	0.98208
620	1	1	0.865879	1.2818	0.981354	0	0.00147203	0.0171737	0.966056
630	1	1	0.862045	1.27176	0.979912	0	0.00293974	0.0171485	0.962117
640	1	1	0.858049	1.26919	0.981836	0	0.00196367	0.0162003	0.970668
650	1	1	0.853587	1.26457	0.980873	0	0.00196175	0.0171653	0.951127
660	1	1	0.849245	1.2631	0.980873	0	0.00441393	0.0147131	0.948468
670	1	1	0.845111	1.25271	0.982801	0	0.0019656	0.0152334	0.9432
680	1	1	0.842943	1.26057	0.974659	0	0.00389864	0.0214425	0.938044
690	1	1	0.839452	1.24552	0.986193	0	0.000986193	0.0128205	0.935164
700	1	1	0.83427	1.23948	0.983284	0	0.00196657	0.0147493	0.934765
710	1	1	0.830509	1.23738	0.982318	0	0.000491159	0.0171906	0.930627
720	1	1	0.824763	1.22798	0.984737	0	0.00246184	0.0128016	0.914496
730	1	1	0.821883	1.23425	0.978474	0	0.000489237	0.0210372	0.93396
740	1	1	0.818876	1.22129	0.983768	0	0.00196754	0.0142646	0.918199
750	1	1	0.814366	1.22168	0.979432	0	0.00440744	0.0161606	0.913061
760	1	1	0.808478	1.21252	0.976086	0	0.00244021	0.0214739	0.911822
770	1	1	0.804734	1.20591	0.981354	0	0.00196271	0.016683	0.917738
780	1	1	0.801554	1.19539	0.982801	0	0.002457	0.014742	0.888837
790	1	1	0.795145	1.19214	0.977995	0	0.00293399	0.0190709	0.910093
800	1	1	0.791518	1.18374	0.97561	0	0.00243902	0.0219512	0.904197
