Generation number	Total number of allele	Diversity	Activity	Time	Fertility rate	2 DSB on one site rate	No DSB rate	No symmetrical sites (binding + DSB) rate
0	1	1	0.999895	1.58266	0.949668	0.0403609	0.00379867	0.00617284
10	1	1	0.998963	1.60568	0.941176	0.0494118	0.00329412	0.00611765
20	1	1	0.998055	1.56867	0.953743	0.0352885	0.00524559	0.00572246
30	1	1	0.9972	1.57235	0.948767	0.0388994	0.0028463	0.00948767
40	1	1	0.996119	1.56274	0.95648	0.0349115	0.00286944	0.00573888
50	1	1	0.994796	1.57097	0.949668	0.0379867	0.00332384	0.00902184
60	1	1	0.99356	1.57177	0.944287	0.0457979	0.00188857	0.00802644
70	1	1	0.992529	1.56514	0.949217	0.0412909	0.00237304	0.00711913
80	1	1	0.99063	1.567	0.94518	0.0453686	0.00189036	0.00756144
90	1	1	0.989706	1.56222	0.94697	0.0416667	0.00236742	0.00899621
100	1	1	0.987955	1.57085	0.948317	0.0412518	0.00189663	0.00853485
110	1	1	0.987281	1.56306	0.951022	0.0399429	0.000475511	0.0085592
120	1	1	0.985865	1.56423	0.952835	0.0381134	0.00142925	0.00762268
130	1	1	0.985001	1.55882	0.951475	0.0356803	0.00237869	0.0104662
140	1	1	0.982943	1.56619	0.943841	0.0448325	0.00141576	0.00991034
150	1	1	0.980638	1.57327	0.940734	0.0465663	0.0014111	0.0112888
160	1	1	0.978764	1.57277	0.939408	0.0469704	0.00328793	0.0103335
170	1	1	0.97643	1.54993	0.95648	0.033955	0.00191296	0.00765184
180	1	1	0.975098	1.5605	0.946522	0.0430667	0.00141978	0.00899195
190	1	1	0.974319	1.55667	0.947418	0.0412127	0.00142113	0.00994789
200	1	1	0.972115	1.54669	0.947867	0.043128	0.000473934	0.00853081
210	1	1	0.97012	1.66338	0.934143	0.052312	0.00280243	0.0107426
220	1	1	0.968641	1.55144	0.940291	0.0479549	0.00282087	0.00893277
230	1	1	0.967574	1.54256	0.942507	0.0457116	0.00329877	0.00848256
240	1	1	0.965243	1.53619	0.948767	0.0393738	0.00237192	0.00948767
250	1	1	0.962985	1.52404	0.95511	0.0367717	0.00143266	0.00668577
260	1	1	0.961183	1.52889	0.950119	0.0408551	0.000475059	0.00855107
270	1	1	0.959491	1.5346	0.945626	0.0397163	0.00236407	0.0122931
280	1	1	0.956765	1.52705	0.950119	0.0422803	0.000475059	0.00712589
290	1	1	0.955801	1.53315	0.942951	0.0433758	0.00330033	0.0103725
300	1	1	0.954274	1.52241	0.95057	0.0375475	0.00285171	0.00903042
310	1	1	0.952075	1.5165	0.956023	0.0344168	0.00286807	0.00669216
320	1	1	0.949845	1.55775	0.934579	0.0518692	0.00327103	0.0102804
330	1	1	0.948004	1.52295	0.944733	0.0396788	0.00472367	0.0108644
340	1	1	0.944929	1.51356	0.949217	0.0370195	0.00189843	0.0118652
350	1	1	0.942247	1.53902	0.946522	0.0402272	0.0023663	0.010885
