Generation number	Total number of allele	Diversity	Activity	Time	Fertility rate	2 DSB on one site rate	No DSB rate	No symmetrical sites (binding + DSB) rate	q
6690	8	4.57489	0.91079	2.26767	0.948767	0.0218216	0.00521822	0.0241935	0.00624344
6700	8	4.43599	0.910264	2.28053	0.941176	0.0249412	0.00282353	0.0310588	0.00638277
6710	7	4.29753	0.908322	2.22305	0.947418	0.0284225	0.00236855	0.0217906	0.00627271
6720	10	4.24127	0.908016	2.17754	0.947418	0.0307911	0.00189484	0.0198958	0.00630785
6730	10	4.56794	0.910758	2.25475	0.948767	0.0265655	0.00189753	0.0227704	0.00635788
6740	7	4.40099	0.915209	2.28428	0.949217	0.0223066	0.00522069	0.0232558	0.00641118
6750	9	4.27546	0.909524	2.29691	0.94697	0.0250947	0.00236742	0.0255682	0.00635188
6760	7	4.04436	0.90683	2.24268	0.944287	0.0306893	0.00283286	0.0221907	0.00630322
6770	7	4.06877	0.907292	2.16762	0.947418	0.0312648	0.00236855	0.0189484	0.00643208
6780	7	3.99882	0.905026	2.24764	0.94162	0.0306026	0.00329567	0.0244821	0.00644172
6790	8	3.79255	0.905838	2.22899	0.94518	0.0316635	0.00236295	0.020794	0.00636604
6800	9	3.83071	0.909561	2.25766	0.949668	0.0270655	0.00332384	0.019943	0.00655373
6810	8	4.0761	0.905539	2.2236	0.953289	0.0252622	0.000953289	0.0204957	0.0063672
6820	8	3.81419	0.896665	2.49687	0.93985	0.0352444	0.0037594	0.0211466	0.00652297
6830	9	4.16209	0.896297	2.25813	0.942063	0.030146	0.00423928	0.0235516	0.00643852
6840	9	3.84295	0.898795	2.17281	0.951928	0.025702	0.00142789	0.0209424	0.00648605
6850	8	4.15441	0.898965	2.22258	0.934143	0.0368986	0.00513779	0.0238206	0.0064404
6860	9	4.03638	0.895502	2.26757	0.943396	0.0330189	0.00235849	0.0212264	0.00649537
6870	8	4.04172	0.889277	2.18737	0.95648	0.0229555	0.0023912	0.0181731	0.00634377
6880	7	4.10788	0.889414	2.25798	0.941176	0.0282353	0.00329412	0.0272941	0.00633594
6890	8	4.36122	0.887665	2.15305	0.94697	0.0274621	0.00378788	0.0217803	0.00620257
6900	7	4.65926	0.894359	2.28888	0.943396	0.0316038	0.00518868	0.0198113	0.00601244
6910	6	4.5939	0.890936	2.22087	0.94162	0.0291902	0.00188324	0.027307	0.00631434
6920	7	4.52679	0.889249	2.43669	0.94162	0.0268362	0.00094162	0.0306026	0.00630842
6930	7	4.26691	0.889572	2.20394	0.94518	0.0283554	0.00236295	0.0241021	0.00645582
6940	7	4.31101	0.887544	2.15983	0.938086	0.0347092	0.00469043	0.0225141	0.00649135
6950	7	3.7952	0.886869	2.20261	0.951022	0.0275796	0.00285307	0.0185449	0.00660978
6960	6	3.72614	0.879765	2.16042	0.93633	0.0351124	0.00093633	0.0276217	0.00649973
6970	5	3.91743	0.879182	2.15182	0.949668	0.0280152	0.00189934	0.0204179	0.00653605
6980	6	3.85674	0.879034	2.19129	0.944287	0.0273843	0.00377715	0.0245515	0.00647464
6990	7	3.93748	0.879973	2.19382	0.938967	0.0305164	0.00140845	0.029108	0.0066028
7000	5	3.96998	0.880015	2.15175	0.949668	0.0251662	0.00237417	0.022792	0.00642283
