Generation number	Total number of allele	Diversity	Activity	Time	Fertility rate	2 DSB on one site rate	No DSB rate	No symmetrical sites (binding + DSB) rate
750	35	8.09781	0.943168	2.22275	0.950119	0.0270784	0.000950119	0.0218527
760	34	9.01066	0.944026	2.24073	0.957396	0.0234562	0.00191479	0.0172331
770	35	9.22436	0.940942	2.14656	0.952835	0.0233444	0.00333492	0.0204859
780	29	8.54974	0.936511	2.12381	0.954198	0.0276718	0.0014313	0.0166985
790	33	7.92632	0.93365	2.12665	0.949217	0.0289511	0.00237304	0.0194589
800	33	7.49945	0.929965	2.08096	0.957396	0.0224988	0.000957396	0.0191479
810	26	7.74267	0.930364	2.10692	0.951928	0.026178	0.00237982	0.0195145
820	30	7.39624	0.929082	2.1129	0.948317	0.0275012	0.00237079	0.0218113
830	33	8.48738	0.932645	2.13517	0.949668	0.0242165	0.00237417	0.0237417
840	31	7.93454	0.928773	2.13327	0.950119	0.0209026	0.00285036	0.0261283
850	26	7.96919	0.930304	2.16946	0.947418	0.026054	0.00426338	0.0222643
860	25	8.35629	0.930889	2.09894	0.959233	0.022542	0.000959233	0.0172662
870	23	7.54294	0.926883	2.10358	0.947418	0.0279488	0.00142113	0.0232117
880	28	8.50627	0.928401	2.15436	0.949217	0.0261035	0.00522069	0.0194589
890	29	7.74147	0.925509	2.12003	0.927644	0.0440631	0.00139147	0.0269017
900	30	6.61792	0.919083	2.05776	0.953289	0.0233556	0.00238322	0.0209724
910	25	6.80769	0.919194	2.06822	0.943396	0.0264151	0.00377358	0.0264151
920	30	6.40072	0.918173	2.07046	0.953289	0.0247855	0.00238322	0.0195424
930	28	5.60322	0.913545	2.02699	0.945626	0.0260047	0.00378251	0.0245863
940	27	5.06367	0.909343	1.98888	0.948317	0.0256046	0.00142248	0.0246562
950	28	5.96864	0.91019	2.04875	0.952835	0.026203	0.00142925	0.0195331
960	28	5.07451	0.907697	2.02199	0.951022	0.0275796	0.00190204	0.019496
970	28	5.77406	0.912242	2.02979	0.945626	0.0260047	0.00330969	0.0250591
980	25	7.54118	0.920003	2.09322	0.951475	0.0242626	0.00237869	0.0218839
990	33	8.75703	0.926291	2.16521	0.948317	0.0289237	0.000474158	0.0222854
1000	32	9.18851	0.930629	2.10914	0.957396	0.0201053	0.00239349	0.0201053
1010	27	8.79098	0.931764	2.13028	0.951022	0.0290062	0.00237756	0.0175939
1020	28	8.43948	0.932452	2.1032	0.948317	0.0256046	0.00284495	0.0232338
1030	25	9.29374	0.936474	2.12877	0.950119	0.0285036	0.0023753	0.0190024
1040	26	9.6627	0.939724	2.14897	0.947867	0.028436	0.000947867	0.0227488
1050	33	9.87132	0.936685	2.10132	0.952381	0.0257143	0.00238095	0.0195238
1060	25	10.1808	0.937927	2.13209	0.949217	0.0270527	0.00237304	0.0213574
1070	24	9.55608	0.94041	2.17663	0.947418	0.026054	0.00189484	0.0246329
1080	28	9.16571	0.942171	2.1657	0.945626	0.0245863	0.00378251	0.0260047
1090	25	9.03041	0.941262	2.12927	0.950119	0.0251781	0.0023753	0.0223278
1100	25	9.16419	0.947091	2.10205	0.956023	0.0286807	0.00191205	0.0133843
1110	31	10.4975	0.954319	2.16468	0.949668	0.0261159	0.0014245	0.022792
1120	31	9.53315	0.952602	2.13485	0.960615	0.0220941	0.00240154	0.0148895
1130	30	7.17622	0.95285	2.11646	0.951022	0.0275796	0.00332858	0.0180694
1140	31	6.97169	0.954509	2.17741	0.948317	0.0256046	0.00426743	0.0218113
1150	27	7.43308	0.957262	2.15852	0.948767	0.0265655	0.00237192	0.022296
