Generation number	Allele number	Frequency	Activity
0	-3	0	0.999875
0	0	1	0.999895
10	-3	0	0.999085
10	0	1	0.998963
20	-3	0	0.998114
20	0	1	0.998055
30	-3	0	0.997101
30	0	1	0.9972
40	-3	0	0.995925
40	0	1	0.996119
50	-3	0	0.994981
50	0	1	0.994796
60	-3	0	0.99385
60	0	1	0.99356
70	-3	0	0.993271
70	0	1	0.992529
80	-3	0	0.992361
80	0	1	0.99063
90	-3	0	0.991063
90	0	1	0.989706
100	-3	0	0.990398
100	0	1	0.987955
110	-3	0	0.989291
110	0	1	0.987281
120	-3	0	0.98838
120	0	1	0.985865
130	-3	0	0.98697
130	0	1	0.985001
140	-3	0	0.98582
140	0	1	0.982943
150	-3	0	0.984453
150	0	1	0.980638
160	-3	0	0.983629
160	0	1	0.978764
170	-3	0	0.983431
170	0	1	0.97643
180	-3	0	0.981904
180	0	1	0.975098
190	-3	0	0.981004
190	0	1	0.974319
200	-3	0	0.980725
200	0	1	0.972115
210	-3	0	0.97945
210	0	1	0.97012
220	-3	0	0.97836
220	0	1	0.968641
230	-3	0	0.977585
230	0	1	0.967574
240	-3	0	0.977149
240	0	1	0.965243
250	-3	0	0.975349
250	0	1	0.962985
260	-3	0	0.973866
260	0	1	0.961183
270	-3	0	0.97281
270	0	1	0.959491
280	-3	0	0.971841
280	0	1	0.956765
290	-3	0	0.970218
290	0	1	0.955801
300	-3	0	0.969349
300	0	1	0.954274
310	-3	0	0.96876
310	0	1	0.952075
320	-3	0	0.966951
320	0	1	0.949845
330	-3	0	0.965331
330	0	1	0.948004
340	-3	0	0.964613
340	0	1	0.944929
350	-3	0	0.963888
350	0	1	0.942247
360	-3	0	0.963335
360	0	1	0.940789
370	-3	0	0.963699
370	0	1	0.938621
380	-3	0	0.962448
380	0	1	0.936128
390	-3	0	0.961079
390	0	1	0.932158
400	-3	0	0.960083
400	0	1	0.929579
410	-3	0	0.958693
410	0	1	0.925039
420	-3	0	0.959415
420	0	1	0.92247
430	-3	0	0.959233
430	0	1	0.918294
440	-3	0	0.957899
440	0	1	0.915993
450	-3	0	0.957158
450	0	1	0.9111
460	-3	0	0.956996
460	0	1	0.90634
470	-3	0	0.955125
470	0	1	0.903039
480	-3	0	0.953764
480	0	1	0.90013
490	-3	0	0.953539
490	0	1	0.897959
500	-3	0	0.95116
500	0	1	0.892405
510	-3	0	0.949699
510	0	1	0.888875
520	-3	0	0.949478
520	0	1	0.88493
530	-3	0	0.948894
530	0	1	0.880938
540	-3	0	0.947314
540	0	1	0.878183
550	-3	0	0.946235
550	0	1	0.873256
560	-3	0	0.944841
560	0	1	0.869351
570	-3	0	0.944614
570	0	1	0.864106
580	-3	0	0.943249
580	0	1	0.859528
590	-3	0	0.941876
590	0	1	0.85457
600	-3	0	0.941979
600	0	1	0.851684
610	-3	0	0.940573
610	0	1	0.847719
620	-3	0	0.939116
620	0	1	0.843786
630	-3	0	0.93729
630	0	1	0.839603
640	-3	0	0.936995
640	0	1	0.836853
650	-3	0	0.937634
650	0	1	0.83095
660	-3	0	0.936896
660	0	1	0.828017
670	-3	0	0.93644
670	0	1	0.824635
680	-3	0	0.935484
680	0	1	0.819389
690	-3	0	0.934283
690	0	1	0.813693
700	-3	0	0.933155
700	0	1	0.809788
710	-3	0	0.931354
710	0	1	0.8052
720	-3	0	0.929996
720	0	1	0.799728
730	-3	0	0.928129
730	0	1	0.795694
740	-3	0	0.92761
740	0	1	0.790646
750	-3	0	0.927716
750	0	1	0.785581
760	-3	0	0.926646
760	0	1	0.77992
770	-3	0	0.926479
770	0	1	0.776878
780	-3	0	0.924298
780	0	1	0.771149
790	-3	0	0.923449
790	0	1	0.767038
800	-3	0	0.923208
800	0	1	0.761051
810	-3	0	0.922243
810	0	1	0.754538
820	-3	0	0.92066
820	0	1	0.748911
830	-3	0	0.919945
830	0	1	0.743748
840	-3	0	0.91891
840	0	1	0.738481
850	-3	0	0.917909
850	0	1	0.731434
860	-3	0	0.916193
860	0	1	0.727885
870	-3	0	0.916303
870	0	1	0.72188
880	-3	0	0.916705
880	0	1	0.714597
890	-3	0	0.9162
890	0	1	0.710143
900	-3	0	0.914649
900	0	1	0.704961
910	-3	0	0.913848
910	0	1	0.699445
920	-3	0	0.913789
920	0	1	0.693905
930	-3	0	0.912424
930	0	1	0.688051
940	-3	0	0.912191
940	0	1	0.680157
950	-3	0	0.91185
950	0	1	0.670504
960	-3	0	0.910184
960	0	1	0.662715
970	-3	0	0.909075
970	0	1	0.658389
980	-3	0	0.907153
980	0	1	0.653703
990	-3	0	0.90692
990	0	1	0.647505
1000	-3	0	0.905494
1000	0	1	0.643196
1010	-3	0	0.904851
1010	0	1	0.639449
1020	-3	0	0.904378
1020	0	1	0.633595
1030	-3	0	0.903594
1030	0	1	0.627008
1040	-3	0	0.902948
1040	0	1	0.61901
1050	-3	0	0.903003
1050	0	1	0.612143
1060	-3	0	0.901531
1060	0	1	0.60582
1070	-3	0	0.900871
1070	0	1	0.602075
1080	-3	0	0.898438
