Generation number	Total number of allele	Diversity	Activity	Time	Fertility rate	2 DSB on one site rate	No DSB rate	No symmetrical sites (binding + DSB) rate
0	1	1	0.999889	1.55817	0.949668	0.0417854	0.00189934	0.00664767
10	2	1.001	0.998783	1.54904	0.948767	0.0393738	0.000474383	0.0113852
20	1	1	0.997769	1.55782	0.941176	0.0494118	0	0.00941176
30	2	1.002	0.996559	1.53907	0.953289	0.0381316	0.000476644	0.00810296
40	1	1	0.995319	1.54433	0.950119	0.0408551	0.0023753	0.00665083
50	2	1.001	0.994087	1.55953	0.952835	0.0371606	0.00333492	0.00666984
60	1	1	0.992361	1.55559	0.942951	0.0466761	0.00377181	0.00660066
70	2	1.00502	0.991252	1.55217	0.942063	0.0485163	0.00188413	0.0075365
80	2	1.00502	0.989977	1.53904	0.951475	0.0385347	0.00142721	0.00856327
90	1	1	0.988743	1.55128	0.942951	0.0466761	0.00282885	0.00754361
100	2	1.00301	0.987099	1.52957	0.95511	0.0396371	0.00095511	0.00429799
110	2	1.00301	0.985704	1.53729	0.95057	0.039924	0.003327	0.00617871
120	2	1.00401	0.98415	1.5434	0.949217	0.0398671	0.00284765	0.00806834
130	2	1.00401	0.983431	1.55122	0.947418	0.0454761	0.00284225	0.00426338
140	1	1	0.98166	1.54184	0.942951	0.0419613	0.000942951	0.0141443
150	1	1	0.980479	1.55048	0.954654	0.0386635	0.00238663	0.00429594
160	2	1.00602	0.978887	1.54329	0.940734	0.05127	0.00376294	0.0042333
170	2	1.01715	0.977582	1.55127	0.940291	0.051716	0.00141044	0.00658204
180	2	1.00804	0.975169	1.53274	0.949217	0.0403417	0.000949217	0.00949217
190	1	1	0.972424	1.52136	0.951022	0.040894	0.00190204	0.00618165
200	1	1	0.971408	1.66557	0.942063	0.0456901	0.00518135	0.00706547
210	1	1	0.970416	1.50976	0.951475	0.0375833	0.000951475	0.00999049
220	1	1	0.969205	1.51365	0.943396	0.0462264	0.00188679	0.00849057
230	1	1	0.967868	1.49798	0.955566	0.0367893	0.0028667	0.00477783
240	3	1.01108	0.965332	1.5075	0.951475	0.0375833	0.0038059	0.00713606
250	2	1.01411	0.963845	1.51655	0.951475	0.0399619	0.000475737	0.00808754
260	2	1.02123	0.962721	1.53294	0.938527	0.0483341	0.00140779	0.0117316
270	2	1.01715	0.960228	1.51897	0.95057	0.0375475	0.003327	0.00855513
280	2	1.01411	0.957515	1.51246	0.943841	0.041529	0.00283152	0.011798
