Generation number	Allele number	Frequency	Activity
0	-3	0.999905	0.000189812
0	0	1	0.999886
10	-3	0.998954	0.00208405
10	0	1	0.998913
20	-3	0.998178	0.00361979
20	0	1	0.997986
30	-3	0.997249	0.00544702
30	0	1	0.997073
40	-3	0.996166	0.00754605
40	0	1	0.99597
50	-3	0.994873	0.0100617
50	0	1	0.994721
60	-3	0.993824	0.0120842
60	0	1	0.993825
70	-3	0.992593	0.0144188
70	0	1	0.992009
80	-3	0.992076	0.0154058
80	0	1	0.990308
90	-3	0.991208	0.0170074
90	0	1	0.988774
100	-3	0.990234	0.0187994
100	0	1	0.987465
110	-3	0.988868	0.0213553
110	0	0.997999	0.985994
110	3	0.002001	0.999309
120	-3	0.987705	0.0235659
120	0	0.998499	0.984783
120	3	0.00050025	0.998163
120	5	0.0010005	0.999675
130	-3	0.986449	0.0258345
130	0	1	0.983083
140	-3	0.98501	0.0284386
140	0	1	0.981494
150	-3	0.984085	0.0300914
150	0	1	0.979429
160	-3	0.983504	0.031282
160	0	1	0.977674
170	-3	0.982446	0.0331839
170	0	1	0.975482
180	-3	0.981035	0.0356597
180	0	1	0.973846
190	-3	0.979769	0.0379148
190	0	1	0.970896
200	-3	0.978354	0.0404
200	0	1	0.968729
210	-3	0.976829	0.0430139
210	0	1	0.966531
220	-3	0.975781	0.0447728
220	0	1	0.96464
230	-3	0.97443	0.0470218
230	0	1	0.96293
240	-3	0.972946	0.0493222
240	0	0.998999	0.961608
240	6	0.0010005	0.9999
250	-3	0.972175	0.0505573
250	0	0.993997	0.958411
250	6	0.006003	0.998878
260	-3	0.971253	0.0524174
260	0	0.997499	0.954345
260	6	0.00250125	0.998046
270	-3	0.969765	0.0546427
270	0	1	0.953125
280	-3	0.968526	0.0566678
280	0	1	0.951591
290	-3	0.967083	0.0587758
290	0	1	0.948034
300	-3	0.96648	0.0598064
300	0	1	0.946325
310	-3	0.964026	0.063767
310	0	1	0.945649
320	-3	0.963821	0.0640591
320	0	0.995998	0.943284
320	8	0.004002	0.99938
330	-3	0.962954	0.0651741
330	0	0.996498	0.940695
330	8	0.00350175	0.99838
340	-3	0.962157	0.0666753
340	0	0.998999	0.937944
340	8	0.0010005	0.997318
350	-3	0.961174	0.0679823
350	0	0.997499	0.935416
350	10	0.00250125	0.999444
360	-3	0.959926	0.0702759
360	0	1	0.931539
370	-3	0.959024	0.0719067
370	0	1	0.927316
380	-3	0.959123	0.071672
380	0	1	0.924914
390	-3	0.957777	0.0735757
390	0	1	0.921425
400	-3	0.956801	0.0749578
400	0	1	0.918559
410	-3	0.955298	0.0774248
410	0	1	0.91559
420	-3	0.954344	0.0788343
420	0	1	0.911684
430	-3	0.95327	0.0799935
430	0	1	0.909146
440	-3	0.952508	0.0810071
440	0	1	0.905569
450	-3	0.951478	0.0829661
450	0	1	0.902964
460	-3	0.94981	0.0853356
460	0	1	0.898887
470	-3	0.949415	0.0856418
470	0	1	0.89769
480	-3	0.948259	0.0872193
480	0	1	0.89337
490	-3	0.947054	0.0887079
490	0	1	0.89034
500	-3	0.946061	0.0894432
500	0	1	0.887423
510	-3	0.945746	0.0895804
510	0	1	0.883961
520	-3	0.945582	0.0896828
520	0	1	0.880684
530	-3	0.944375	0.0912152
530	0	1	0.876354
540	-3	0.94205	0.0946984
540	0	1	0.872059
550	-3	0.941806	0.0942971
550	0	1	0.867085
560	-3	0.942469	0.0926733
560	0	1	0.862676
570	-3	0.94158	0.094257
570	0	1	0.857101
580	-3	0.941084	0.0946031
580	0	1	0.853299
590	-3	0.939593	0.0961185
590	0	1	0.849856
600	-3	0.938466	0.0973635
600	0	1	0.845235
610	-3	0.936174	0.100795
610	0	1	0.841558
620	-3	0.935778	0.101004
620	0	1	0.835395
630	-3	0.934833	0.102348
630	0	1	0.831543
640	-3	0.934466	0.103024
640	0	1	0.825121
650	-3	0.934026	0.103709
650	0	0.9995	0.820114
650	16	0.00050025	0.999891
660	-3	0.932658	0.105404
660	0	1	0.81394
670	-3	0.931993	0.106116
670	0	1	0.808589
680	-3	0.93191	0.105098
680	0	1	0.802916
690	-3	0.932041	0.104651
690	0	0.998999	0.795795
690	18	0.0010005	1
700	-3	0.929915	0.106395
700	0	1	0.791375
710	-3	0.929548	0.106664
710	0	1	0.785559
720	-3	0.927835	0.108554
720	0	1	0.778681
730	-3	0.927481	0.109384
730	0	1	0.774515
740	-3	0.927945	0.108933
740	0	1	0.76987
750	-3	0.925988	0.110303
750	0	1	0.764384
760	-3	0.92555	0.112222
760	0	1	0.759509
770	-3	0.924185	0.114277
770	0	1	0.752692
780	-3	0.923666	0.114694
780	0	1	0.745297
790	-3	0.922044	0.116169
790	0	1	0.738309
800	-3	0.921209	0.117565
800	0	1	0.73348
810	-3	0.920013	0.119272
810	0	1	0.72761
820	-3	0.920455	0.119046
820	0	1	0.722878
830	-3	0.919795	0.119587
830	0	1	0.715981
840	-3	0.918614	0.120845
840	0	0.992996	0.710617
840	22	0.0070035	0.99902
850	-3	0.918078	0.120512
850	0	0.981991	0.705084
850	22	0.018009	0.997863
860	-3	0.918781	0.119329
860	0	0.975988	0.701293
860	22	0.024012	0.996811
870	-3	0.916997	0.122321
870	0	0.983992	0.694066
870	22	0.0125063	0.995583
870	23	0.00350175	0.999589
880	-3	0.916525	0.123628
880	0	0.985493	0.688123
880	22	0.0145073	0.994116
890	-3	0.915261	0.124873
890	0	0.97949	0.68347
890	22	0.0205103	0.993226
900	-3	0.914529	0.125877
900	0	0.992996	0.679574
900	22	0.0070035	0.992295
910	-3	0.91395	0.127239
910	0	0.9995	0.674669
910	22	0.00050025	0.99114
920	-3	0.912974	0.128755
920	0	0.9995	0.669451
920	25	0.00050025	0.999895
930	-3	0.91169	0.128984
930	0	1	0.662016
940	-3	0.910328	0.130147
940	0	1	0.655455
950	-3	0.909635	0.130103
950	0	0.998999	0.648728
950	26	0.0010005	0.999676
960	-3	0.908159	0.131473
960	0	0.998499	0.642355
960	26	0.00150075	0.998679
970	-3	0.907246	0.132673
970	0	0.9995	0.637463
970	28	0.00050025	1
980	-3	0.906826	0.133668
980	0	1	0.62992
990	-3	0.906641	0.133254
990	0	1	0.623016
1000	-3	0.906438	0.133413
1000	0	1	0.618154
1010	-3	0.905898	0.134822
1010	0	1	0.610141
1020	-3	0.904894	0.136525
1020	0	1	0.604616
1030	-3	0.903746	0.137889
1030	0	1	0.59759
1040	-3	0.903131	0.138666
1040	0	1	0.590294
1050	-3	0.902576	0.139649
1050	0	1	0.583819
1060	-3	0.901104	0.140413
1060	0	1	0.577871
1070	-3	0.899692	0.140867
1070	0	1	0.572294
1080	-3	0.898321	0.141734
1080	0	1	0.567139
1090	-3	0.898122	0.142032
1090	0	1	0.559552
1100	-3	0.897943	0.141957
1100	0	1	0.553179
1110	-3	0.895906	0.143825
1110	0	1	0.546896
1120	-3	0.894518	0.145162
1120	0	0.9995	0.539501
1120	30	0.00050025	1
1130	-3	0.892452	0.147894
1130	0	1	0.530274
1140	-3	0.894044	0.146734
1140	0	1	0.523138
1150	-3	0.891659	0.149162
1150	0	1	0.514451
1160	-3	0.891257	0.149754
1160	0	1	0.507556
1170	-3	0.890815	0.150842
1170	0	1	0.501622
1180	-3	0.889134	0.151015
1180	0	1	0.494329
