Generation number,Allele number,Frequency,Activity,,Mean Activity
80,17,"0,0165083","0,993714",,"0,966932851066877"
80,25,"0,014007","0,993091",,"0,966932851066877"
80,58,"0,0495248","0,995265",,"0,966932851066877"
80,86,"0,00550275","0,996304",,"0,966932851066877"
80,111,"0,0455228","0,996909",,"0,966932851066877"
80,130,"0,00050025","0,997971",,"0,966932851066877"
80,142,"0,0010005","0,998353",,"0,966932851066877"
80,147,"0,00550275","0,998373",,"0,966932851066877"
80,156,"0,00050025","0,999029",,"0,966932851066877"
80,163,"0,0030015","0,999598",,"0,966932851066877"
80,164,"0,0010005","0,999666",,"0,966932851066877"
80,166,"0,00150075","0,999805",,"0,966932851066877"
80,169,"0,00150075","0,999904",,"0,966932851066877"
80,171,"0,00050025",1,,"0,966932851066877"
80,173,"0,00050025",1,,"0,966932851066877"
80,174,"0,00050025",1,,"0,966932851066877"
90,-3,0,"0,991295",,"0,966932851066877"
90,0,"0,770885","0,989651",,"0,966932851066877"
90,1,"0,0195098","0,991871",,"0,966932851066877"
90,17,"0,0250125","0,992546",,"0,966932851066877"
90,25,"0,016008","0,992129",,"0,966932851066877"
90,58,"0,0955478","0,994774",,"0,966932851066877"
90,86,"0,00850425","0,995593",,"0,966932851066877"
90,111,"0,0455228","0,995326",,"0,966932851066877"
90,142,"0,00050025","0,997263",,"0,966932851066877"
90,147,"0,0030015","0,997336",,"0,966932851066877"
90,156,"0,0050025","0,998065",,"0,966932851066877"
90,163,"0,00550275","0,998504",,"0,966932851066877"
90,173,"0,00250125","0,998885",,"0,966932851066877"
90,180,"0,00150075","0,999376",,"0,966932851066877"
90,186,"0,00050025","0,999788",,"0,966932851066877"
90,188,"0,00050025",1,,"0,966932851066877"
100,-3,0,"0,990481",,"0,966932851066877"
100,0,"0,734867","0,987993",,"0,966932851066877"
100,1,"0,0175088","0,990778",,"0,966932851066877"
100,17,"0,0285143","0,99148",,"0,966932851066877"
100,25,"0,0250125","0,991693",,"0,966932851066877"
100,58,"0,106053","0,993605",,"0,966932851066877"
100,86,"0,018009","0,994879",,"0,966932851066877"
100,111,"0,0530265","0,994215",,"0,966932851066877"
100,147,"0,00350175","0,996466",,"0,966932851066877"
100,156,"0,00350175","0,997081",,"0,966932851066877"
100,163,"0,00450225","0,997583",,"0,966932851066877"
100,173,"0,00450225","0,997941",,"0,966932851066877"
100,199,"0,00050025","0,999703",,"0,966932851066877"
100,202,"0,00050025",1,,"0,966932851066877"
110,-3,0,"0,989024",,"0,966932851066877"
110,0,"0,748374","0,986696",,"0,966932851066877"
110,1,"0,024012","0,990068",,"0,966932851066877"
110,17,"0,0255128","0,989814",,"0,966932851066877"
110,25,"0,0290145","0,990756",,"0,966932851066877"
