Generation number,Total number of allele,Diversity,Activity,Time,Fertility rate,2 DSB on one site rate,No DSB rate,No symmetrical sites (binding + DSB) rate,q,,"0,944800765999996"
2180,7,"2,70615","0,902043","2,04978","0,945626","0,0288416","0,00330969","0,0222222","0,00702553",,
2190,5,"3,0691","0,89632","2,10624","0,942507","0,0377003","0,00235627","0,0174364","0,00678112",,
2200,5,"2,9237","0,901413","2,08632","0,950119","0,0285036","0,00190024","0,0194774","0,00688108",,
2210,5,"3,54186","0,892053","2,1577","0,944287","0,0316336","0,000944287","0,023135","0,00671212",,
2220,6,"3,84258","0,888328","2,14357","0,93985","0,031015","0,00328947","0,0258459","0,00668047",,
2230,7,"3,78962","0,888048","2,07578","0,941176","0,0305882","0,00282353","0,0254118","0,00660767",,
2240,7,"4,10354","0,89516","2,15945","0,951475","0,0233111","0,00142721","0,0237869","0,00648393",,
2250,8,"4,37479","0,893341","2,18954","0,946522","0,0298154","0,00141978","0,0222433","0,00647791",,
2260,6,"3,80758","0,883933","2,0965","0,950119","0,0251781","0,00285036","0,0218527","0,00662386",,
2270,8,"3,58164","0,898194","2,12785","0,940734","0,0310442","0,00235183","0,0258702","0,00669042",,
2280,6,"3,34833","0,904258","2,13368","0,940734","0,0329257","0,00188147","0,0244591","0,00666251",,
2290,7,"3,24527","0,904303","2,12765","0,95511","0,025788","0,00238777","0,0167144","0,00666049",,
2300,6,"3,09414","0,908847","2,16504","0,94518","0,0311909","0,00141777","0,0222117","0,00665904",,
2310,5,"2,97148","0,898921","2,08725","0,953743","0,0214592","0,0033381","0,0214592","0,00673498",,
2320,5,"3,00267","0,8998","2,0985","0,936768","0,0309133","0,00327869","0,0290398","0,00668391",,
2330,6,"2,8087","0,898301","2,04073","0,946522","0,0279224","0,00283956","0,0227165","0,00692561",,
2340,6,"2,9899","0,908899","2,06107","0,949668","0,0270655","0,00189934","0,0213675","0,00692863",,
2350,6,"3,00493","0,916054","2,08048","0,946522","0,0293422","0,0023663","0,02177","0,0067372",,
2360,6,"2,94326","0,916079","2,17715","0,942063","0,0367405","0,00188413","0,0193123","0,00669888",,
2370,4,"3,10819","0,918067","2,12298","0,94697","0,0298295","0,00473485","0,0184659","0,00670504",,
2380,5,"3,02085","0,915142","2,11609","0,943841","0,0302029","0,0023596","0,023596","0,00668141",,
2390,6,"3,17053","0,911302","2,14273","0,950119","0,0251781","0,00427553","0,0204276","0,00658929",,
2400,6,"3,15108","0,906865","2,12952","0,942951","0,0372466","0,000942951","0,018859","0,00669486",,
2410,6,"3,11122","0,901452","2,11642","0,946074","0,0312204","0,00236518","0,0203406","0,0066917",,
2420,7,"3,08637","0,900064","2,10459","0,94518","0,0311909","0,00094518","0,0226843","0,00677444",,
2430,4,"3,06575","0,90024","2,06737","0,948767","0,0303605","0,0028463","0,0180266","0,00677827",,
2440,4,"3,04236","0,898318","2,08492","0,938086","0,0333021","0,00234522","0,0262664","0,00681944",,
2450,5,"2,83204","0,895803","2,04226","0,948317","0,0303461","0,000948317","0,0203888","0,00686957",,
2460,4,"2,94377","0,894277","2,07659","0,940734","0,033396","0,00376294","0,0221072","0,00690804",,
2470,4,"2,9567","0,890582","2,08929","0,94697","0,0317235","0,00189394","0,0194129","0,00694021",,
2480,7,"3,05415","0,891607","2,11673","0,940734","0,0310442","0,0014111","0,0268109","0,00678615",,
2490,5,"3,1781","0,890658","2,06884","0,944733","0,0259802","0,0014171","0,0278696","0,00670974",,
2500,5,"3,06783","0,889002","2,07694","0,946074","0,0283822","0,000946074","0,0245979","0,00688518",,
2510,5,"3,00026","0,88467","2,10093","0,948317","0,0279753","0,00237079","0,0213371","0,00701867",,
2520,6,"3,00798","0,882895","2,12045","0,931966","0,0312209","0,0055918","0,0312209","0,00703906",,
2530,6,"3,15092","0,880985","2,09524","0,940734","0,0291627","0,00329257","0,0268109","0,00686188",,
2540,5,"3,16217","0,87886","2,08291","0,939408","0,0389854","0,00234852","0,0192579","0,00670865",,
