Generation number	Allele number	Frequency	Activity
0	-3	0	0.999986
0	0	1	0.999991
10	-3	0	0.999929
10	0	0.995498	0.99991
10	1	0.00450225	0.99993
20	-3	0	0.999821
20	0	0.995998	0.999694
20	1	0.004002	0.999851
30	-3	0	0.999671
30	0	0.985493	0.999458
30	1	0.0145073	0.999687
40	-3	0	0.999609
40	0	0.996498	0.999416
40	1	0.00350175	0.999694
50	-3	0	0.999468
50	0	1	0.999231
60	-3	0	0.999496
60	0	0.997999	0.999053
60	8	0.002001	0.99989
70	-3	0	0.999475
70	0	1	0.998906
80	-3	0	0.999518
80	0	0.998999	0.99863
80	12	0.0010005	0.999944
90	-3	0	0.999335
90	0	0.9995	0.998431
90	16	0.00050025	0.999995
100	-3	0	0.999203
100	0	0.998999	0.998379
100	18	0.0010005	1
110	-3	0	0.999139
110	0	0.998499	0.997996
110	19	0.00150075	0.999966
120	-3	0	0.999051
120	0	0.9995	0.997868
120	22	0.00050025	1
130	-3	0	0.998968
130	0	0.998499	0.99802
130	26	0.00150075	0.999929
140	-3	0	0.998838
140	0	0.997499	0.998031
140	28	0.00250125	0.999945
150	-3	0	0.99886
150	0	1	0.997815
160	-3	0	0.998608
160	0	1	0.997555
170	-3	0	0.998456
170	0	1	0.997234
180	-3	0	0.998414
180	0	1	0.997211
190	-3	0	0.998504
190	0	1	0.997068
200	-3	0	0.99876
200	0	1	0.996763
210	-3	0	0.998688
210	0	0.9995	0.99656
210	35	0.00050025	0.999985
220	-3	0	0.998456
220	0	0.997499	0.99662
220	35	0.00050025	0.999901
220	37	0.002001	0.999983
230	-3	0	0.998409
230	0	1	0.996481
240	-3	0	0.998594
240	0	0.998999	0.996424
240	42	0.0010005	1
250	-3	0	0.998536
250	0	0.991996	0.996258
250	44	0.0030015	0.99994
250	45	0.0010005	0.999965
250	46	0.00350175	0.999968
250	47	0.00050025	1
260	-3	0	0.998579
260	0	0.983492	0.996135
260	44	0.00550275	0.999798
260	45	0.010005	0.999874
260	46	0.0010005	0.999886
270	-3	0	0.998358
270	0	0.988994	0.996
270	44	0.00150075	0.99975
270	45	0.0010005	0.999719
270	46	0.00750375	0.999793
270	53	0.0010005	1
280	-3	0	0.998264
280	0	0.970985	0.995928
280	44	0.00050025	0.999675
280	45	0.00850425	0.999618
280	46	0.0175088	0.99984
280	54	0.00250125	0.999914
290	-3	0	0.998261
290	0	0.955978	0.995465
290	44	0.0070035	0.99948
290	45	0.0115058	0.999603
290	46	0.0255128	0.999816
300	-3	0	0.998391
300	0	0.962981	0.994786
300	45	0.0115058	0.99959
300	46	0.0215108	0.999655
300	57	0.004002	0.999943
310	-3	0	0.998261
310	0	0.974487	0.994656
310	45	0.00350175	0.999569
310	46	0.0190095	0.999414
310	57	0.0030015	0.999857
320	-3	0	0.99809
320	0	0.973987	0.994556
320	45	0.0135068	0.999433
320	46	0.0105053	0.999309
320	62	0.0010005	0.999964
320	64	0.0010005	0.999989
330	-3	0	0.998049
330	0	0.964982	0.994924
330	45	0.0275138	0.999364
330	46	0.006003	0.99909
330	67	0.00150075	0.999954
340	-3	0	0.998059
340	0	0.973987	0.994881
340	45	0.0165083	0.999235
340	46	0.00950475	0.999103
350	-3	0	0.998063
350	0	0.975488	0.994724
350	45	0.0135068	0.999159
350	46	0.0030015	0.99899
350	70	0.00050025	0.999915
350	71	0.0030015	0.99991
350	72	0.00450225	0.999954
360	-3	0	0.997901
360	0	0.965483	0.994486
360	45	0.0185093	0.998999
360	46	0.00250125	0.999081
360	71	0.012006	0.999786
360	72	0.00150075	0.999819
370	-3	0	0.998101
370	0	0.969485	0.99435
370	45	0.010005	0.999038
370	46	0.008004	0.999071
370	71	0.0125063	0.99964
380	-3	0	0.997974
380	0	0.973487	0.993906
380	45	0.002001	0.999212
380	46	0.006003	0.998673
380	71	0.0185093	0.999483
390	-3	0	0.997828
390	0	0.943972	0.99357
390	45	0.00550275	0.999138
390	46	0.016008	0.998648
390	71	0.0345173	0.999359
400	-3	0	0.997819
400	0	0.958979	0.99287
400	45	0.00250125	0.999164
400	46	0.00350175	0.998591
400	71	0.0315158	0.999251
400	81	0.00250125	0.999949
400	82	0.0010005	0.99997
410	-3	0	0.99778
410	0	0.95998	0.992316
410	45	0.0090045	0.998973
410	46	0.0050025	0.99846
410	71	0.0190095	0.999258
410	81	0.0070035	0.999905
420	-3	0	0.997586
420	0	0.93947	0.99236
420	45	0.0050025	0.999053
