Generation number	Total number of allele	Diversity	Activity	Time	Fertility rate	2 DSB on one site rate	No DSB rate	No symmetrical sites (binding + DSB) rate	q
0	1	1	1	1.51088	0.992063	0	0.0014881	0.00644841	1.16068
10	1	1	0.999976	1.52059	0.990099	0	0.0029703	0.00693069	1.15483
20	2	1.002	0.999975	1.55991	0.989609	0	0.00395844	0.00643246	1.15333
30	2	1.00301	0.999969	1.56846	0.991572	0	0.00148736	0.006941	1.14795
40	3	1.00301	0.999985	1.60005	0.989609	0	0.00247402	0.00791687	1.15482
50	3	1.01515	0.999969	1.61161	0.989609	0	0.00148441	0.00890648	1.16183
60	4	1.06776	0.999964	1.61092	0.988631	0	0.00197726	0.00939199	1.14266
70	4	1.05275	0.999942	1.60086	0.99108	0	0.00297324	0.00594648	1.16802
80	8	1.06803	0.999895	1.62399	0.988631	0	0.00346021	0.00790905	1.16294
90	8	1.06696	0.999901	1.61073	0.992556	0	0.00198511	0.00545906	1.16314
100	3	1.02541	0.999923	1.56553	0.99453	0	0.0014918	0.00397812	1.16852
110	4	1.02438	0.999957	1.56316	0.992063	0	0.0014881	0.00644841	1.15621
120	4	1.02337	0.999984	1.58901	0.992063	0	0.0014881	0.00644841	1.13492
130	3	1.03474	0.999988	1.57957	0.993542	0	0.00149031	0.00496771	1.15514
140	3	1.02849	0.999987	1.57211	0.992063	0	0.000992063	0.00694444	1.15822
150	4	1.01413	0.999983	1.56176	0.99108	0	0.00099108	0.00792864	1.14955
160	2	1.01006	0.999972	1.55088	0.991572	0	0.00198314	0.00644522	1.14704
170	1	1	0.999975	1.55859	0.990099	0	0.0029703	0.00693069	1.17268
180	2	1.002	0.999933	1.55203	0.987167	0	0.00345508	0.00937808	1.15485
190	2	1.00502	0.999953	1.54895	0.993049	0	0.000993049	0.00595829	1.15252
200	4	1.02955	0.999927	1.6075	0.994036	0	0.000497018	0.0054672	1.1425
210	3	1.01514	0.999933	1.60019	0.990099	0	0.00247525	0.00742574	1.15863
220	3	1.01819	0.999898	1.57923	0.987654	0	0.00395062	0.00839506	1.15209
230	2	1.02841	0.99988	1.58854	0.98912	0	0.00098912	0.0098912	1.16303
240	2	1.02944	0.999832	1.57613	0.991572	0	0.0034705	0.00495786	1.15408
250	3	1.0492	0.999868	1.63561	0.99453	0	0.00099453	0.00447539	1.15131
260	2	1.03253	0.999822	1.57884	0.990099	0	0.0029703	0.00693069	1.15765
270	2	1.04082	0.999859	1.5935	0.989609	0	0.00197922	0.00841168	1.14868
280	2	1.01919	0.999856	1.55323	0.991572	0	0.0034705	0.00495786	1.14931
290	2	1.0346	0.999764	1.5867	0.990589	0	0.00148588	0.00792472	1.15134
300	3	1.04414	0.999709	1.59946	0.992556	0	0.00297767	0.0044665	1.15801
310	3	1.05039	0.999625	1.62025	0.988142	0	0.00247036	0.00938735	1.15755
320	3	1.04513	0.999579	1.61443	0.992556	0	0.00198511	0.00545906	1.14936
330	6	1.09898	0.999692	1.66909	0.990099	0	0.00148515	0.00841584	1.15553
340	8	1.11554	0.999776	1.65505	0.992063	0	0	0.00793651	1.14176
350	8	1.13999	0.999802	1.7048	0.988631	0	0.00296589	0.00840336	1.14329
360	11	1.09823	0.999744	1.68601	0.992063	0	0.00297619	0.00496032	1.14972
370	9	1.09024	0.99979	1.6498	0.992063	0	0.00248016	0.00545635	1.14578
380	7	1.06478	0.999671	1.61142	0.99108	0	0.00198216	0.00693756	1.1536
390	5	1.05706	0.999594	1.59195	0.994036	0	0.00198807	0.00397614	1.14003
400	6	1.09297	0.99958	1.65023	0.986193	0	0.00295858	0.0108481	1.14294
410	5	1.06358	0.999535	1.60477	0.993049	0	0.00248262	0.00446872	1.15856
420	4	1.13909	0.999546	1.74316	0.98912	0	0.00296736	0.00791296	1.15247
430	4	1.17289	0.999467	1.72977	0.988142	0	0.00247036	0.00938735	1.15688
440	5	1.16085	0.999262	1.7127	0.991572	0	0.00247893	0.00594943	1.1501
450	7	1.1443	0.99917	1.72351	0.989609	0	0.00247402	0.00791687	1.17052
460	7	1.1615	0.999151	1.73085	0.993542	0	0.000993542	0.00546448	1.16593
470	7	1.1565	0.999094	1.73177	0.993049	0	0.000496524	0.00645482	1.14731
480	7	1.24553	0.999092	1.81408	0.992556	0	0.00198511	0.00545906	1.15378
490	7	1.27404	0.998862	1.85693	0.987654	0	0.00493827	0.00740741	1.15965
500	8	1.27346	0.998704	1.86303	0.993542	0	0.0034774	0.00298063	1.14249
510	7	1.31674	0.998522	1.88943	0.988631	0	0.00395452	0.00741473	1.13827
520	6	1.46307	0.998523	1.98608	0.99108	0	0.00346878	0.00545094	1.14114
530	7	1.44759	0.998559	1.9387	0.989609	0	0.00247402	0.00791687	1.14579
540	6	1.24431	0.998582	1.81815	0.991572	0	0.0034705	0.00495786	1.14869
550	6	1.32557	0.99853	1.89012	0.991572	0	0.00247893	0.00594943	1.15343
560	4	1.34587	0.998466	1.89891	0.993542	0	0.00149031	0.00496771	1.1485
570	5	1.26356	0.998554	1.85485	0.99108	0	0.0024777	0.00644202	1.13902
580	5	1.20604	0.998497	1.82696	0.990589	0	0.00148588	0.00792472	1.14634
590	5	1.26552	0.998514	1.7854	0.993542	0	0.00198708	0.00447094	1.14815
600	4	1.21461	0.998312	1.82264	0.989609	0	0.00148441	0.00890648	1.14543
610	5	1.17426	0.998333	1.71211	0.99453	0	0.0014918	0.00397812	1.14851
620	4	1.1559	0.99825	1.72168	0.990589	0	0.00198118	0.00742942	1.15972
630	3	1.10765	0.998044	1.67073	0.99108	0	0.00346878	0.00545094	1.15736
640	5	1.11021	0.997944	1.6559	0.991572	0	0.00297471	0.00545364	1.15221
650	5	1.08214	0.997699	1.63961	0.989609	0	0.00395844	0.00643246	1.15058
660	5	1.10096	0.997591	1.69515	0.98912	0	0.00098912	0.0098912	1.15366
670	4	1.11349	0.997275	1.6594	0.99552	0	0.00049776	0.00398208	1.14379
680	4	1.0787	0.997151	1.65843	0.990099	0	0.0019802	0.00792079	1.14905
690	5	1.09444	0.997237	1.63656	0.99552	0	0.00099552	0.00348432	1.14581
700	6	1.09564	0.996975	1.68786	0.991572	0	0.000991572	0.00743679	1.14901
710	6	1.08861	0.997121	1.61251	0.993049	0	0.0019861	0.00496524	1.15248
720	5	1.06538	0.997098	1.61559	0.98912	0	0.00445104	0.00642928	1.1528
730	5	1.09524	0.99721	1.683	0.993049	0	0.00148957	0.00546177	1.16809
740	5	1.06997	0.996946	1.62647	0.992556	0	0.00148883	0.00595533	1.15229
750	3	1.11365	0.996899	1.68834	0.99108	0	0.0024777	0.00644202	1.14377
760	3	1.09908	0.996889	1.73564	0.989609	0	0.00445324	0.00593765	1.15553
770	3	1.1209	0.997027	1.70189	0.991572	0	0.00247893	0.00594943	1.16369
780	3	1.0274	0.996959	1.57149	0.99108	0	0.00396432	0.0049554	1.13666
790	3	1.02023	0.997104	1.56782	0.990589	0	0.000990589	0.00842001	1.15261
