Generation number,Total number of allele,Diversity,Activity,Time,Fertility rate,2 DSB on one site rate,No DSB rate,No symmetrical sites (binding + DSB) rate,,"0,953168904999997"
0,1,1,"0,999999","1,51975","0,956938","0,0354067","0,00143541","0,0062201",,
10,1,1,"0,999991","1,41018","0,949668","0,0432099","0,000474834","0,00664767",,"1980,5"
20,2,"1,00301","0,999989","1,52927","0,947867","0,0388626","0,00189573","0,0113744",,
30,2,1001,1,"1,49368","0,943396","0,0462264","0,00330189","0,00707547",,
40,2,1001,"0,999994","1,38783","0,958313","0,0340201","0,000479157","0,00718735",,
50,2,1002,"0,999965","1,42306","0,942951","0,0419613","0,00330033","0,0117869",,
60,4,"1,00603","0,999992","1,36846","0,952381","0,0352381","0,00333333","0,00904762",,
70,3,"1,00301","0,999986","1,39307","0,95057","0,0384981","0,00522814","0,00570342",,
80,3,"1,03053","0,999983","1,38869","0,949668","0,0403609","0,0042735","0,00569801",,
90,3,"1,01614","0,999979","1,4829","0,941176","0,0489412","0,00329412","0,00658824",,
100,2,"1,01208","0,999971","1,45188","0,951928","0,0385531","0,00190386","0,00761542",,
110,2,"1,01107","0,999961","1,53281","0,950119","0,0408551","0,00190024","0,00712589",,
120,2,"1,02635","0,99991","1,44951","0,948767","0,0441176","0,00189753","0,00521822",,
130,2,"1,07784","0,999872","1,49605","0,948317","0,0393551","0,00284495","0,00948317",,
140,3,"1,08983","0,999802","1,6964","0,95511","0,0377268","0,00143266","0,00573066",,
150,5,"1,16685","0,999823","1,69761","0,949217","0,0408163","0,00284765","0,00711913",,
160,5,"1,24566","0,999743","1,68903","0,948767","0,0370019","0,00332068","0,0109108",,
170,4,"1,36631","0,999745","1,5912","0,95511","0,0305635","0,00334288","0,0109838",,
180,5,"1,40186","0,999758","1,77541","0,951475","0,0356803","0,00333016","0,00951475",,
190,5,"1,40562","0,99971","1,7486","0,958773","0,029722","0,00383509","0,00767018",,
200,5,"1,47984","0,999678","1,78403","0,950119","0,0370546","0,0023753","0,0104513",,
210,5,"1,5331","0,999644","1,85875","0,95511","0,0315186","0,00095511","0,0124164",,
220,4,"1,53403","0,999671","2,02693","0,953743","0,0309967","0,0033381","0,0119218",,
230,3,"1,67876","0,999705","1,9977","0,943396","0,0410377","0,00141509","0,0141509",,
240,5,"1,71329","0,999614","2,00095","0,94518","0,0387524","0,00189036","0,0141777",,
250,5,"1,57029","0,999631","1,94816","0,954198","0,0310115","0,0028626","0,0119275",,
260,4,"1,61443","0,999535","1,95378","0,952835","0,0352549","0,00238209","0,00952835",,
270,4,"1,77603","0,999494","1,98211","0,956938","0,0263158","0,00382775","0,0129187",,
280,4,"1,92138","0,99951","2,16183","0,956023","0,0296367","0,00239006","0,0119503",,
290,3,"1,85477","0,999338","1,9932","0,958313","0,0268328","0,00191663","0,0129372",,
300,3,"1,84772","0,99931","2,00518","0,957396","0,0315941","0,00143609","0,00957396",,
310,7,"1,80907","0,999309","2,01362","0,959693","0,0254319","0,00287908","0,0119962",,
320,6,"1,70933","0,999265","1,97181","0,951475","0,0342531","0,00285442","0,0114177",,
330,5,"1,71658","0,999282","1,97634","0,951022","0,0361388","0,00142653","0,0114123",,
340,7,"1,73866","0,999351","1,98481","0,954198","0,0310115","0,0019084","0,0128817",,
350,8,"1,90033","0,999223","2,03075","0,95648","0,0272597","0,00382592","0,0124342",,
