Generation number	Total number of allele	Diversity	Activity	Time	Fertility rate	2 DSB on one site rate	No DSB rate	No symmetrical sites (binding + DSB) rate	q
650	8	3.81905	0.859928	1.92844	0.930665	0.0381573	0.00372266	0.0274546	0.00657735
660	8	3.19758	0.859006	2.28289	0.931966	0.0298229	0.00605778	0.0321528	0.0066253
670	6	3.34375	0.858956	2.21538	0.944733	0.028342	0.00188947	0.0250354	0.00672761
680	7	3.45507	0.856861	1.95482	0.934579	0.0308411	0.00560748	0.028972	0.00661802
690	6	3.51308	0.851716	1.87987	0.93633	0.0299625	0.00421348	0.0294944	0.00660614
700	7	3.40084	0.84678	1.8747	0.930665	0.032108	0.00372266	0.033504	0.00666881
710	8	3.11113	0.840772	1.86314	0.928074	0.0343387	0.00278422	0.0348028	0.00681331
720	7	2.98161	0.830043	1.87378	0.91954	0.0326437	0.00091954	0.0468966	0.00679049
730	7	3.10365	0.825498	1.97897	0.938527	0.0314406	0.00328484	0.026748	0.00677665
740	7	3.16256	0.819696	1.9251	0.931966	0.026561	0.00465983	0.0368127	0.00683665
750	8	2.73809	0.812296	1.87319	0.922935	0.035533	0.00323027	0.0383018	0.00719674
760	8	2.7298	0.814136	2.04722	0.930665	0.0330386	0.00325733	0.0330386	0.00697526
770	7	2.94702	0.810546	1.95944	0.935891	0.0243332	0.00374357	0.0360318	0.00673783
780	6	2.95997	0.803132	1.9377	0.937207	0.0281162	0.00187441	0.0328022	0.00700578
790	5	2.94317	0.797806	2.17731	0.933707	0.0270775	0.00326797	0.0359477	0.00689068
800	7	2.90188	0.795562	1.95719	0.92081	0.0405157	0.00184162	0.0368324	0.00714664
810	7	2.99168	0.788268	1.8179	0.923788	0.0364896	0.000923788	0.0387991	0.00700236
820	6	3.00318	0.79309	2.15113	0.925926	0.0282407	0.0037037	0.0421296	0.00696439
830	5	2.96225	0.790255	2.16317	0.922509	0.0313653	0.00230627	0.0438192	0.00702173
840	5	2.80878	0.794166	1.91817	0.932401	0.034965	0.002331	0.030303	0.00689673
850	6	2.63116	0.791143	2.12114	0.931532	0.0293433	0.0027946	0.0363298	0.00720516
860	5	2.65179	0.793504	1.86189	0.930233	0.0372093	0.00186047	0.0306977	0.00722446
870	6	2.47271	0.798702	1.77819	0.931099	0.0349162	0.0027933	0.0311918	0.00735291
880	9	2.44599	0.798129	1.72528	0.934579	0.0317757	0.00046729	0.0331776	0.00739143
890	7	2.11023	0.802506	1.70395	0.939408	0.0319399	0.00234852	0.0263034	0.00743897
900	6	2.04157	0.802005	1.78455	0.930233	0.035814	0.00139535	0.0325581	0.00756441
910	6	1.90629	0.800571	1.92256	0.938527	0.0286251	0.00187705	0.0309714	0.00773508
920	5	1.82421	0.791443	2.01679	0.931099	0.0395717	0.00465549	0.0246741	0.00787131
930	6	1.8561	0.787085	1.81233	0.938086	0.0342402	0.00281426	0.0248593	0.00791846
940	5	1.74892	0.77847	1.63599	0.922509	0.0419742	0.000922509	0.0345941	0.00814719
950	5	1.60556	0.778612	1.67009	0.922084	0.0405717	0.00138313	0.0359613	0.00820526
960	7	1.48546	0.776639	1.63211	0.917431	0.0536697	0.00229358	0.0266055	0.00844875
970	5	1.46232	0.769899	1.53132	0.922935	0.0456853	0.00184587	0.0295339	0.00844136
980	6	1.48744	0.764451	1.52042	0.922509	0.0428967	0.00230627	0.0322878	0.00860237
990	5	1.34053	0.757412	1.82547	0.928936	0.0371575	0.00371575	0.0301904	0.00863806
1000	5	1.3628	0.754346	1.62939	0.933271	0.0359309	0.00279981	0.0279981	0.00881749
1010	5	1.48629	0.742937	1.52293	0.923788	0.0397229	0.00230947	0.0341801	0.00836417
1020	8	1.51693	0.739741	1.51828	0.923788	0.0378753	0.00461894	0.0337182	0.00851173
1030	7	1.58546	0.740112	1.55051	0.918274	0.0316804	0.00505051	0.0449954	0.00834343
1040	8	1.42617	0.729345	1.52768	0.918274	0.0440771	0.00183655	0.0358127	0.00875371
1050	8	1.32189	0.717209	1.56048	0.922509	0.0433579	0.00184502	0.0322878	0.00910433
1060	8	1.21451	0.704985	1.71351	0.917852	0.0399266	0.0018357	0.0403855	0.00938216
1070	8	1.23709	0.695928	1.43472	0.917852	0.0431391	0.00413034	0.0348784	0.00933448
1080	6	1.15732	0.682645	1.29725	0.908678	0.0467969	0.00227169	0.0422535	0.00963571
1090	5	1.19723	0.675948	1.29718	0.912409	0.0437956	0.00136861	0.042427	0.00926628
1100	5	1.19349	0.669782	1.31373	0.899281	0.0499101	0.0022482	0.0485612	0.00966267
1110	5	1.24387	0.665332	1.40726	0.898473	0.0485175	0.00179695	0.0512129	0.0095541
1120	4	1.28337	0.660684	1.33319	0.905797	0.0439312	0.000905797	0.0493659	0.00935839
1130	3	1.44779	0.667196	1.39976	0.904159	0.0492767	0.00135624	0.045208	0.00897976
1140	3	1.63665	0.674928	1.46146	0.905387	0.0402897	0.00271616	0.0516071	0.00899618
1150	4	1.66506	0.669048	1.78093	0.90212	0.0419486	0.00270636	0.0532251	0.00856566
1160	4	1.85323	0.68128	1.55214	0.905387	0.045722	0.00226347	0.0466274	0.00823078
1170	6	2.02148	0.69378	1.84593	0.914495	0.035208	0.00320073	0.0470965	0.00808863
1180	5	2.11067	0.710733	1.67188	0.913659	0.0411147	0.00228415	0.042942	0.0078928
1190	5	2.09838	0.729701	1.62759	0.913659	0.0424852	0.00365464	0.040201	0.00817252
1200	4	1.90087	0.746924	1.70269	0.918274	0.0358127	0.00183655	0.0440771	0.00803848
1210	4	1.86049	0.757157	1.69228	0.922084	0.0387275	0.00138313	0.0378054	0.00823758
1220	5	1.63939	0.771763	1.59983	0.918695	0.04226	0.00321543	0.0358291	0.00852543
1230	5	1.54499	0.769017	1.61948	0.913659	0.0452261	0.00319781	0.0379169	0.00846701
