Generation number	Total number of allele	Diversity	Activity	Time	Fertility rate	2 DSB on one site rate	No DSB rate	No symmetrical sites (binding + DSB) rate	q
0	1	1	0.999478	1.47544	0.936768	0.0496487	0.00140515	0.012178	0.00935726
10	1	1	0.994184	1.45819	0.95057	0.0408745	0.00142586	0.00712928	0.00929708
20	4	1.0121	0.989136	1.48204	0.947867	0.0393365	0.0028436	0.00995261	0.00945326
30	3	1.01719	0.984019	1.46112	0.944733	0.0444025	0.00330657	0.00755786	0.0092886
40	2	1.00502	0.978884	1.46746	0.954198	0.0357824	0.0028626	0.00715649	0.00941833
50	2	1.03253	0.973741	1.45466	0.949217	0.0389179	0.00284765	0.00901756	0.00932748
60	2	1.02328	0.967963	1.46821	0.95057	0.0403992	0.00237643	0.00665399	0.00941795
70	3	1.02125	0.962134	1.42892	0.951022	0.0394674	0.00237756	0.00713267	0.00932982
80	2	1.02328	0.956102	1.47425	0.942063	0.0485163	0.00235516	0.00706547	0.00931125
90	3	1.01921	0.949167	1.42986	0.942063	0.0475742	0.00235516	0.00800754	0.00927192
100	4	1.05451	0.94384	1.47982	0.944733	0.042513	0.00330657	0.00944733	0.00924471
110	3	1.09229	0.938464	1.51035	0.943396	0.0391509	0.00330189	0.0141509	0.00894156
120	4	1.0994	0.93168	1.5362	0.935891	0.0510061	0.00280767	0.0102948	0.00894743
130	4	1.1051	0.92655	1.47956	0.952835	0.0362077	0.00238209	0.00857551	0.00903745
140	5	1.11539	0.92238	1.49332	0.942507	0.0409991	0.00329877	0.0131951	0.0089766
150	4	1.12811	0.915269	1.51296	0.933271	0.0489967	0.00233318	0.015399	0.00881189
160	3	1.13685	0.907457	1.51445	0.930665	0.0530479	0.00232666	0.01396	0.00912326
170	3	1.14858	0.901614	1.52907	0.940734	0.0432738	0.00235183	0.0136406	0.00906305
180	4	1.12712	0.892818	1.50301	0.937207	0.0435801	0.00281162	0.0164011	0.00908158
190	6	1.1333	0.886748	1.49631	0.938527	0.0422337	0.00281558	0.0164242	0.00911612
200	4	1.14001	0.878846	1.55912	0.951928	0.0314136	0.00190386	0.0147549	0.00886965
210	4	1.12974	0.872631	1.49272	0.932401	0.0470862	0.0037296	0.0167832	0.00909777
220	5	1.15987	0.866085	1.47371	0.942507	0.0405278	0.00235627	0.0146089	0.00883749
230	5	1.17852	0.857556	1.46316	0.95057	0.0285171	0	0.0209125	0.00870635
240	5	1.14321	0.84789	1.45093	0.939408	0.0399248	0.00234852	0.0183185	0.00914413
250	4	1.12089	0.839774	1.457	0.935454	0.0430309	0.00467727	0.0168382	0.00888084
260	6	1.17237	0.835526	1.46257	0.934143	0.0453059	0.00140121	0.0191499	0.00885444
270	6	1.12205	0.825269	1.43038	0.932401	0.0400932	0.0037296	0.0237762	0.00891152
280	5	1.12265	0.812603	1.42451	0.937647	0.037037	0.000937647	0.0243788	0.00902945
290	4	1.11559	0.806108	1.38732	0.928074	0.0426914	0.00417633	0.025058	0.00928639
300	4	1.06565	0.795734	1.38585	0.929368	0.0473978	0.00325279	0.0199814	0.00939784
310	5	1.05583	0.786896	1.36713	0.927214	0.043579	0.00417246	0.0250348	0.00926511
320	5	1.06121	0.777473	1.36902	0.921234	0.0474436	0.0027637	0.0285583	0.0093168
