Generation number	Total number of allele	Diversity	Activity	Time	Fertility rate	2 DSB on one site rate	No DSB rate	No symmetrical sites (binding + DSB) rate	q
6690	7	2.25504	0.830368	1.95891	0.978953	0	0.000978953	0.0200685	0.95735
6700	8	2.04084	0.856896	1.94326	0.985222	0	0.000492611	0.0142857	0.975042
6710	8	2.30218	0.863932	2.0735	0.980873	0	0.00147131	0.0176557	0.973596
6720	7	2.10861	0.875406	2.01712	0.981836	0	0.00196367	0.0162003	0.98124
6730	7	2.30809	0.875435	2.05438	0.980873	0	0.00441393	0.0147131	0.989188
6740	7	2.07569	0.881994	2.17656	0.980392	0	0.00245098	0.0171569	0.993112
6750	6	2.08305	0.878387	2.05437	0.980392	0	0.00245098	0.0171569	0.980022
6760	6	1.83761	0.878034	1.98933	0.977517	0	0.00293255	0.0195503	0.97488
6770	6	1.82506	0.87459	1.93783	0.981836	0	0.00294551	0.0152185	0.966725
6780	6	1.65854	0.868245	1.91161	0.979432	0	0.00342801	0.0171401	0.961114
6790	6	1.5952	0.861701	1.84974	0.987167	0	0.0029615	0.00987167	0.959328
6800	5	1.51002	0.856175	1.80331	0.979912	0	0.00146987	0.0186183	0.953005
6810	5	1.47701	0.847218	1.79454	0.971817	0	0.00145773	0.026725	0.941809
6820	6	1.78116	0.846115	2.057	0.976562	0	0.00439453	0.019043	0.924143
6830	4	2.0156	0.842525	2.03353	0.97704	0	0.0048852	0.0180752	0.941567
6840	6	1.82744	0.832376	1.91319	0.979432	0	0.00244858	0.0181195	0.920522
6850	5	1.87988	0.8263	1.9496	0.977517	0	0.000977517	0.0215054	0.917016
6860	6	2.01066	0.82464	1.92797	0.981836	0	0.00196367	0.0162003	0.917863
6870	6	2.22482	0.823282	2.04237	0.980392	0	0.00294118	0.0166667	0.924199
6880	6	2.07667	0.81371	2.00886	0.97561	0	0.00292683	0.0214634	0.91106
6890	5	1.91616	0.803248	1.92422	0.97561	0	0.00146341	0.0229268	0.891483
6900	4	2.04781	0.798946	1.94796	0.977517	0	0.00146628	0.0210166	0.89826
6910	4	1.94271	0.792487	1.9188	0.978953	0	0.00293686	0.0181106	0.894045
6920	5	2.18419	0.790782	1.99127	0.972763	0	0.00291829	0.0243191	0.889778
6930	5	2.31897	0.788436	2.00592	0.977995	0	0.000977995	0.0210269	0.87965
6940	5	2.59689	0.787658	2.01787	0.975134	0	0.00195027	0.0229157	0.888294
6950	5	2.94509	0.788432	2.05636	0.976562	0	0.00146484	0.0219727	0.911769
6960	6	3.00891	0.783603	2.16686	0.971817	0	0.00145773	0.026725	0.874071
6970	5	2.94839	0.777643	2.13108	0.969932	0	0.0029098	0.0271581	0.868422
