Generation number	Allele number	Frequency	Activity
0	-3	0	0.999514
0	0	0.998999	0.999553
0	1	0.0010005	1
10	-3	0	0.994683
10	0	0.998999	0.993979
10	1	0.0010005	0.994968
20	-3	0	0.989705
20	0	0.996998	0.988858
20	4	0.0030015	0.996433
30	-3	0	0.984563
30	0	0.992496	0.984195
30	4	0.00150075	0.99149
30	5	0.00550275	0.996358
30	6	0.00050025	1
40	-3	0	0.980113
40	0	0.993497	0.97876
40	5	0.00650325	0.991595
50	-3	0	0.975643
50	0	0.997499	0.972976
50	5	0.00050025	0.986498
50	10	0.002001	0.998046
60	-3	0	0.971485
60	0	0.9995	0.966813
60	13	0.00050025	0.995251
70	-3	0	0.967455
70	0	1	0.961831
80	-3	0	0.963616
80	0	1	0.955562
90	-3	0	0.959738
90	0	1	0.949173
100	-3	0	0.95511
100	0	0.9995	0.942317
100	16	0.00050025	1
110	-3	0	0.950091
110	0	0.998999	0.936172
110	18	0.0010005	1
120	-3	0	0.94611
120	0	0.9995	0.930165
120	18	0.00050025	0.994973
130	-3	0	0.939911
130	0	1	0.923216
140	-3	0	0.935096
140	0	0.998499	0.917349
140	22	0.0010005	0.995443
140	23	0.00050025	1
150	-3	0	0.931912
150	0	0.998999	0.909979
150	24	0.0010005	0.999534
160	-3	0	0.928547
160	0	0.9995	0.903075
160	24	0.00050025	0.994201
170	-3	0	0.92416
170	0	1	0.896362
180	-3	0	0.919112
180	0	0.998499	0.890391
180	28	0.00050025	1
180	29	0.0010005	1
190	-3	0	0.914072
190	0	0.997999	0.882697
190	30	0.002001	0.997649
200	-3	0	0.908932
200	0	0.997999	0.872881
200	30	0.00050025	0.992615
200	32	0.00150075	1
210	-3	0	0.905226
210	0	0.993997	0.863105
210	32	0.0050025	0.994924
210	34	0.0010005	0.999483
220	-3	0	0.903806
220	0	0.993997	0.85402
220	34	0.00450225	0.994226
220	37	0.00150075	1
230	-3	0	0.900214
230	0	0.996998	0.846341
230	34	0.0010005	0.989755
230	37	0.00150075	0.994833
230	39	0.00050025	1
240	-3	0	0.897963
240	0	0.994497	0.838116
240	34	0.00550275	0.984821
250	-3	0	0.890902
250	0	0.987494	0.827525
250	34	0.0125063	0.979399
260	-3	0	0.885603
260	0	0.989995	0.819814
260	34	0.00850425	0.97539
260	41	0.00050025	0.998074
260	42	0.0010005	1
270	-3	0	0.88144
270	0	0.994997	0.811693
270	34	0.0050025	0.970877
280	-3	0	0.876992
280	0	0.995998	0.800954
280	34	0.004002	0.965315
290	-3	0	0.872755
290	0	0.9995	0.790574
290	47	0.00050025	1
300	-3	0	0.867748
300	0	0.997499	0.779449
300	48	0.00050025	0.995761
300	50	0.002001	1
310	-3	0	0.865096
310	0	0.998499	0.768254
310	50	0.00150075	0.994644
320	-3	0	0.861461
320	0	0.990995	0.762708
320	53	0.00850425	0.995598
320	57	0.00050025	1
330	-3	0	0.857243
330	0	0.995498	0.752399
330	53	0.0030015	0.99071
330	58	0.00150075	0.999521
340	-3	0	0.855145
340	0	0.994997	0.740666
340	58	0.002001	0.995103
340	60	0.00150075	0.99706
340	62	0.00150075	0.999014
350	-3	0	0.853124
350	0	0.991996	0.731231
350	58	0.0030015	0.989881
350	60	0.004002	0.992445
350	65	0.0010005	0.998533
360	-3	0	0.850137
360	0	0.968984	0.722921
360	58	0.00150075	0.98472
360	60	0.018009	0.98782
360	65	0.0070035	0.99377
360	66	0.00450225	0.99718
370	-3	0	0.845029
370	0	0.961481	0.712345
370	58	0.004002	0.981016
370	60	0.0125063	0.982916
370	65	0.0175088	0.988574
370	66	0.00450225	0.992386
380	-3	0	0.843023
380	0	0.954977	0.699635
380	58	0.0050025	0.977099
380	60	0.0165083	0.97752
380	65	0.0185093	0.98445
380	66	0.0050025	0.98662
390	-3	0	0.840177
390	0	0.952976	0.688577
390	58	0.010005	0.973015
390	60	0.0050025	0.972798
390	65	0.0195098	0.97938
390	66	0.0125063	0.98195
400	-3	0	0.836687
400	0	0.951476	0.678706
400	58	0.0135068	0.968811
400	60	0.00550275	0.968569
400	65	0.0155078	0.973971
400	66	0.014007	0.976975
410	-3	0	0.834835
410	0	0.906953	0.672685
410	58	0.0255128	0.964759
410	60	0.012006	0.963194
410	65	0.0285143	0.968662
410	66	0.0270135	0.9727
420	-3	0	0.83281
420	0	0.864432	0.664486
420	58	0.0445223	0.959392
420	60	0.0070035	0.958939
420	65	0.0435218	0.96439
420	66	0.0405203	0.967766
430	-3	0	0.82885
430	0	0.829915	0.654112
430	58	0.0390195	0.955187
430	65	0.0750375	0.959964
430	66	0.0525263	0.963
430	75	0.002001	0.99747
430	76	0.00150075	0.998141
440	-3	0	0.825822
440	0	0.758379	0.645311
440	58	0.0295148	0.950004
440	65	0.113557	0.955566
440	66	0.0805403	0.958386
440	75	0.0030015	0.992088
440	76	0.006003	0.993143
440	80	0.0090045	0.996081
450	-3	0	0.824314
450	0	0.610805	0.639465
450	58	0.0485243	0.945058
450	65	0.212106	0.950406
450	66	0.110055	0.953701
450	76	0.002001	0.988696
450	80	0.0165083	0.991333
460	-3	0	0.821359
460	0	0.51976	0.631389
460	58	0.0690345	0.94068
460	65	0.285643	0.944353
460	66	0.105053	0.949371
460	76	0.00350175	0.983806
460	80	0.0170085	0.98647
470	-3	0	0.821141
470	0	0.409705	0.626808
470	58	0.0850425	0.936493
470	65	0.304152	0.938741
470	66	0.187094	0.943934
470	76	0.002001	0.979466
470	80	0.012006	0.980553
480	-3	0	0.818474
480	0	0.378189	0.621774
480	58	0.0885443	0.932255
480	65	0.346173	0.933464
480	66	0.167584	0.939041
480	76	0.00050025	0.97394
480	80	0.018009	0.975461
480	87	0.0010005	0.9995
490	-3	0	0.815351
490	0	0.246623	0.618073
490	58	0.076038	0.927406
490	65	0.405203	0.92614
490	66	0.250125	0.934945
490	76	0.004002	0.968588
490	80	0.0175088	0.97113
490	87	0.00050025	0.994338
500	-3	0	0.812375
500	0	0.225113	0.613006
500	58	0.108054	0.922432
500	65	0.383192	0.91966
500	66	0.264132	0.929959
500	80	0.0195098	0.966028
510	-3	0	0.809295
510	0	0.156078	0.609726
510	58	0.130065	0.918509
510	65	0.368684	0.914746
510	66	0.306653	0.92515
510	80	0.0385193	0.961434
520	-3	0	0.80645
520	0	0.161581	0.603515
520	58	0.0755378	0.914406
520	65	0.413707	0.908871
520	66	0.310655	0.919233
520	80	0.0385193	0.956361
530	-3	0	0.80224
530	0	0.133567	0.596185
530	58	0.0810405	0.909007
530	65	0.396198	0.905166
530	66	0.333167	0.914416
530	80	0.054027	0.950117
530	94	0.002001	0.995821
540	-3	0	0.799744
540	0	0.116558	0.590984
540	58	0.090045	0.906604
540	65	0.362181	0.902251
540	66	0.371186	0.90882
540	80	0.0595298	0.945246
540	95	0.00050025	0.996795
550	-3	0	0.797509
550	0	0.0985493	0.588307
550	58	0.110055	0.903416
550	65	0.38019	0.896781
550	66	0.361681	0.903147
550	80	0.046023	0.941827
550	95	0.00350175	0.991943
560	-3	0	0.794807
560	0	0.076038	0.585014
560	58	0.128064	0.897908
560	65	0.36068	0.889286
560	66	0.365683	0.896945
560	80	0.0630315	0.936107
560	95	0.00550275	0.98711
560	102	0.0010005	1
570	-3	0	0.791583
570	0	0.0845423	0.580506
570	58	0.109055	0.893795
570	65	0.344172	0.885383
570	66	0.392196	0.892101
570	80	0.0570285	0.932234
570	95	0.0130065	0.981926
580	-3	0	0.79058
580	0	0.046023	0.577779
580	58	0.122061	0.88786
580	65	0.342171	0.879457
580	66	0.430715	0.88676
580	80	0.0475238	0.926303
580	95	0.0115058	0.976633
590	-3	0	0.787223
590	0	0.0495248	0.572591
590	58	0.14007	0.883864
590	65	0.322661	0.873121
590	66	0.386693	0.881378
590	80	0.0585293	0.92039
590	95	0.0370185	0.971655
590	105	0.00250125	0.997544
590	106	0.0030015	0.997639
600	-3	0	0.786634
600	0	0.0345173	0.57194
600	58	0.143072	0.879734
600	65	0.335168	0.868871
600	66	0.357679	0.876654
600	80	0.0515258	0.916809
600	95	0.0610305	0.967359
600	105	0.0070035	0.992741
600	108	0.010005	0.995946
610	-3	0	0.783965
610	0	0.0305153	0.568339
610	58	0.14057	0.873864
610	65	0.275138	0.863086
610	66	0.429715	0.873146
610	80	0.0425213	0.914035
610	95	0.058029	0.961585
610	108	0.0235118	0.991221
620	-3	0	0.779654
620	0	0.014007	0.564431
620	58	0.134567	0.868984
620	65	0.349675	0.857418
620	66	0.383692	0.867527
620	80	0.034017	0.91051
620	95	0.062031	0.956626
620	108	0.022011	0.986238
630	-3	0	0.77569
630	0	0.0215108	0.562554
630	58	0.165583	0.863299
630	65	0.32066	0.851419
630	66	0.34067	0.863495
630	80	0.0550275	0.904988
