Generation number	Allele number	Frequency	Activity
0	0	1	0.999904
10	0	1	0.998866
20	0	1	0.997789
30	0	0.997999	0.996818
30	7	0.002001	0.999594
40	0	0.9995	0.995828
40	11	0.00050025	0.999904
50	0	1	0.99488
60	0	1	0.993934
70	0	0.996498	0.993231
70	14	0.00250125	0.999416
70	15	0.0010005	0.999735
80	0	0.997499	0.99221
80	15	0.0010005	0.998681
80	17	0.0010005	1
80	18	0.00050025	1
90	0	0.9995	0.990833
90	15	0.00050025	0.99755
100	0	0.998999	0.989285
100	20	0.0010005	0.999105
110	0	1	0.98787
120	0	0.997499	0.985933
120	26	0.00250125	0.999768
130	0	0.991496	0.98358
130	26	0.006003	0.998888
130	29	0.0010005	0.99937
130	31	0.00150075	0.9999
140	0	0.9995	0.982013
140	26	0.00050025	0.997966
150	0	1	0.980027
160	0	1	0.97838
170	0	0.996998	0.975982
170	36	0.0030015	0.999278
180	0	0.989995	0.973844
180	36	0.00450225	0.99838
180	37	0.002001	0.999028
180	40	0.00050025	0.999566
180	44	0.00150075	0.999894
180	45	0.00150075	0.999903
190	0	0.97999	0.973216
190	36	0.0115058	0.997168
190	40	0.004002	0.998479
190	44	0.00450225	0.998888
200	0	0.975988	0.971708
200	36	0.0155078	0.996006
200	40	0.004002	0.997396
200	44	0.00450225	0.997868
210	0	0.966983	0.969928
210	36	0.0330165	0.99519
220	0	0.961481	0.96826
220	36	0.036018	0.994586
220	51	0.002001	0.999121
220	56	0.00050025	0.999915
230	0	0.950975	0.965699
230	36	0.042021	0.99397
230	51	0.00150075	0.997904
230	57	0.004002	0.999038
230	60	0.0010005	0.999723
230	61	0.00050025	1
240	0	0.953977	0.963241
240	36	0.0435218	0.993259
240	63	0.00250125	0.999273
250	0	0.956978	0.960175
250	36	0.0430215	0.99236
260	0	0.971986	0.957635
260	36	0.0275138	0.9917
260	66	0.00050025	0.99973
270	0	0.952976	0.955736
270	36	0.042021	0.990958
270	67	0.004002	0.999114
270	68	0.0010005	0.999704
280	0	0.956978	0.953904
280	36	0.0425213	0.990358
280	69	0.00050025	0.999721
290	0	0.927464	0.952415
290	36	0.0705353	0.988828
290	73	0.002001	0.99946
300	0	0.913957	0.95004
300	36	0.0835418	0.98819
300	73	0.00150075	0.998578
300	75	0.0010005	0.999191
310	0	0.897449	0.94942
310	36	0.0915458	0.98726
310	73	0.00650325	0.997568
310	75	0.00450225	0.998178
320	0	0.892946	0.947343
320	36	0.0785393	0.986539
320	73	0.012006	0.996616
320	75	0.0165083	0.997493
330	0	0.912456	0.94451
330	36	0.0670335	0.985981
330	73	0.016008	0.995876
330	75	0.004002	0.996536
330	79	0.00050025	0.999899
340	0	0.942971	0.940551
340	36	0.0430215	0.98558
340	73	0.00650325	0.994688
