Generation number	Allele number	Frequency	Activity
0	-3	0	0.999893
0	0	1	0.999916
10	-3	0	0.99889
10	0	0.996498	0.998751
10	1	0.00350175	0.999465
20	-3	0	0.997909
20	0	0.987994	0.99777
20	1	0.0070035	0.998559
20	3	0.004002	0.99975
20	5	0.0010005	0.999931
30	-3	0	0.997154
30	0	0.988494	0.996745
30	1	0.002001	0.997883
30	3	0.00850425	0.998741
30	6	0.0010005	0.99902
40	-3	0	0.996428
40	0	0.981991	0.99582
40	1	0.0050025	0.99681
40	3	0.00550275	0.99772
40	6	0.00250125	0.997971
40	9	0.0050025	0.999311
50	-3	0	0.995519
50	0	0.985993	0.994635
50	1	0.00850425	0.995655
50	3	0.00450225	0.996478
50	9	0.0010005	0.998434
60	-3	0	0.994475
60	0	0.985993	0.99313
60	1	0.00750375	0.99529
60	3	0.00650325	0.995438
70	-3	0	0.992956
70	0	0.971986	0.991953
70	1	0.0170085	0.99449
70	3	0.0110055	0.99439
80	-3	0	0.991668
80	0	0.971986	0.990546
80	1	0.0105053	0.993779
80	3	0.0175088	0.993456
90	-3	0	0.990926
90	0	0.987494	0.989233
90	1	0.0050025	0.992773
90	3	0.00750375	0.992723
100	-3	0	0.990003
100	0	0.994997	0.988654
100	1	0.00150075	0.991834
100	3	0.00250125	0.992289
100	24	0.0010005	1
110	-3	0	0.988994
110	0	0.995498	0.987468
110	1	0.0010005	0.990725
110	24	0.00350175	0.999061
120	-3	0	0.988664
120	0	0.998999	0.985784
120	24	0.0010005	0.997846
130	-3	0	0.98762
130	0	0.9995	0.984655
130	31	0.00050025	0.999916
140	-3	0	0.986849
140	0	1	0.983464
150	-3	0	0.986013
150	0	1	0.981813
160	-3	0	0.985475
160	0	0.996998	0.981194
160	34	0.0030015	0.999326
170	-3	0	0.984638
170	0	0.994497	0.979331
170	34	0.00550275	0.998348
180	-3	0	0.983533
180	0	0.996998	0.977741
180	34	0.0030015	0.997156
190	-3	0	0.982874
190	0	0.98099	0.975533
190	34	0.014007	0.99656
190	39	0.0030015	0.999081
190	42	0.00050025	0.999904
190	43	0.00050025	1
190	44	0.0010005	1
200	-3	0	0.982298
200	0	0.978489	0.97487
200	34	0.008004	0.995774
200	39	0.004002	0.997896
200	45	0.00750375	0.999395
200	46	0.0010005	0.999579
200	47	0.0010005	0.999921
210	-3	0	0.981691
210	0	0.971486	0.973828
210	34	0.0195098	0.994768
210	39	0.00250125	0.997186
210	45	0.00650325	0.99841
220	-3	0	0.980294
220	0	0.949975	0.97219
220	34	0.0375188	0.993798
220	39	0.00550275	0.996145
220	45	0.0050025	0.997501
220	50	0.002001	0.999474
230	-3	0	0.979281
230	0	0.962981	0.969761
230	34	0.0290145	0.992543
230	39	0.00450225	0.995019
230	45	0.002001	0.996764
230	51	0.00150075	0.999404
240	-3	0	0.97838
240	0	0.943472	0.968084
240	34	0.0395198	0.991848
240	39	0.00650325	0.994354
240	45	0.00950475	0.996043
240	54	0.0010005	1
250	-3	0	0.977494
250	0	0.93997	0.965936
250	34	0.0385193	0.991333
250	39	0.0070035	0.993236
250	45	0.014007	0.994863
250	56	0.00050025	0.999808
260	-3	0	0.977333
260	0	0.92096	0.964236
260	34	0.0370185	0.990263
260	39	0.0090045	0.99193
260	45	0.0330165	0.993883
270	-3	0	0.976124
270	0	0.888444	0.962118
270	34	0.0590295	0.989053
270	39	0.006003	0.990371
270	45	0.0465233	0.993184
280	-3	0	0.97445
280	0	0.912456	0.959551
280	34	0.0355178	0.988414
280	39	0.00450225	0.989825
280	45	0.0475238	0.992196
290	-3	0	0.974007
290	0	0.901951	0.957619
290	34	0.062031	0.987621
290	39	0.012006	0.988988
290	45	0.024012	0.991114
300	-3	0	0.97279
300	0	0.881941	0.955705
300	34	0.0630315	0.986031
300	39	0.0215108	0.987793
300	45	0.0335168	0.990081
310	-3	0	0.973094
310	0	0.874937	0.954145
310	34	0.06003	0.984291
310	39	0.0210105	0.987446
310	45	0.044022	0.988786
320	-3	0	0.972293
320	0	0.863932	0.951356
320	34	0.0710355	0.983443
320	39	0.014007	0.986944
320	45	0.0510255	0.98745
330	-3	0	0.972536
330	0	0.898449	0.949469
330	34	0.0505253	0.982414
330	39	0.0105053	0.986163
330	45	0.04002	0.986264
330	67	0.00050025	0.999761
340	-3	0	0.971057
340	0	0.852926	0.94739
340	34	0.0775388	0.981943
340	39	0.02001	0.985073
340	45	0.0490245	0.985085
340	71	0.00050025	1
350	-3	0	0.969289
350	0	0.855928	0.943928
350	34	0.0710355	0.980685
350	39	0.0365183	0.983309
350	45	0.0345173	0.983753
350	71	0.00150075	0.999006
350	72	0.00050025	0.9995
360	-3	0	0.968608
360	0	0.78089	0.940761
360	34	0.113557	0.979463
360	39	0.056028	0.981923
360	45	0.0445223	0.983415
360	71	0.0050025	0.997886
370	-3	0	0.967754
370	0	0.792396	0.938453
370	34	0.115058	0.97869
370	39	0.0575288	0.98058
370	45	0.0345173	0.982179
370	71	0.00050025	0.997099
380	-3	0	0.965826
380	0	0.769385	0.936638
380	34	0.130565	0.97743
380	39	0.0645323	0.978951
380	45	0.0355178	0.98098
390	-3	0	0.9649
390	0	0.755378	0.935933
390	34	0.107554	0.976764
390	39	0.0945473	0.977404
390	45	0.0425213	0.980228
400	-3	0	0.963284
400	0	0.733867	0.931664
400	34	0.124062	0.976239
400	39	0.096048	0.976158
400	45	0.046023	0.979714
410	-3	0	0.962736
410	0	0.65933	0.930431
410	34	0.14007	0.975181
410	39	0.122061	0.974893
410	45	0.0755378	0.978156
410	83	0.00250125	0.999395
410	84	0.00050025	0.999913
420	-3	0	0.962141
420	0	0.628314	0.927163
420	34	0.170585	0.973311
420	39	0.121061	0.973476
420	45	0.08004	0.977373
430	-3	0	0.961518
430	0	0.609305	0.925445
430	34	0.211106	0.972443
430	39	0.113057	0.972415
430	45	0.066033	0.975715
430	87	0.00050025	0.99935
440	-3	0	0.960835
440	0	0.582291	0.921681
440	34	0.238119	0.971108
440	39	0.130065	0.97193
440	45	0.038019	0.975176
440	88	0.00950475	0.999541
440	89	0.0010005	0.999469
440	90	0.0010005	1
450	-3	0	0.960618
450	0	0.628814	0.919084
450	34	0.226113	0.970042
450	39	0.0910455	0.970953
450	45	0.0350175	0.975239
450	88	0.0110055	0.998626
450	91	0.00750375	0.999358
450	94	0.00050025	0.999764
460	-3	0	0.96065
460	0	0.593797	0.916648
460	34	0.270135	0.969166
460	39	0.0790395	0.970489
460	45	0.0385193	0.974059
460	88	0.00550275	0.997615
460	91	0.0130065	0.998433
470	-3	0	0.959429
470	0	0.594297	0.91482
470	34	0.293147	0.968616
470	39	0.0675338	0.969385
470	45	0.0215108	0.973295
470	91	0.022011	0.99759
470	98	0.00150075	0.999534
480	-3	0	0.958486
480	0	0.611306	0.911909
480	34	0.24012	0.96644
480	39	0.0945473	0.968991
480	45	0.026013	0.972744
480	91	0.0255128	0.996408
480	98	0.00250125	0.998559
490	-3	0	0.956411
490	0	0.567284	0.911649
490	34	0.250125	0.964399
490	39	0.110555	0.968968
490	45	0.0455228	0.971519
490	91	0.0230115	0.995419
490	100	0.00350175	0.999086
500	-3	0	0.956459
500	0	0.542771	0.910061
500	34	0.248124	0.961999
500	39	0.096048	0.968625
500	45	0.0515258	0.971356
500	91	0.0605303	0.994679
500	106	0.0010005	1
510	-3	0	0.957096
