Generation number	Allele number	Frequency	Activity
0	0	1	0.999883
10	0	0.998999	0.998961
10	2	0.0010005	0.99945
20	0	1	0.997805
30	0	1	0.996916
40	0	1	0.99601
50	0	0.991496	0.994726
50	8	0.008004	0.999168
50	9	0.00050025	0.999896
60	0	0.982491	0.993198
60	8	0.016008	0.998146
60	12	0.0010005	0.999739
60	13	0.00050025	1
70	0	0.985493	0.991856
70	8	0.0130065	0.997144
70	16	0.00150075	0.999296
80	0	0.968984	0.99086
80	8	0.0275138	0.996003
80	16	0.00350175	0.998491
90	0	0.948474	0.989671
90	8	0.0505253	0.995314
90	20	0.0010005	0.999809
100	0	0.923462	0.988631
100	8	0.0650325	0.99395
100	20	0.00050025	0.998711
100	21	0.00950475	0.999033
100	22	0.00050025	0.999875
100	23	0.0010005	1
110	0	0.910455	0.987549
110	8	0.0795398	0.993195
110	20	0.0010005	0.997646
110	21	0.0090045	0.99815
120	0	0.878439	0.986703
120	8	0.109555	0.992325
120	20	0.00250125	0.996386
120	21	0.00950475	0.997201
130	0	0.873437	0.984855
130	8	0.125063	0.991118
130	20	0.00150075	0.994853
140	0	0.827414	0.983291
140	8	0.171586	0.989601
140	20	0.0010005	0.993813
150	0	0.844422	0.98248
150	8	0.155578	0.988593
160	0	0.809905	0.980786
160	8	0.190095	0.987631
170	0	0.797399	0.98037
170	8	0.202601	0.985871
180	0	0.814407	0.978668
180	8	0.185093	0.984606
180	41	0.00050025	0.999794
190	0	0.7994	0.976726
190	8	0.198599	0.98394
190	42	0.002001	1
200	0	0.77989	0.975276
200	8	0.210605	0.983401
200	42	0.00750375	0.998939
200	45	0.00050025	0.99988
200	46	0.00050025	1
200	47	0.00050025	1
200	49	0.00050025	1
210	0	0.757879	0.973379
210	8	0.229115	0.982128
210	42	0.0070035	0.997759
210	45	0.002001	0.99878
210	47	0.004002	0.998999
220	0	0.753377	0.972196
220	8	0.238619	0.981483
220	42	0.00650325	0.99674
220	45	0.00050025	0.99797
220	47	0.00050025	0.99792
220	52	0.00050025	1
230	0	0.717359	0.970856
230	8	0.268634	0.980838
230	42	0.00650325	0.995696
230	47	0.0010005	0.997029
230	53	0.006003	0.999233
230	54	0.00050025	0.999251
240	0	0.612306	0.968889
240	8	0.329165	0.979451
240	42	0.012006	0.99497
240	53	0.0410205	0.998396
240	58	0.0030015	0.999536
240	59	0.00050025	0.999603
240	60	0.002001	0.999696
250	0	0.534267	0.966708
250	8	0.396198	0.977958
250	42	0.0150075	0.993664
250	53	0.0530265	0.997508
250	58	0.00150075	0.998563
260	0	0.49975	0.966219
260	8	0.426213	0.977113
260	42	0.002001	0.992674
260	53	0.0675338	0.996436
260	58	0.00450225	0.997655
270	0	0.483742	0.964264
270	8	0.450225	0.975203
270	53	0.062031	0.995416
270	58	0.0030015	0.996694
270	67	0.00050025	0.999923
270	68	0.00050025	1
280	0	0.505753	0.963039
280	8	0.4007	0.973648
280	53	0.078039	0.994481
280	58	0.0130065	0.995765
280	69	0.00250125	0.999396
290	0	0.503752	0.962219
290	8	0.355678	0.971566
290	53	0.12056	0.993268
290	58	0.0175088	0.994715
290	71	0.00150075	0.999514
290	72	0.0010005	1
300	0	0.466233	0.961039
300	8	0.376188	0.970808
300	53	0.137569	0.992431
300	58	0.02001	0.993835
310	0	0.507754	0.960134
310	8	0.333667	0.96999
310	53	0.132566	0.990745
310	58	0.026013	0.992433
320	0	0.524762	0.958418
320	8	0.381691	0.968418
320	53	0.0705353	0.989814
320	58	0.0190095	0.991638
320	77	0.004002	0.999168
330	0	0.528764	0.956428
