Generation number	Total number of allele	Diversity	Activity	Time	Fertility rate	2 DSB on one site rate	No DSB rate	No symmetrical sites (binding + DSB) rate	q
0	1	1	0.999888	2.16351	0.991572	0	0.00247893	0.00594943	0.00941399
10	2	1.001	0.998884	2.16198	0.99108	0	0.00346878	0.00545094	0.00955716
20	2	1.002	0.997976	2.16308	0.99108	0	0.00346878	0.00545094	0.00940807
30	2	1.001	0.996727	2.16916	0.992063	0	0.00248016	0.00545635	0.00954018
40	1	1	0.995628	2.11769	0.990099	0	0.00247525	0.00742574	0.00950314
50	1	1	0.99431	2.09685	0.98668	0	0.00394672	0.00937346	0.00941354
60	2	1.001	0.99317	2.14652	0.992063	0	0.00248016	0.00545635	0.00936387
70	1	1	0.992204	2.09719	0.991572	0	0.000991572	0.00743679	0.00957158
80	1	1	0.990789	2.14977	0.98912	0	0.0024728	0.00840752	0.00941961
90	3	1.00603	0.989378	2.1067	0.98912	0	0.00296736	0.00791296	0.00951371
100	3	1.02851	0.987777	2.24608	0.98912	0	0.00544016	0.00544016	0.00941207
110	3	1.0645	0.986643	2.2153	0.987167	0	0.00493583	0.00789733	0.0092671
120	3	1.03575	0.985054	2.19885	0.987167	0	0.00148075	0.0113524	0.00934314
130	2	1.01817	0.983021	2.16569	0.98668	0	0.00394672	0.00937346	0.00926978
140	2	1.02944	0.981229	2.25321	0.987167	0	0.00345508	0.00937808	0.00931178
150	2	1.04603	0.980497	2.15682	0.99453	0	0.000497265	0.00497265	0.009101
160	2	1.03253	0.979566	2.10022	0.992063	0	0.00198413	0.00595238	0.00928517
170	3	1.0399	0.979018	2.18835	0.98912	0	0.0024728	0.00840752	0.00928915
180	3	1.01924	0.976722	2.16093	0.987167	0	0.00246792	0.0103653	0.00926793
190	2	1.01107	0.97496	2.14042	0.98668	0	0.00542674	0.00789344	0.00958317
200	2	1.00905	0.972881	2.14791	0.987654	0	0.00246914	0.00987654	0.00940792
210	3	1.01209	0.971786	2.16467	0.986193	0	0.00394477	0.00986193	0.00944924
220	2	1.00301	0.968437	2.1076	0.987167	0	0.00246792	0.0103653	0.00954345
230	2	1.002	0.966487	2.12034	0.991572	0	0.000991572	0.00743679	0.00946555
240	1	1	0.964209	2.01184	0.990589	0	0.000990589	0.00842001	0.00942992
250	1	1	0.961448	2.10026	0.991572	0	0.00148736	0.006941	0.00960334
260	1	1	0.960556	2.11708	0.985707	0	0.00147856	0.0128142	0.00951508
270	1	1	0.95919	2.08077	0.993049	0	0.000496524	0.00645482	0.00974669
280	1	1	0.956645	2.15939	0.986193	0	0.00295858	0.0108481	0.00950185
290	1	1	0.954366	2.04411	0.988631	0	0.00296589	0.00840336	0.00943942
