Generation number	Total number of allele	Diversity	Activity	Time	Fertility rate	2 DSB on one site rate	No DSB rate	No symmetrical sites (binding + DSB) rate
750	6	2.17346	0.894487	1.86091	0.943396	0.0306604	0.00330189	0.0226415
760	7	2.15982	0.892758	1.8211	0.94162	0.0362524	0.00376648	0.0183616
770	5	2.20526	0.89036	1.9262	0.947867	0.0322275	0.0042654	0.0156398
780	6	2.1695	0.888599	1.85991	0.938086	0.0262664	0.00375235	0.0318949
790	4	2.18536	0.885947	1.80419	0.934579	0.0443925	0.000934579	0.0200935
800	4	2.20744	0.884965	1.82158	0.946074	0.0298013	0.00189215	0.0222327
810	4	2.13761	0.881791	1.81776	0.938967	0.0347418	0.0028169	0.0234742
820	4	2.05952	0.879358	1.82445	0.932401	0.0391608	0.002331	0.0261072
830	4	2.06279	0.87805	1.79002	0.927214	0.0407974	0.00324525	0.0287436
840	5	2.04058	0.878061	1.80819	0.944287	0.0325779	0.003305	0.01983
850	6	2.14813	0.877717	1.80002	0.940291	0.0310296	0.00235073	0.0263282
860	7	2.07061	0.874258	1.81658	0.940734	0.0324553	0.00188147	0.0249294
870	5	1.91419	0.868846	1.77104	0.93985	0.0352444	0.000469925	0.0244361
880	8	1.97598	0.864914	1.75716	0.940734	0.0357479	0.0014111	0.0221072
890	5	1.99973	0.861887	1.76053	0.937207	0.0328022	0.000468604	0.029522
900	4	2.06129	0.861708	1.78737	0.941176	0.0301176	0.00470588	0.024
910	5	2.121	0.863661	1.81878	0.934579	0.0308411	0.00373832	0.0308411
920	4	2.15323	0.86155	1.79807	0.935016	0.0359981	0.00233754	0.026648
930	4	2.31064	0.862159	1.85089	0.943396	0.0273585	0.00283019	0.0264151
940	4	2.3156	0.862978	1.84941	0.935454	0.0336763	0.000935454	0.0299345
950	4	2.46561	0.866784	1.84273	0.937647	0.0360994	0.00140647	0.0248476
960	4	2.58447	0.869424	1.8344	0.934143	0.0373657	0.00280243	0.0256889
970	4	2.82724	0.876202	1.92379	0.938527	0.0389489	0.00328484	0.0192398
980	4	2.46791	0.871359	1.88768	0.943396	0.034434	0.00235849	0.0198113
990	5	2.56483	0.867108	1.86767	0.935891	0.0350959	0.000935891	0.0280767
1000	5	2.84373	0.873538	2.27782	0.936768	0.0313817	0.00187354	0.0299766
1010	7	3.17536	0.879255	2.13421	0.933707	0.0396825	0.00233427	0.0242764
1020	8	2.96506	0.879803	1.94549	0.934579	0.0378505	0.00140187	0.0261682
1030	6	2.92893	0.875744	1.93797	0.941176	0.0329412	0.00235294	0.0235294
1040	6	3.20116	0.884757	1.9423	0.952381	0.0319048	0.00142857	0.0142857
1050	6	3.0978	0.875322	1.92475	0.942507	0.0325165	0.00188501	0.0230914
1060	5	3.43214	0.891343	1.96361	0.945626	0.0373522	0.00189125	0.01513
1070	7	3.59682	0.89707	1.98754	0.944287	0.0283286	0.00188857	0.0254958
1080	5	3.4937	0.904188	2.01269	0.952381	0.0247619	0.00142857	0.0214286
1090	6	3.52509	0.904672	1.97929	0.952835	0.026203	0.00238209	0.0185803
1100	6	3.41945	0.911474	1.98194	0.938527	0.0314406	0.00375411	0.0262787
1110	5	3.27514	0.913025	1.99768	0.943841	0.029731	0.00283152	0.023596
1120	7	3.1227	0.912264	1.96356	0.934579	0.0383178	0.000934579	0.0261682
1130	7	3.18221	0.903911	1.96205	0.946522	0.0260293	0.00378609	0.023663
1140	6	3.02583	0.908495	1.95318	0.947418	0.0270014	0.00189484	0.0236855
1150	6	2.74268	0.914809	1.96846	0.942507	0.035344	0.00188501	0.0202639
1160	5	2.58544	0.915157	1.88474	0.955566	0.0253225	0.0028667	0.0162446
1170	6	2.51488	0.919362	1.9515	0.943841	0.0330345	0.00283152	0.0202926
1180	6	2.38081	0.916223	1.9108	0.945626	0.0321513	0.00330969	0.0189125
1190	8	2.35537	0.911405	1.88033	0.951022	0.0299572	0.00142653	0.0175939
1200	9	2.27064	0.918485	1.8758	0.947867	0.0341232	0.00189573	0.0161137
1210	9	2.31759	0.919216	1.88883	0.94697	0.030303	0.00236742	0.0203598
1220	10	2.20431	0.919628	1.87764	0.943396	0.0363208	0.00141509	0.0188679
1230	9	2.15687	0.923216	1.88805	0.952835	0.0295379	0.00142925	0.0161982
1240	10	2.3779	0.928946	1.92106	0.945626	0.0321513	0.00567376	0.0165485
1250	9	2.38623	0.924882	1.94789	0.951475	0.0309229	0.000951475	0.0166508
1260	9	2.46318	0.932715	1.93331	0.950119	0.0280285	0.00190024	0.0199525
1270	10	2.66696	0.932301	1.93021	0.955566	0.0305781	0.000477783	0.0133779
1280	9	2.49118	0.934292	1.95522	0.947867	0.0293839	0.00331754	0.0194313
1290	9	2.28547	0.937311	1.94862	0.948317	0.0284495	0.00379327	0.0194405
1300	7	2.08775	0.938941	1.89103	0.952835	0.0247737	0.0028585	0.0195331
1310	8	2.22058	0.937297	1.93048	0.949668	0.0365622	0.00189934	0.0118708
1320	6	2.19323	0.93332	1.88342	0.949668	0.0322887	0.00189934	0.0161443
1330	6	1.94263	0.931811	1.8512	0.946522	0.0307619	0.00189304	0.0208235
1340	6	2.1598	0.932796	1.8971	0.94697	0.0359848	0.00142045	0.015625
1350	6	2.08132	0.925951	1.89121	0.948317	0.0379327	0.00284495	0.0109056
1360	6	2.54658	0.918723	1.95854	0.943841	0.0330345	0.00283152	0.0202926
1370	7	2.43982	0.919004	1.94844	0.953743	0.0305198	0.0033381	0.0123987
1380	8	2.3389	0.912119	1.90824	0.943841	0.0368098	0.0023596	0.0169891
1390	11	2.3813	0.910597	1.90193	0.949217	0.0308495	0.00332226	0.0166113
1400	9	2.02441	0.907093	1.86621	0.942951	0.0377181	0.00282885	0.0165017
1410	9	2.00256	0.904099	1.80061	0.953289	0.0333651	0.000476644	0.0128694
1420	8	2.14977	0.909042	1.8704	0.943841	0.0339783	0.00283152	0.0193487
1430	7	1.94205	0.908882	1.83026	0.944733	0.037317	0.000472367	0.0174776
1440	8	2.09336	0.905213	1.85089	0.934143	0.039234	0.00280243	0.0238206
1450	8	1.94528	0.909454	1.84278	0.944733	0.033538	0.00188947	0.0198394
1460	9	1.91458	0.908703	1.84179	0.941176	0.0385882	0.00188235	0.0183529
1470	7	1.86881	0.904888	1.82927	0.94518	0.0382798	0.00189036	0.0146503
1480	6	1.89113	0.907301	1.82797	0.943841	0.0353941	0.00141576	0.0193487
1490	5	1.82782	0.907603	1.80329	0.951475	0.0304472	0.00333016	0.0147479
1500	6	1.78434	0.909358	1.82019	0.942063	0.0381536	0.00235516	0.0174282
1510	5	1.75804	0.909218	1.78753	0.95057	0.0294677	0.000475285	0.0194867
1520	5	1.54983	0.90424	1.7355	0.951022	0.0328103	0.00332858	0.0128388
1530	5	1.54114	0.902614	1.73148	0.940734	0.042333	0.00188147	0.0150517
1540	6	1.5385	0.900733	1.70661	0.947418	0.0355282	0.00236855	0.014685
1550	6	1.61127	0.900886	2.07682	0.951928	0.0304617	0.000951928	0.0166587
1560	5	1.70063	0.9	1.77161	0.952381	0.0252381	0.00190476	0.0204762
1570	4	1.62727	0.891981	1.74445	0.943841	0.035866	0.00188768	0.0184049
1580	5	1.72919	0.890559	1.78	0.946522	0.0364411	0.00141978	0.0156176
1590	5	2.01514	0.890927	1.80073	0.944287	0.0372993	0.00283286	0.0155807
1600	4	2.18196	0.890591	1.85743	0.949217	0.0317988	0.00427148	0.0147129
1610	5	2.36308	0.881733	1.88348	0.942063	0.0329722	0.00329722	0.0216675
1620	6	2.48428	0.885819	1.89498	0.953289	0.0257388	0.000953289	0.0200191
1630	6	2.57236	0.889582	1.90546	0.950119	0.0294537	0.000950119	0.0194774
1640	4	2.51173	0.891496	1.8997	0.951022	0.0299572	0.00285307	0.0161674
1650	5	2.68268	0.880644	1.92281	0.94518	0.0311909	0.00283554	0.020794
1660	4	2.7114	0.889769	1.90534	0.945626	0.0312057	0.00283688	0.020331
1670	6	2.62315	0.891861	1.91559	0.948767	0.0303605	0.00189753	0.0189753
1680	5	2.38212	0.901601	1.93728	0.942951	0.0344177	0.00330033	0.0193305
1690	4	2.28869	0.897941	1.91457	0.934579	0.0434579	0.00280374	0.0191589
1700	5	2.14314	0.902337	1.84423	0.93985	0.0413534	0.00328947	0.0155075
