Generation number	Total number of allele	Diversity	Activity	Time	Fertility rate	2 DSB on one site rate	No DSB rate	No symmetrical sites (binding + DSB) rate	q
650	3	1.45903	0.878459	2.08349	0.942951	0.0344177	0.000942951	0.0216879	0.00828496
660	3	1.4672	0.875633	1.86027	0.935454	0.0449018	0.000467727	0.0191768	0.00807732
670	5	1.66741	0.876513	1.92851	0.93985	0.0343045	0.00234962	0.0234962	0.00783854
680	5	1.73623	0.875833	1.90844	0.947418	0.02937	0.00331596	0.0198958	0.00754907
690	5	1.68045	0.870483	1.84128	0.95057	0.0342205	0.00190114	0.013308	0.00786202
700	5	1.67426	0.866678	1.85092	0.939408	0.0408643	0.000939408	0.0187882	0.00792851
710	4	1.78571	0.867088	1.94795	0.947418	0.0341071	0.00189484	0.0165798	0.00778874
720	5	2.04107	0.87117	1.96209	0.948767	0.0298861	0.00237192	0.0189753	0.00745982
730	4	2.37906	0.876169	2.00157	0.940291	0.0357311	0.00188058	0.0220969	0.00724695
740	4	2.15503	0.869288	2.14776	0.94162	0.0324859	0.00423729	0.0216573	0.00723525
750	4	2.34944	0.871863	2.12561	0.931966	0.0433364	0.0027959	0.0219012	0.00722253
760	5	2.49797	0.87434	1.98844	0.951022	0.0313837	0.00237756	0.0152164	0.00688335
770	5	2.59955	0.874043	2.06971	0.946522	0.0307619	0.0023663	0.0203502	0.00709089
780	6	2.62563	0.873232	1.99478	0.932836	0.0345149	0.00419776	0.0284515	0.00707002
790	5	2.86029	0.876207	2.10464	0.946522	0.0302887	0.00283956	0.0203502	0.00692089
800	5	2.78266	0.872296	2.00534	0.939408	0.0352278	0.00140911	0.0239549	0.0070634
810	3	2.92348	0.878068	2.12353	0.940291	0.0362012	0.00282087	0.0206864	0.00691819
820	4	2.99976	0.879247	2.0073	0.944733	0.0307038	0.00330657	0.0212565	0.00694404
830	3	2.92831	0.881131	2.14604	0.933707	0.0368814	0.00186741	0.0275444	0.00692974
840	5	2.89319	0.879136	2.18709	0.951928	0.0271299	0.000951928	0.0199905	0.0066353
850	4	2.92708	0.874368	2.11101	0.934143	0.0294255	0.00467071	0.0317609	0.00671617
860	5	2.90689	0.866515	2.07253	0.93985	0.0357143	0.00234962	0.0220865	0.00687447
870	3	2.95728	0.868819	2.20755	0.947867	0.0241706	0.00331754	0.0246445	0.00673547
880	4	2.91967	0.864808	2.09977	0.938086	0.0304878	0.00187617	0.0295497	0.00700782
890	4	2.91768	0.86503	2.02168	0.942951	0.029703	0.00330033	0.0240453	0.00697196
900	5	2.97669	0.869626	2.12393	0.947867	0.0241706	0.0028436	0.0251185	0.00695973
910	4	2.92296	0.861449	2.06412	0.93985	0.0333647	0.0018797	0.024906	0.00682669
920	4	2.92723	0.862354	2.10596	0.94162	0.029661	0.0047081	0.0240113	0.00679567
930	5	2.97761	0.864074	1.96455	0.943396	0.0325472	0.00188679	0.0221698	0.00691865
940	4	2.83104	0.853382	2.06879	0.936768	0.0299766	0.0028103	0.030445	0.00700971
950	4	2.87482	0.851148	2.18823	0.940291	0.0362012	0.00235073	0.0211566	0.00680255
