Generation number	Total number of allele	Diversity	Activity	Time	Fertility rate	2 DSB on one site rate	No DSB rate	No symmetrical sites (binding + DSB) rate
0	1	1	0.999991	1.52746	0.947418	0.0426338	0.00142113	0.00852676
10	1	1	0.999885	1.46098	0.943841	0.0467202	0.00283152	0.00660689
20	1	1	0.999823	1.45245	0.952381	0.0390476	0.000952381	0.00761905
30	2	1.001	0.999758	1.4578	0.946522	0.0468528	0.000946522	0.00567913
40	2	1.00905	0.999655	1.45906	0.947418	0.0412127	0.00331596	0.00805306
50	2	1.03874	0.999519	1.49033	0.949217	0.0427148	0	0.00806834
60	2	1.05548	0.999339	1.51514	0.943396	0.0400943	0.00471698	0.0117925
70	3	1.10839	0.999391	1.57756	0.93633	0.045412	0.00374532	0.0145131
80	2	1.1194	0.999045	1.58489	0.94697	0.0426136	0.00189394	0.00852273
90	3	1.18792	0.999035	1.60231	0.948317	0.0407776	0.00237079	0.00853485
100	3	1.23807	0.998946	1.64117	0.943841	0.0434167	0.000943841	0.011798
110	3	1.21265	0.998747	1.63004	0.946522	0.04354	0.00141978	0.00851869
120	2	1.16924	0.998481	1.58444	0.947418	0.0402653	0.00426338	0.00805306
130	2	1.15091	0.998384	1.56915	0.949668	0.039886	0.00237417	0.00807217
140	2	1.11385	0.997979	1.56409	0.947418	0.0397916	0.00189484	0.0108953
150	2	1.10613	0.997562	1.54261	0.949217	0.0389179	0.00522069	0.00664452
160	3	1.08978	0.997045	1.5456	0.947867	0.0388626	0.00379147	0.00947867
170	4	1.0878	0.996767	1.54569	0.959693	0.0292706	0.00191939	0.00911708
180	3	1.09741	0.996771	1.53246	0.948767	0.0374763	0.00474383	0.00901328
190	3	1.08042	0.996596	1.53934	0.952835	0.0390662	0.0028585	0.00524059
200	5	1.13463	0.996386	1.55584	0.947867	0.0393365	0.00236967	0.0104265
210	3	1.18368	0.996103	1.59304	0.949668	0.0389364	0	0.011396
220	3	1.21809	0.995849	1.63625	0.938967	0.0446009	0.00187793	0.014554
230	6	1.22168	0.995825	1.62674	0.951475	0.0385347	0.000475737	0.00951475
240	5	1.18247	0.995335	1.58879	0.95057	0.0389734	0.00237643	0.00807985
250	4	1.25473	0.995106	1.68152	0.943841	0.0405852	0.0023596	0.0132138
260	5	1.23114	0.994525	1.62234	0.954198	0.0324427	0.0019084	0.0114504
270	4	1.29433	0.99407	1.67085	0.953289	0.0324118	0.00238322	0.0119161
280	5	1.38834	0.993954	1.71649	0.948317	0.038881	0.00331911	0.00948317
290	5	1.47564	0.994102	1.78199	0.940291	0.0470146	0.00141044	0.0112835
300	4	1.37161	0.993792	1.72334	0.94518	0.0411153	0.00236295	0.0113422
310	3	1.31097	0.993277	1.67528	0.944733	0.0382617	0.00330657	0.0136986
320	4	1.29413	0.993304	1.66823	0.953289	0.0343184	0.00190658	0.0104862
330	2	1.33365	0.993334	1.68541	0.950119	0.0394299	0.00190024	0.00855107
340	4	1.37638	0.993098	1.70291	0.954198	0.0324427	0.0028626	0.0104962
350	3	1.43441	0.992897	1.73875	0.940734	0.0428034	0.00376294	0.0126999
360	3	1.4422	0.992785	1.73223	0.951022	0.0347123	0.00190204	0.0123633
370	2	1.42036	0.992799	1.72963	0.947418	0.0355282	0.00236855	0.014685
380	2	1.3844	0.992211	1.70051	0.949668	0.0346629	0.00189934	0.0137702
390	2	1.50853	0.992376	1.74253	0.947867	0.036019	0.00189573	0.014218
400	2	1.53969	0.991981	1.75701	0.949668	0.0318139	0.0014245	0.017094
410	4	1.64668	0.992149	1.80737	0.951475	0.0309229	0.00333016	0.0142721
420	4	1.55235	0.991332	1.77016	0.957854	0.0306513	0.00239464	0.00909962
430	4	1.72079	0.991444	1.8165	0.948767	0.0365275	0.00189753	0.0128083
440	4	1.70341	0.991141	1.83855	0.951928	0.0342694	0.00190386	0.0118991
450	3	1.82822	0.991551	1.87859	0.952381	0.0319048	0.00333333	0.012381
460	3	1.74522	0.990707	1.87542	0.953289	0.0285987	0.00238322	0.0157293
470	4	1.51776	0.989888	1.78673	0.944733	0.0382617	0.00330657	0.0136986
480	4	1.53328	0.989277	1.75527	0.95648	0.0310856	0.00191296	0.0105213
490	3	1.56345	0.989021	2.00299	0.951475	0.0328259	0.00142721	0.0142721
500	3	1.55357	0.988704	1.83729	0.95511	0.0310411	0.00095511	0.012894
510	3	1.59498	0.988368	1.824	0.943841	0.041529	0.00188768	0.0127419
520	3	1.51822	0.987917	1.75309	0.951022	0.0342368	0.000951022	0.0137898
530	4	1.60088	0.987346	1.78225	0.941176	0.0414118	0.00282353	0.0145882
540	4	1.58093	0.986903	1.78846	0.95511	0.0310411	0.00238777	0.0114613
550	5	1.58842	0.986484	1.78961	0.952835	0.0333492	0.000476417	0.0133397
560	3	1.52607	0.986287	1.75086	0.945626	0.0345154	0.00330969	0.0165485
570	5	1.40421	0.985358	1.69544	0.953289	0.0328885	0.0042898	0.00953289
580	4	1.41393	0.985322	1.72985	0.93633	0.048221	0.00140449	0.0140449
590	6	1.4671	0.98508	1.72785	0.949217	0.0360702	0.00142383	0.013289
600	4	1.57986	0.985073	1.75673	0.950119	0.031829	0.00190024	0.016152
610	4	1.53235	0.984169	1.75234	0.947418	0.0369493	0.00331596	0.0123164
620	4	1.43983	0.983487	1.69409	0.955566	0.0339226	0.00238892	0.00812231
630	5	1.43194	0.982452	1.69113	0.95057	0.0346958	0.00190114	0.0128327
640	4	1.38192	0.981637	1.70117	0.947867	0.0327014	0.0042654	0.0151659
650	3	1.33178	0.980133	1.67769	0.944287	0.0377715	0.00188857	0.0160529
660	3	1.28469	0.978501	1.6358	0.946522	0.0359678	0.00283956	0.0146711
670	3	1.2633	0.978539	1.62394	0.952381	0.0304762	0.00333333	0.0138095
680	4	1.29599	0.977184	1.63169	0.951475	0.0375833	0.00237869	0.00856327
690	3	1.32997	0.976955	1.66327	0.935454	0.0472404	0.00420954	0.0130964
700	3	1.18303	0.975783	1.55097	0.953743	0.0352885	0.00286123	0.00810682
710	4	1.2533	0.976368	1.61742	0.946074	0.0425733	0.000946074	0.0104068
720	4	1.29804	0.974899	1.63102	0.95511	0.0305635	0.00143266	0.012894
730	5	1.30739	0.974241	1.64568	0.946074	0.0411542	0.00283822	0.00993377
740	4	1.33057	0.974435	1.67028	0.948317	0.0355619	0.00331911	0.0128023
750	5	1.28602	0.973376	1.61306	0.948317	0.0407776	0.00189663	0.00900901
760	3	1.32179	0.973078	1.6568	0.943841	0.0391694	0.00188768	0.0151015
770	3	1.31427	0.972081	1.64132	0.950119	0.0342043	0.0023753	0.0133017
780	3	1.36975	0.972056	1.65241	0.954654	0.0343675	0.000954654	0.0100239
790	3	1.48456	0.972986	1.70716	0.953289	0.0324118	0.00190658	0.0123928
800	3	1.61734	0.973966	1.74556	0.948767	0.0365275	0.00237192	0.012334
810	4	1.67372	0.973642	1.79766	0.943396	0.0382075	0.00283019	0.015566
820	3	1.64698	0.973001	1.79778	0.943841	0.0386975	0.00471921	0.0127419
830	3	1.69904	0.972886	1.76627	0.953743	0.0329041	0.00238436	0.010968
840	5	1.7316	0.972593	1.79659	0.946522	0.0369143	0.00189304	0.0146711
850	3	1.72552	0.972199	1.81131	0.949668	0.0375119	0.0014245	0.011396
860	4	1.74066	0.971621	1.78898	0.954198	0.0300573	0.00381679	0.0119275
870	6	1.78163	0.971387	1.77943	0.957396	0.0306367	0.00143609	0.0105314
880	3	1.88841	0.972205	1.84097	0.942063	0.0357984	0.00376825	0.0183702
890	4	1.92355	0.971784	1.85671	0.951475	0.0371075	0.000475737	0.010942
900	4	1.84752	0.971076	1.80086	0.962001	0.026936	0.001443	0.00962001
910	4	1.84782	0.970697	1.83898	0.946074	0.0364238	0.00236518	0.0151372
920	3	2.07952	0.972998	1.91352	0.953743	0.0329041	0.0033381	0.0100143
930	3	2.12432	0.972565	1.87811	0.943841	0.0391694	0.0023596	0.0146295
940	4	2.11223	0.972292	1.89644	0.954198	0.0281489	0.00429389	0.0133588
950	3	2.02099	0.970956	1.88195	0.940291	0.0409027	0.00282087	0.015985
960	3	2.02519	0.970736	1.88334	0.957396	0.0287219	0.00143609	0.0124461
970	3	2.12426	0.971533	1.86667	0.950119	0.0327791	0.00427553	0.0128266
980	3	2.2125	0.972572	1.91603	0.946074	0.038316	0.000473037	0.0151372
990	4	2.03598	0.969362	1.90589	0.945626	0.0373522	0.00189125	0.01513
1000	3	2.05856	0.969681	1.86206	0.950119	0.031829	0.000950119	0.0171021
1010	4	2.02503	0.968005	1.87732	0.949217	0.0360702	0.000949217	0.0137636
1020	4	2.08238	0.967592	1.89317	0.947418	0.0317385	0.0052108	0.0156324
1030	6	2.11477	0.966897	1.91734	0.954198	0.0281489	0.0023855	0.0152672
1040	4	2.11394	0.966758	1.87165	0.94697	0.0364583	0.00236742	0.0142045
1050	4	1.96302	0.963729	1.83704	0.948767	0.0374763	0.00142315	0.012334
1060	4	1.99969	0.964029	1.85413	0.95057	0.0313688	0.00285171	0.0152091
1070	5	2.01673	0.963229	1.81141	0.953289	0.0290753	0.00238322	0.0152526
1080	4	2.01466	0.963911	1.8399	0.949217	0.0303749	0.00237304	0.0180351
