Generation number	Total number of allele	Diversity	Activity	Time	Fertility rate	2 DSB on one site rate	No DSB rate	No symmetrical sites (binding + DSB) rate
0	1	1	0.999991	1.37811	0.94518	0.0430057	0.00283554	0.00897921
10	8	1.02752	0.999845	1.58654	0.947867	0.0421801	0.00236967	0.00758294
20	11	1.05075	0.999679	1.43023	0.94518	0.0434783	0.00378072	0.00756144
30	8	1.10247	0.999595	1.60747	0.945626	0.0444444	0.00189125	0.00803783
40	14	1.1191	0.999391	1.57051	0.948767	0.0370019	0.00237192	0.0118596
50	13	1.15127	0.999285	1.70639	0.949217	0.0408163	0	0.00996678
60	16	1.18632	0.999294	1.73489	0.941176	0.0428235	0.00282353	0.0131765
70	13	1.23125	0.999087	1.78126	0.952381	0.0333333	0.00190476	0.012381
80	15	1.19076	0.999047	1.69418	0.959233	0.0302158	0.00239808	0.00815348
90	13	1.32254	0.998923	1.81067	0.959233	0.0297362	0.00143885	0.00959233
100	19	1.46477	0.998703	1.92873	0.959233	0.0268585	0.00239808	0.0115108
110	20	1.45669	0.998835	1.90825	0.948767	0.0393738	0.00426945	0.00759013
120	26	1.47439	0.998829	1.91667	0.951928	0.0314136	0.00380771	0.012851
130	17	1.51064	0.998813	1.91364	0.954654	0.0300716	0.00334129	0.0119332
140	18	1.48654	0.998732	1.93314	0.949668	0.0365622	0.0042735	0.00949668
150	20	1.54582	0.998601	1.91913	0.952835	0.03192	0.00238209	0.0128633
160	25	1.88796	0.998586	2.02891	0.952835	0.0328728	0.00142925	0.0128633
170	30	1.88093	0.998529	1.99238	0.953743	0.0348116	0.00190749	0.00953743
180	27	2.10065	0.998519	2.08007	0.957854	0.0335249	0.00143678	0.00718391
190	25	2.02176	0.998292	2.07336	0.957396	0.0272858	0.00382958	0.0114888
200	24	1.85611	0.998165	2.01836	0.94697	0.0369318	0.00189394	0.0142045
210	23	1.98865	0.997874	2.04724	0.952381	0.0314286	0.00238095	0.0138095
220	21	1.8608	0.997934	2.00801	0.944287	0.0349386	0.00472144	0.0160529
230	26	1.90669	0.997724	1.99906	0.95648	0.0286944	0.00143472	0.0133907
240	28	2.14142	0.997741	2.08831	0.944287	0.0363551	0.00188857	0.0174693
250	26	2.35156	0.997542	2.10009	0.952835	0.0304907	0.00238209	0.0142925
260	30	2.29335	0.997254	2.11519	0.951022	0.0356633	0.00142653	0.0118878
270	24	2.41676	0.997254	2.12359	0.953289	0.0305052	0.00381316	0.0123928
280	26	2.13378	0.996928	2.09335	0.951928	0.0318896	0.00285578	0.013327
290	27	2.27465	0.996868	2.08463	0.966184	0.0241546	0.00289855	0.00676329
300	30	2.65061	0.996716	2.10437	0.953289	0.0305052	0.00142993	0.014776
310	29	2.66346	0.996579	2.12444	0.949668	0.0299145	0.00237417	0.0180437
320	29	3.41692	0.996865	2.23992	0.953289	0.0238322	0.00190658	0.0209724
330	25	4.13648	0.99707	2.32587	0.948767	0.0289374	0.0028463	0.0194497
340	25	4.30605	0.996962	2.2954	0.951022	0.0271041	0.00190204	0.0199715
350	22	4.28976	0.997029	2.26956	0.958773	0.0230105	0.00143816	0.0167785
360	23	3.57316	0.996823	2.23288	0.963855	0.0207229	0.00289157	0.0125301
370	26	3.65174	0.996553	2.23785	0.951475	0.0313987	0.00285442	0.0142721
380	20	3.55389	0.996571	2.38718	0.953743	0.0252742	0.00190749	0.0190749
390	23	3.9758	0.9966	2.3448	0.954654	0.0291169	0.00190931	0.0143198
400	29	4.70293	0.996421	2.34936	0.951475	0.02902	0.00237869	0.0171265
410	29	4.17228	0.99634	2.27866	0.952381	0.0309524	0.00238095	0.0142857
420	28	4.88616	0.996228	2.35161	0.949668	0.0280152	0.00617284	0.0161443
430	24	4.78298	0.995944	2.33574	0.956938	0.0244019	0.000956938	0.0177033
440	23	5.25889	0.996219	2.37985	0.949668	0.0303894	0.002849	0.017094
450	26	4.87971	0.99579	2.29813	0.951022	0.0275796	0.00332858	0.0180694
460	28	5.78041	0.995906	2.3441	0.959233	0.0206235	0.00239808	0.0177458
470	26	6.27376	0.995787	2.5335	0.954198	0.0295802	0.0014313	0.0147901
480	28	5.09645	0.995625	2.29923	0.958313	0.0215621	0.00191663	0.018208
