Generation number	Total number of allele	Diversity	Activity	Time	Fertility rate	2 DSB on one site rate	No DSB rate	No symmetrical sites (binding + DSB) rate
0	1	1	0.999989	1.56201	0.954198	0.0376908	0.0014313	0.00667939
10	1	1	0.999861	1.555	0.944287	0.0443815	0.00472144	0.00661001
20	1	1	0.999798	1.55584	0.943396	0.0448113	0.00188679	0.00990566
30	1	1	0.999719	1.55294	0.946522	0.0411737	0.000946522	0.0113583
40	1	1	0.999575	1.55203	0.944733	0.0410959	0.00377893	0.0103921
50	2	1.002	0.999437	1.61636	0.947867	0.0412322	0.00236967	0.00853081
60	2	1.002	0.999248	1.57247	0.94518	0.0425331	0.00330813	0.00897921
70	2	1.001	0.999097	1.57562	0.955566	0.0344004	0.00191113	0.00812231
80	1	1	0.999144	1.56471	0.947867	0.0407583	0.00189573	0.00947867
90	2	1.00301	0.999085	1.57984	0.944287	0.0467422	0.00141643	0.0075543
100	3	1.00301	0.998824	1.55134	0.952835	0.0400191	0.00190567	0.00524059
110	1	1	0.998433	1.55558	0.949217	0.0422402	0.00379687	0.00474608
120	1	1	0.998509	1.5763	0.944733	0.0453472	0.00236183	0.00755786
130	1	1	0.99826	1.55879	0.95511	0.034384	0.00191022	0.00859599
140	1	1	0.998015	1.56523	0.947418	0.0445287	0.00142113	0.00663193
150	2	1.001	0.997871	1.5632	0.953289	0.0371783	0.00285987	0.00667302
160	1	1	0.997792	1.55442	0.94162	0.0499058	0.00282486	0.00564972
170	3	1.002	0.997823	1.58937	0.945626	0.0444444	0.00236407	0.00756501
180	1	1	0.997869	1.59424	0.942951	0.0438472	0.00141443	0.0117869
190	4	1.02027	0.997719	1.59555	0.954198	0.0353053	0.0019084	0.00858779
200	3	1.00502	0.997652	1.59578	0.949217	0.0384433	0.00427148	0.00806834
210	1	1	0.997538	1.57136	0.944287	0.0410765	0.00377715	0.0108593
220	2	1.01512	0.997191	1.59725	0.954654	0.0338902	0.00286396	0.00859189
230	4	1.02542	0.996986	1.69006	0.947418	0.0397916	0.00284225	0.00994789
240	5	1.09227	0.996839	1.64092	0.95057	0.0361217	0.00142586	0.0118821
250	5	1.13802	0.996689	1.68825	0.951928	0.0366492	0.00237982	0.00904331
260	6	1.12304	0.996458	1.6779	0.953289	0.0367016	0.000953289	0.00905624
270	5	1.12337	0.996169	1.84183	0.951475	0.0371075	0.00190295	0.00951475
280	5	1.15281	0.995797	1.73757	0.945626	0.0378251	0.00472813	0.0118203
290	4	1.11627	0.995517	1.72673	0.956023	0.0368069	0.00191205	0.00525813
300	3	1.12728	0.995339	1.69264	0.941176	0.0437647	0.00329412	0.0117647
310	4	1.10202	0.995042	1.69812	0.95057	0.0380228	0	0.0114068
320	2	1.08539	0.994502	1.72351	0.94518	0.0411153	0.00283554	0.0108696
330	3	1.14872	0.994379	1.72971	0.946522	0.0388074	0.00189304	0.012778
340	2	1.16463	0.994102	1.68316	0.947867	0.0398104	0.00236967	0.00995261
350	2	1.23278	0.994241	1.76212	0.954654	0.0338902	0.00381862	0.00763723
360	2	1.20069	0.993751	1.72469	0.948317	0.0403035	0.00331911	0.00806069
370	2	1.14863	0.993404	1.73021	0.947418	0.0393179	0.000947418	0.0123164
380	3	1.2193	0.993629	1.75657	0.947867	0.0402844	0.00236967	0.00947867
390	3	1.196	0.993385	1.74541	0.94518	0.0434783	0.00236295	0.00897921
400	4	1.2659	0.993418	1.7776	0.948317	0.0355619	0.00379327	0.0123281
410	5	1.37134	0.993872	1.88108	0.948767	0.0398482	0.000948767	0.0104364
420	5	1.46722	0.993919	1.886	0.947418	0.037423	0.00378967	0.011369
430	7	1.33035	0.993077	1.87277	0.93985	0.0390038	0.00328947	0.0178571
440	6	1.39669	0.99335	1.87702	0.951928	0.0337934	0.00285578	0.0114231
450	6	1.58052	0.993523	1.9121	0.950119	0.0332542	0.00190024	0.0147268
460	6	1.65403	0.993308	1.97565	0.942507	0.037229	0.00141376	0.0188501
470	8	1.70177	0.99341	2.00306	0.948317	0.0308203	0.00189663	0.0189663
