Generation number	Allele number	Frequency	Activity
0	0	1	0.999995
10	0	1	0.999856
20	0	1	0.999741
30	0	1	0.99967
40	0	1	0.999514
50	0	1	0.99945
60	0	1	0.999409
70	0	1	0.99922
80	0	1	0.999249
90	0	1	0.999174
100	0	1	0.998982
110	0	1	0.998976
120	0	1	0.998836
130	0	1	0.998635
140	0	1	0.998522
150	0	0.9995	0.99857
150	1	0.00050025	0.99999
160	0	1	0.998405
170	0	1	0.998178
180	0	1	0.998082
190	0	1	0.997793
200	0	1	0.997541
210	0	0.997499	0.997523
210	3	0.00250125	0.999938
220	0	1	0.997445
230	0	1	0.997191
240	0	1	0.996701
250	0	1	0.996674
260	0	1	0.996253
270	0	1	0.996361
280	0	1	0.996466
290	0	1	0.996511
300	0	1	0.996528
310	0	0.997999	0.996389
310	6	0.002001	0.999984
320	0	1	0.995984
330	0	1	0.996026
340	0	1	0.995806
350	0	1	0.995299
360	0	1	0.994882
370	0	1	0.994286
380	0	0.9995	0.994156
380	9	0.00050025	1
390	0	1	0.994256
400	0	1	0.994156
410	0	1	0.994038
420	0	1	0.99375
430	0	1	0.99345
440	0	1	0.993093
450	0	1	0.993193
460	0	1	0.993534
470	0	1	0.993361
480	0	1	0.993601
490	0	1	0.99276
500	0	1	0.992719
510	0	1	0.992665
520	0	1	0.992323
530	0	1	0.992341
540	0	1	0.991951
550	0	1	0.991758
560	0	1	0.991461
570	0	1	0.990974
580	0	1	0.990446
590	0	1	0.990095
600	0	1	0.989651
610	0	1	0.98945
620	0	1	0.989009
630	0	0.991496	0.989094
630	18	0.00850425	0.999933
640	0	0.983992	0.988995
640	18	0.016008	0.999829
650	0	0.966983	0.989283
650	18	0.0330165	0.999749
660	0	0.950475	0.988821
660	18	0.0495248	0.999656
670	0	0.941471	0.988964
670	18	0.0585293	0.999459
680	0	0.929965	0.988528
680	18	0.070035	0.999391
690	0	0.931966	0.988386
690	18	0.068034	0.999229
700	0	0.952476	0.988044
700	18	0.0475238	0.999296
710	0	0.91996	0.987885
710	18	0.08004	0.999208
720	0	0.912956	0.987444
720	18	0.0870435	0.999261
730	0	0.908454	0.986931
730	18	0.0915458	0.99923
740	0	0.852426	0.986745
740	18	0.147574	0.999215
750	0	0.835418	0.986463
750	18	0.164582	0.999056
760	0	0.835418	0.985718
760	18	0.164582	0.998801
770	0	0.861931	0.985843
770	18	0.138069	0.998728
780	0	0.886943	0.985425
780	18	0.113057	0.998494
790	0	0.891946	0.985049
790	18	0.108054	0.998264
800	0	0.876938	0.985377
800	18	0.123062	0.99821
810	0	0.885443	0.98469
810	18	0.114557	0.998239
820	0	0.881441	0.983734
820	18	0.117059	0.998029
820	22	0.00150075	0.999971
830	0	0.808404	0.982829
830	18	0.191596	0.998381
840	0	0.805403	0.982537
840	18	0.194597	0.998153
850	0	0.761881	0.981735
850	18	0.238119	0.998319
860	0	0.788394	0.980435
860	18	0.211606	0.998244
870	0	0.754877	0.980169
870	18	0.245123	0.998051
880	0	0.721361	0.979186
880	18	0.278639	0.997734
890	0	0.746373	0.978617
890	18	0.253627	0.997524
