Generation number	Total number of allele	Diversity	Activity	Time	Fertility rate	2 DSB on one site rate	No DSB rate	No symmetrical sites (binding + DSB) rate
0	1	1	0.99998	1.49424	0.954198	0.0324427	0.0023855	0.0109733
10	1	1	0.999929	1.48112	0.944287	0.0439093	0.003305	0.00849858
20	2	1.00401	0.999871	1.47726	0.949668	0.039886	0.00237417	0.00807217
30	1	1	0.99981	1.47823	0.949217	0.0398671	0.00332226	0.00759374
40	1	1	0.999764	1.48815	0.95057	0.0413498	0.000475285	0.00760456
50	3	1.002	0.99973	1.49197	0.939408	0.050728	0.000939408	0.00892438
60	2	1.00301	0.999608	1.47047	0.95511	0.0334288	0.00143266	0.0100287
70	2	1.001	0.999541	1.47813	0.948767	0.0374763	0.00426945	0.00948767
80	2	1.001	0.999394	1.50424	0.94162	0.0442561	0.00188324	0.0122411
90	2	1.00301	0.999273	1.48375	0.948767	0.0365275	0.00474383	0.00996205
100	1	1	0.999036	1.48831	0.950119	0.0427553	0.000475059	0.00665083
110	1	1	0.998903	1.47536	0.951475	0.036156	0.00237869	0.00999049
120	1	1	0.998738	1.47041	0.951928	0.039505	0.00237982	0.00618753
130	3	1.00603	0.998568	1.49401	0.941176	0.048	0.00329412	0.00752941
140	2	1.01107	0.998256	1.48821	0.951928	0.0337934	0.00380771	0.0104712
150	2	1.00502	0.997876	1.52254	0.94697	0.0369318	0.00284091	0.0132576
160	4	1.00804	0.997498	1.5147	0.947867	0.0412322	0.00331754	0.00758294
170	3	1.00804	0.997308	1.49887	0.949668	0.0351377	0.00332384	0.0118708
180	4	1.0213	0.997241	1.50303	0.948767	0.0436433	0.0028463	0.00474383
190	4	1.02849	0.996711	1.50798	0.951022	0.0370899	0.00237756	0.00951022
200	4	1.0121	0.996715	1.47688	0.952381	0.0390476	0.00285714	0.00571429
210	3	1.01209	0.996608	1.49078	0.940734	0.0489182	0.000940734	0.00940734
220	2	1.00401	0.996396	1.48024	0.941176	0.0451765	0.00423529	0.00941176
230	2	1.00301	0.996016	1.47737	0.957854	0.0335249	0.00143678	0.00718391
240	2	1.00301	0.995688	1.46968	0.95511	0.0334288	0.00382044	0.00764088
250	2	1.01512	0.995181	1.47687	0.951475	0.0390105	0.000951475	0.00856327
260	2	1.002	0.994753	1.47061	0.949217	0.0408163	0.00284765	0.00711913
270	1	1	0.994389	1.47552	0.940291	0.0456041	0.00235073	0.0117536
280	1	1	0.994179	1.4677	0.94518	0.0378072	0.00378072	0.0132325
290	1	1	0.993739	1.46002	0.95057	0.0394487	0.00190114	0.00807985
300	2	1.001	0.993342	1.46328	0.949217	0.0365449	0.00189843	0.0123398
310	2	1.00301	0.992882	1.45628	0.952381	0.0395238	0.00190476	0.00619048
320	2	1.00703	0.99233	1.4705	0.942951	0.0462046	0.0018859	0.00895804
330	2	1.01614	0.992677	1.48343	0.942951	0.0480905	0.00141443	0.00754361
340	1	1	0.992359	1.47225	0.95057	0.036597	0.00427757	0.00855513
350	3	1.01108	0.992025	1.46814	0.943396	0.0429245	0.00141509	0.0122642
360	3	1.01209	0.992295	1.47768	0.944733	0.0415683	0.00236183	0.0113368
370	5	1.02026	0.991868	1.49526	0.948767	0.0417457	0.00189753	0.00759013
380	4	1.0172	0.991678	1.47819	0.945626	0.0401891	0.00330969	0.0108747
390	5	1.06346	0.991217	1.49876	0.942063	0.0456901	0.00188413	0.0103627
400	6	1.07887	0.990905	1.51211	0.943841	0.0434167	0.00188768	0.0108542
410	6	1.12534	0.990933	1.54279	0.953743	0.0309967	0.00238436	0.0128755
420	6	1.19186	0.990791	1.57284	0.953289	0.0328885	0.00285987	0.0109628
430	6	1.2539	0.990017	1.62523	0.948767	0.038425	0.000474383	0.012334
440	6	1.23663	0.989617	1.59309	0.948317	0.038881	0.00284495	0.00995733
450	6	1.23364	0.9894	1.59849	0.951022	0.0399429	0.00285307	0.00618165
460	5	1.27679	0.989319	1.62146	0.943841	0.0405852	0.00188768	0.0136857
470	6	1.25054	0.98917	1.61685	0.948317	0.038881	0.000474158	0.0123281
