Generation number	Allele number	Frequency	Activity
0	0	0.997999	0.999496
0	1	0.002001	1
10	0	0.985493	0.994131
10	1	0.0090045	0.995475
10	2	0.00550275	0.997473
20	0	0.978489	0.989051
20	1	0.0175088	0.99118
20	2	0.00350175	0.992209
20	3	0.00050025	0.995216
30	0	0.968984	0.983705
30	1	0.0265133	0.985573
30	6	0.00450225	0.998016
40	0	0.961981	0.978694
40	1	0.0370185	0.980874
40	8	0.0010005	0.997033
50	0	0.967484	0.972725
50	1	0.0295148	0.976071
50	8	0.0030015	0.991955
60	0	0.942971	0.967665
60	1	0.0485243	0.971156
60	13	0.00850425	0.995316
70	0	0.90095	0.962002
70	1	0.0725363	0.966606
70	13	0.026013	0.990941
70	18	0.00050025	1
80	0	0.911456	0.956429
80	1	0.0675338	0.962591
80	13	0.0185093	0.98678
80	18	0.002001	0.99505
80	19	0.00050025	0.997993
90	0	0.928964	0.950856
90	1	0.0470235	0.95754
90	13	0.024012	0.982125
100	0	0.943972	0.943942
100	1	0.026013	0.952245
100	13	0.0285143	0.977059
100	20	0.00150075	0.999036
110	0	0.926963	0.938946
110	1	0.0175088	0.947436
110	13	0.0505253	0.970616
110	20	0.00350175	0.993935
110	21	0.00150075	0.999049
120	0	0.938969	0.931981
120	1	0.018009	0.942024
120	13	0.038019	0.965389
120	22	0.004002	0.996034
120	24	0.0010005	0.999034
130	0	0.942471	0.926552
130	1	0.0130065	0.936696
130	13	0.0325163	0.960564
130	22	0.012006	0.99145
140	0	0.921461	0.91931
140	1	0.006003	0.93115
140	13	0.0590295	0.9559
140	22	0.0135068	0.987168
150	0	0.928964	0.911999
150	13	0.0415208	0.950975
150	22	0.0295148	0.982509
160	0	0.923462	0.906216
160	13	0.0270135	0.945854
160	22	0.0495248	0.977449
170	0	0.891446	0.900932
170	13	0.044022	0.94082
170	22	0.0645323	0.972945
180	0	0.901951	0.892665
180	13	0.0165083	0.935839
180	22	0.0815408	0.968975
190	0	0.852426	0.887724
190	13	0.0350175	0.931864
190	22	0.110055	0.964612
190	36	0.00050025	0.997573
190	37	0.002001	0.998945
200	0	0.835918	0.880903
200	13	0.0230115	0.928951
200	22	0.14057	0.959231
200	40	0.00050025	0.999513
210	0	0.795398	0.872936
210	13	0.0265133	0.927229
210	22	0.177089	0.954405
210	43	0.0010005	0.999503
220	0	0.791396	0.864396
220	13	0.0195098	0.923086
220	22	0.187594	0.949208
220	43	0.00150075	0.994619
230	0	0.795398	0.858716
230	13	0.0170085	0.920009
230	22	0.183092	0.944057
230	46	0.00250125	0.996495
230	47	0.00050025	0.998068
230	49	0.00150075	1
240	0	0.811906	0.851128
240	13	0.0125063	0.916024
240	22	0.173087	0.938874
240	47	0.002001	0.992868
240	49	0.00050025	0.995115
250	0	0.750875	0.84495
250	13	0.0110055	0.910201
250	22	0.233617	0.932925
250	47	0.00450225	0.987891
260	0	0.747374	0.839729
260	13	0.012006	0.906477
260	22	0.221611	0.926799
260	47	0.0170085	0.982956
260	53	0.0010005	0.997981
260	57	0.0010005	1
270	0	0.718859	0.832659
270	13	0.0030015	0.902142
270	22	0.255128	0.920991
270	47	0.0215108	0.978731
270	57	0.00050025	0.994838
270	58	0.0010005	0.997958
280	0	0.722861	0.823315
280	13	0.00050025	0.897511
280	22	0.235118	0.914814
280	47	0.0345173	0.973493
280	61	0.0030015	0.997746
280	62	0.002001	0.998621
280	63	0.002001	0.999064
290	0	0.701351	0.814571
290	22	0.254127	0.909804
290	47	0.0325163	0.969544
290	61	0.00750375	0.992561
290	62	0.0030015	0.993468
290	66	0.0010005	0.99862
290	67	0.00050025	0.99952
300	0	0.65933	0.806005
300	22	0.318659	0.903162
300	47	0.0090045	0.965804
300	61	0.0125063	0.988083
300	67	0.00050025	0.99474
310	0	0.612806	0.798744
310	22	0.358679	0.898201
310	47	0.014007	0.96058
310	61	0.0130065	0.983938
310	72	0.0010005	0.99668
310	74	0.00050025	1
320	0	0.548774	0.791755
320	22	0.409705	0.891486
320	47	0.02001	0.95536
320	61	0.0145073	0.97868
320	72	0.0070035	0.992003
330	0	0.501751	0.785124
330	22	0.45923	0.885509
330	47	0.0210105	0.951016
330	61	0.0145073	0.973063
330	72	0.0030015	0.986499
330	78	0.00050025	1
340	0	0.483242	0.777681
340	22	0.478239	0.880762
340	47	0.02001	0.946647
340	61	0.0185093	0.967441
350	0	0.475238	0.768549
350	22	0.47924	0.874947
350	47	0.0195098	0.941464
350	61	0.026013	0.963039
360	0	0.451726	0.763491
360	22	0.502251	0.869323
360	47	0.0175088	0.936934
360	61	0.0230115	0.959587
360	85	0.00550275	0.996326
370	0	0.446223	0.756171
370	22	0.464732	0.862565
370	47	0.0365183	0.932205
370	61	0.0470235	0.954973
370	85	0.00550275	0.991511
380	0	0.418209	0.749239
380	22	0.493747	0.854574
380	47	0.0205103	0.926276
380	61	0.0665333	0.951078
380	85	0.0010005	0.987064
390	0	0.437219	0.74338
390	22	0.483242	0.850843
390	47	0.022011	0.921076
390	61	0.0555278	0.944881
390	93	0.002001	1
400	0	0.437719	0.733939
400	22	0.456728	0.846366
400	47	0.0235118	0.916465
400	61	0.082041	0.93995
410	0	0.435218	0.726956
410	22	0.458729	0.839841
410	47	0.0155078	0.912114
410	61	0.0905453	0.934534
420	0	0.378189	0.723898
420	22	0.504252	0.833888
420	47	0.0230115	0.907929
420	61	0.0935468	0.930292
420	102	0.0010005	0.998514
430	0	0.315658	0.717664
430	22	0.536268	0.823973
430	47	0.0175088	0.905026
430	61	0.129065	0.924934
430	106	0.00150075	0.998946
440	0	0.302151	0.711161
440	22	0.565783	0.818349
440	47	0.0195098	0.900764
440	61	0.108554	0.91961
440	106	0.0010005	0.993951
440	109	0.0030015	0.997498
450	0	0.287144	0.704158
450	22	0.552276	0.811369
450	47	0.024012	0.896787
450	61	0.121561	0.913039
450	109	0.0090045	0.992584
450	111	0.00450225	0.995496
450	113	0.00150075	0.998481
460	0	0.267134	0.69832
460	22	0.481241	0.807104
460	47	0.0170085	0.893373
460	61	0.203102	0.908517
460	109	0.0210105	0.987803
460	111	0.008004	0.990458
460	115	0.00050025	0.995995
460	116	0.0010005	0.996439
460	117	0.0010005	0.999061
470	0	0.203102	0.69158
470	22	0.528764	0.802394
470	47	0.02001	0.889314
470	61	0.221111	0.902262
470	109	0.0130065	0.982646
470	111	0.014007	0.985614
480	0	0.156578	0.685094
480	22	0.574787	0.791156
480	47	0.00950475	0.886406
480	61	0.246623	0.898552
480	109	0.00550275	0.977365
480	111	0.0070035	0.980435
490	0	0.167084	0.681957
490	22	0.586293	0.784157
490	47	0.0050025	0.883176
490	61	0.216608	0.891761
490	109	0.00950475	0.973243
490	111	0.0155078	0.97519
500	0	0.133567	0.679627
500	22	0.615808	0.776355
500	47	0.0010005	0.879801
500	61	0.22011	0.887693
500	109	0.0150075	0.968836
500	111	0.0145073	0.969723
510	0	0.0685343	0.674684
510	22	0.628314	0.768393
510	47	0.00650325	0.87501
510	61	0.264632	0.882634
510	109	0.010005	0.96425
510	111	0.0210105	0.965444
510	126	0.0010005	0.998549
520	0	0.0595298	0.670546
520	22	0.584792	0.75961
520	47	0.00250125	0.871259
520	61	0.32016	0.875805
520	109	0.00350175	0.959291
520	111	0.0245123	0.961263
520	126	0.00250125	0.993404
520	127	0.00250125	0.998935
530	0	0.0470235	0.666316
530	22	0.54077	0.753223
530	47	0.00350175	0.866315
530	61	0.343672	0.868655
530	109	0.006003	0.954993
530	111	0.046023	0.957042
530	126	0.0070035	0.98925
530	127	0.00550275	0.99402
530	129	0.00050025	1
540	0	0.0245123	0.663649
540	22	0.508254	0.746533
540	61	0.369685	0.863925
540	109	0.00750375	0.950445
540	111	0.0825413	0.952001
540	126	0.002001	0.984005
540	127	0.00550275	0.989465
550	0	0.0190095	0.661351
550	22	0.478739	0.738665
550	61	0.349175	0.859785
550	109	0.0230115	0.94474
