Generation number	Allele number	Frequency	Activity
460	39	0.218109	0.876598
460	52	0.11956	0.90545
460	73	0.0485243	0.956775
460	77	0.00050025	0.97031
460	84	0.002001	0.98169
460	89	0.016008	0.989879
460	91	0.0010005	0.996034
470	0	0.227114	0.691379
470	23	0.363182	0.828678
470	39	0.251626	0.873721
470	52	0.114057	0.899955
470	73	0.0375188	0.951072
470	89	0.006003	0.984719
470	91	0.00050025	0.990991
480	0	0.21911	0.686283
480	23	0.381191	0.824437
480	39	0.208104	0.868582
480	52	0.149075	0.893021
480	73	0.0425213	0.944895
490	0	0.268634	0.679023
490	23	0.388194	0.818877
490	39	0.186593	0.864491
490	52	0.105053	0.887517
490	73	0.0515258	0.942059
500	0	0.272136	0.672515
500	23	0.376688	0.811688
500	39	0.1996	0.860419
500	52	0.108554	0.882605
500	73	0.0430215	0.938154
510	0	0.246623	0.665685
510	23	0.416208	0.805731
510	39	0.167084	0.855661
510	52	0.107054	0.877673
510	73	0.0630315	0.934123
520	0	0.241121	0.660911
520	23	0.433717	0.800281
520	39	0.153577	0.851408
520	52	0.0785393	0.875084
520	73	0.092046	0.931194
520	100	0.0010005	1
530	0	0.208104	0.655256
530	23	0.463732	0.793293
530	39	0.167584	0.846431
530	52	0.0650325	0.869515
530	73	0.0955478	0.926074
540	0	0.146573	0.651454
540	23	0.491746	0.786755
540	39	0.226613	0.841447
540	52	0.0335168	0.865596
540	73	0.101551	0.92057
550	0	0.117059	0.649065
550	23	0.461231	0.78064
550	39	0.243122	0.837514
550	52	0.0530265	0.86291
550	73	0.125563	0.91628
560	0	0.134067	0.645871
560	23	0.456728	0.773309
560	39	0.251126	0.833205
560	52	0.0325163	0.858771
560	73	0.11906	0.913134
560	104	0.00050025	0.997795
560	106	0.006003	0.99847
570	0	0.092046	0.643155
570	23	0.498749	0.766469
570	39	0.203102	0.829315
570	52	0.0355178	0.854142
570	73	0.154577	0.907915
570	106	0.0125063	0.99336
570	110	0.0030015	0.998099
570	111	0.00050025	0.998495
580	0	0.0745373	0.640505
580	23	0.467234	0.757719
580	39	0.24062	0.826788
580	52	0.0435218	0.847975
