Generation number	Total number of allele	Diversity	Activity	Time	Fertility rate	2 DSB on one site rate	No DSB rate	No symmetrical sites (binding + DSB) rate
0	2	1.001	0.999525	1.45041	0.944733	0.0429854	0.0042513	0.00803023
10	3	1.00401	0.994499	1.4302	0.946074	0.0439924	0.00141911	0.00851466
20	3	1.01616	0.988999	1.50307	0.947418	0.0369493	0.00331596	0.0123164
30	4	1.01616	0.983626	1.49665	0.952835	0.0352549	0.00428776	0.00762268
40	2	1.01208	0.977965	1.50788	0.952835	0.0390662	0.000476417	0.00762268
50	2	1.01006	0.973298	1.55788	0.948317	0.038881	0.00189663	0.0109056
60	3	1.01209	0.968423	1.53114	0.949668	0.0356125	0.002849	0.0118708
70	3	1.01513	0.964153	1.52199	0.951022	0.0366144	0.00142653	0.0109368
80	3	1.03371	0.959101	1.5361	0.94162	0.0423729	0.00235405	0.0136535
90	3	1.05138	0.954246	1.55105	0.943841	0.0420009	0.00424729	0.00991034
100	3	1.07371	0.948482	1.61921	0.93985	0.0446429	0.00093985	0.0145677
110	2	1.05233	0.942038	1.53264	0.951928	0.0376011	0.000951928	0.00951928
120	3	1.04927	0.934925	1.56016	0.946074	0.038789	0.00331126	0.0118259
130	2	1.05022	0.928681	1.55743	0.93633	0.0491573	0.00234082	0.0121723
140	2	1.02944	0.921078	1.53082	0.95511	0.0315186	0.00191022	0.0114613
150	2	1.01715	0.914241	1.54545	0.94162	0.0404896	0.00376648	0.0141243
160	3	1.01616	0.905042	1.47717	0.944733	0.0387341	0.000472367	0.0160605
170	3	1.02231	0.898981	1.51359	0.939408	0.0427431	0.00281822	0.0150305
180	3	1.04419	0.893355	1.51178	0.938086	0.0412758	0.00422139	0.0164165
190	3	1.06972	0.887305	1.56608	0.931532	0.0461109	0.00465766	0.0176991
200	3	1.07927	0.88152	1.54222	0.930233	0.0465116	0.00232558	0.0209302
210	5	1.09384	0.875369	1.56111	0.928936	0.0501626	0.0013934	0.0195077
220	3	1.08679	0.86925	1.51135	0.939408	0.0427431	0.00187882	0.0159699
230	4	1.10811	0.864469	1.52609	0.94162	0.0362524	0.00282486	0.0193032
240	4	1.12692	0.85687	1.55224	0.938527	0.0403566	0.00234632	0.0187705
250	2	1.16004	0.850224	1.55553	0.942507	0.0400566	0.00188501	0.0155514
260	3	1.13072	0.840003	1.54762	0.926784	0.044949	0.00324374	0.0250232
270	2	1.08756	0.828458	1.4947	0.935891	0.0416472	0.00187178	0.0205896
