Generation number	Total number of allele	Diversity	Activity	Time	Fertility rate	2 DSB on one site rate	No DSB rate	No symmetrical sites (binding + DSB) rate
7980	4	1.92698	0.735026	1.60144	0.918274	0.0362718	0.00459137	0.0408632
7990	5	2.00473	0.735576	1.61804	0.915751	0.0357143	0.00457875	0.043956
8000	4	2.03628	0.739383	1.61371	0.928936	0.0352996	0.0013934	0.0343706
8010	5	2.14261	0.753893	1.6673	0.925926	0.0388889	0.00138889	0.0337963
8020	4	2.07699	0.767572	1.66162	0.925497	0.0374826	0.00462749	0.0323924
8030	4	2.02225	0.786897	1.6656	0.926355	0.0370542	0.00555813	0.0310329
8040	4	2.09822	0.780313	1.65626	0.945626	0.0293144	0.00189125	0.0231678
8050	4	2.1634	0.789142	1.70791	0.925069	0.0402405	0.00462535	0.0300648
8060	5	2.1638	0.81097	1.73867	0.929368	0.0371747	0.00371747	0.0297398
8070	6	2.17039	0.811471	1.74114	0.932836	0.0321828	0.00279851	0.0321828
8080	5	2.06607	0.830097	1.76831	0.933271	0.0312646	0.000466636	0.0349977
8090	5	2.05155	0.834731	1.76951	0.934579	0.0336449	0.00420561	0.0275701
8100	7	2.01054	0.847457	1.78168	0.950119	0.0256532	0.00190024	0.0223278
8110	7	2.02882	0.836905	1.75454	0.940734	0.0352775	0.00376294	0.0202258
8120	6	2.08758	0.835411	1.75154	0.939408	0.0342884	0.00234852	0.0239549
8130	6	2.00602	0.829199	1.72031	0.942507	0.029689	0.00235627	0.0254477
8140	4	1.90635	0.823251	1.71829	0.931532	0.0391244	0.0013973	0.027946
8150	4	1.8904	0.82274	1.70059	0.944287	0.0302172	0.00283286	0.0226629
8160	4	1.86355	0.810563	1.70589	0.934143	0.0368986	0.00280243	0.026156
8170	4	1.83731	0.807358	1.68018	0.938086	0.0333021	0.00187617	0.0267355
8180	5	1.94169	0.804813	1.71042	0.935891	0.0276088	0.000935891	0.0355639
8190	5	1.95057	0.802901	1.70965	0.932401	0.0368298	0.0013986	0.0293706
8200	5	2.07869	0.804542	1.78786	0.924642	0.0420712	0.000924642	0.0323625
