Generation number	Total number of allele	Diversity	Activity	Time	Fertility rate	2 DSB on one site rate	No DSB rate	No symmetrical sites (binding + DSB) rate
1350	8	2.9585	0.834628	1.85124	0.924642	0.0342117	0.00277393	0.0383726
1360	8	3.44996	0.82987	1.84082	0.928505	0.0301764	0.000928505	0.04039
1370	9	3.08906	0.839256	1.83866	0.928505	0.0306407	0.00139276	0.0394615
1380	9	2.89857	0.846731	1.82463	0.934143	0.0275572	0.00186829	0.0364316
1390	8	2.93436	0.843926	1.87589	0.922935	0.0327642	0.00230734	0.0419935
1400	10	3.06888	0.855508	1.8514	0.927644	0.0320037	0.00231911	0.0380334
1410	10	3.17863	0.859773	1.88607	0.935016	0.030388	0.00280505	0.0317906
1420	9	2.9116	0.85485	1.86659	0.926355	0.0314961	0.00324224	0.0389069
1430	9	2.85157	0.851533	1.83873	0.923788	0.0429561	0.00138568	0.0318707
1440	9	2.81691	0.853398	1.82866	0.927644	0.0343228	0.00324675	0.0347866
1450	8	2.58068	0.855327	1.8236	0.940291	0.0300893	0.00282087	0.0267983
1460	7	2.48014	0.849997	1.78284	0.935016	0.027583	0.00420757	0.0331931
1470	8	2.66345	0.852243	1.81531	0.933271	0.0312646	0.00139991	0.0340644
1480	8	2.70483	0.847958	1.9085	0.930233	0.0386047	0.00186047	0.0293023
1490	8	2.36445	0.842153	1.9396	0.94162	0.0291902	0.00188324	0.027307
1500	7	2.42306	0.8411	1.83766	0.925926	0.0314815	0.0037037	0.0388889
1510	7	2.2029	0.837154	1.95375	0.931966	0.0340168	0.00232992	0.0316869
1520	6	2.14517	0.830888	1.74465	0.933271	0.0349977	0.00186654	0.0298647
1530	6	2.16767	0.824934	1.87807	0.922509	0.0378229	0.00184502	0.0378229
1540	6	2.32316	0.82268	1.76266	0.926784	0.0375348	0.00231696	0.0333642
1550	8	2.41228	0.81621	1.77697	0.933271	0.029398	0.00373308	0.0335978
