Generation number	Total number of allele	Diversity	Activity	Time	Fertility rate	2 DSB on one site rate	No DSB rate	No symmetrical sites (binding + DSB) rate
0	1	1	0.999516	1.43859	0.949668	0.0356125	0.002849	0.0118708
10	1	1	0.994334	1.35313	0.943396	0.0462264	0.00377358	0.00660377
20	1	1	0.988441	1.47775	0.954198	0.0357824	0.0028626	0.00715649
30	1	1	0.982665	1.51786	0.942507	0.0457116	0.00141376	0.0103676
40	1	1	0.977538	1.42792	0.952381	0.0395238	0.00142857	0.00666667
50	1	1	0.97266	1.49317	0.953743	0.0357654	0.00190749	0.00858369
60	1	1	0.967411	1.50494	0.94518	0.0396975	0.00141777	0.0137051
70	1	1	0.960535	1.42246	0.953743	0.0357654	0.00143062	0.00906056
80	1	1	0.953877	1.47545	0.948317	0.0412518	0.000948317	0.00948317
90	1	1	0.948517	1.46005	0.943841	0.0429448	0.0023596	0.0108542
100	1	1	0.942068	1.45451	0.943841	0.0405852	0.00519113	0.0103823
110	1	1	0.936414	1.45312	0.94162	0.0456685	0.00188324	0.0108286
120	1	1	0.930574	1.44885	0.939408	0.0455613	0.00187882	0.0131517
130	1	1	0.923845	1.439	0.942951	0.0452617	0	0.0117869
140	2	1.002	0.9164	1.43389	0.942951	0.0410184	0.000471476	0.0155587
150	1	1	0.908982	1.42175	0.94518	0.039225	0.00378072	0.0118147
160	1	1	0.900587	1.42138	0.940734	0.0413923	0.00329257	0.0145814
170	1	1	0.892723	1.40913	0.941176	0.0451765	0.00235294	0.0112941
180	1	1	0.887007	1.41276	0.941176	0.0367059	0.00376471	0.0183529
190	1	1	0.87837	1.41029	0.931966	0.0447344	0.00186393	0.0214352
200	1	1	0.868525	1.39277	0.938527	0.0422337	0.00281558	0.0164242
210	1	1	0.861691	1.40796	0.932401	0.0508159	0.002331	0.0144522
220	1	1	0.852477	1.383	0.938086	0.0356473	0.00562852	0.0206379
230	1	1	0.843816	1.3748	0.935891	0.0411792	0.00374357	0.0191858
